Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
N1,16/08/02,Roosendaal,Zwolle,1,1,D,1,0,H,2,3.4,3,1.95,3.25,3.3,2,3.2,3.1,2,3.3,3.1,1.9,3.3,3.3,1.55,2.2
N1,17/08/02,AZ Alkmaar,Heerenveen,3,3,D,1,2,A,2.4,3.25,2.5,2.42,3.3,2.45,2.5,3,2.5,2.4,3.1,2.6,2.45,3.15,2.45,1.55,2.1
N1,17/08/02,Excelsior,PSV Eindhoven,0,2,A,0,2,A,5,3.5,1.571,5.45,3.55,1.52,4.8,3.5,1.55,5.5,3.5,1.533,5,3.7,1.5,1.45,2.35
N1,17/08/02,NAC Breda,Roda JC,2,2,D,1,0,H,2,3.4,3,2,3.3,3.25,1.85,3.2,3.5,2.1,3.2,3,1.9,3.2,3.35,1.6,2.05
N1,17/08/02,Twente,Willem II,0,2,A,0,0,D,2,3.4,3,2.05,3.25,3.18,1.9,3.2,3.4,2.1,3.2,3,1.85,3.35,3.35,1.6,2.05
N1,18/08/02,Ajax,Utrecht,3,1,H,1,1,D,1.333,4,8,1.33,4.4,7.8,1.25,4.5,9,1.333,4,8,1.3,4.4,7.25,1.42,2.45
N1,18/08/02,Feyenoord,Nijmegen,2,0,H,0,0,D,1.364,3.75,8,1.36,4.4,7.8,1.25,4.5,9,1.364,3.75,8,1.35,4,7,1.42,2.45
N1,18/08/02,Groningen,Vitesse,1,2,A,1,1,D,2.7,3.25,2.25,2.82,3.25,2.28,2.9,3,2.2,2.7,3.25,2.25,2.5,3.2,2.35,1.65,1.95
N1,18/08/02,Waalwijk,Graafschap,4,2,H,1,0,H,1.571,3.5,5,1.6,3.55,5,1.55,3.5,4.8,1.615,3.5,4.5,1.6,3.5,4.4,1.55,2.1
N1,23/08/02,Nijmegen,AZ Alkmaar,2,0,H,1,0,H,1.833,3.2,3.75,1.9,3.35,3.95,1.9,3.1,3.5,1.85,3.25,3.6,1.7,3.4,3.9,1.6,2.05
N1,24/08/02,Graafschap,Roosendaal,2,0,H,1,0,H,1.8,3.25,3.75,1.71,3.5,4.25,1.75,3.3,3.8,1.8,3.25,3.8,1.7,3.4,3.9,1.55,2.15
N1,24/08/02,Heerenveen,Waalwijk,1,2,A,1,0,H,1.615,3.25,5,1.57,3.65,5.25,1.65,3.3,4.4,1.615,3.5,4.5,1.5,3.5,5.4,1.6,2.05
N1,24/08/02,PSV Eindhoven,Groningen,1,0,H,0,0,D,1.167,5.5,11,1.17,6,13,1.15,6,12,1.167,5.5,10,,,,1.6,2.05
N1,24/08/02,Roda JC,Feyenoord,2,2,D,1,1,D,3,3.2,2.1,3.1,3.25,2.1,2.8,3.1,2.2,3.1,3.3,2,3.1,3.2,2,1.65,1.95
N1,24/08/02,Zwolle,Excelsior,1,1,D,1,0,H,1.909,3.25,3.4,1.91,3.3,3.6,1.9,3.1,3.5,1.909,3.25,3.4,1.85,3.25,3.5,1.55,2.15
N1,25/08/02,Twente,Utrecht,1,1,D,1,1,D,2.1,3.2,3,2.12,3.25,3.1,2.2,3,2.9,2.2,3.1,2.9,2,3.2,3.1,1.6,2.05
N1,25/08/02,Vitesse,Ajax,1,2,A,1,0,H,3.2,3.2,2,3.05,3.25,2.12,2.7,3,2.3,3,3.2,2.1,3,3.2,2.1,1.6,2.05
