day,date,home_team,result,away_team
Saturday,March 10,COL,2-0,Columbus
Sunday,March 18,Philadelphia,1-2,COL
Sunday,March 25,NY Red Bulls,4-1,COL
Sunday,April 1,COL,2-0,Chicago
Saturday,April 7,Real Salt Lake,2-0,COL
Saturday,April 14,Seattle,1-0,COL
Saturday,April 21,COL,1-2,LA Galaxy
Saturday,April 28,COL,4-0,Chivas USA
Wednesday,May 2,New England,2-1,COL
Sunday,May 6,FC Dallas,0-2,COL
Wednesday,May 16,D.C. United,2-0,COL
Saturday,May 19,COL,2-2,Sporting KC
Saturday,May 26,COL,3-2,Montreal
Saturday,June 16,Vancouver,1-0,COL
Wednesday,June 20,COL,1-2,San Jose
Saturday,June 30,COL,3-0,Portland
Wednesday,July 4,COL,0-1,Vancouver
Saturday,July 7,Seattle,2-1,COL
Saturday,July 14,COL,1-2,FC Dallas
Wednesday,July 18,Toronto FC,2-1,COL
Saturday,July 21,Real Salt Lake,2-0,COL
Saturday,July 28,Seattle,1-2,COL
Saturday,August 4,COL,1-0,Real Salt Lake
Saturday,August 11,FC Dallas,3-2,COL
Saturday,August 18,COL,1-1,Chivas USA
Saturday,August 25,San Jose,4-1,COL
Friday,August 31,Portland,1-0,COL
Wednesday,September 5,COL,3-0,Portland
Friday,September 14,LA Galaxy,2-0,COL
Sunday,September 23,Vancouver,2-2,COL
Sunday,September 30,COL,1-1,LA Galaxy
Saturday,October 6,COL,1-4,San Jose
Saturday,October 20,Chivas USA,0-2,COL
Saturday,October 27,COL,2-0,Houston
