day,date,home_team,result,away_team
Saturday,March 10,Vancouver,2-0,MTL
Saturday,March 17,MTL,1-1,Chicago
Saturday,March 24,Columbus,2-0,MTL
Saturday,March 31,NY Red Bulls,5-2,MTL
Wednesday,April 4,Real Salt Lake,1-0,MTL
Saturday,April 7,MTL,2-1,Toronto FC
Saturday,April 14,FC Dallas,2-1,MTL
Wednesday,April 18,D.C. United,1-1,MTL
Saturday,April 28,MTL,2-0,Portland
Saturday,May 5,Sporting KC,0-2,MTL
Saturday,May 12,MTL,1-1,LA Galaxy
Saturday,May 19,MTL,1-2,NY Red Bulls
Saturday,May 26,Colorado,3-2,MTL
Saturday,June 16,Seattle,4-1,MTL
Wednesday,June 20,Chivas USA,2-1,MTL
Saturday,June 23,MTL,4-2,Houston
Wednesday,June 27,MTL,0-3,Toronto FC
Saturday,June 30,D.C. United,3-0,MTL
Wednesday,July 4,MTL,1-3,Sporting KC
Sunday,July 8,MTL,2-1,Columbus
Saturday,July 14,Philadelphia,2-1,MTL
Wednesday,July 18,MTL,2-1,New England
Saturday,July 21,Houston,3-0,MTL
Saturday,July 28,MTL,3-1,NY Red Bulls
Saturday,August 4,MTL,2-0,Philadelphia
Sunday,August 12,New England,0-1,MTL
Saturday,August 18,MTL,3-1,San Jose
Saturday,August 25,MTL,3-0,D.C. United
Saturday,September 1,Columbus,2-1,MTL
Saturday,September 15,Chicago,3-1,MTL
Saturday,September 22,MTL,0-0,Sporting KC
Saturday,October 6,Houston,1-1,MTL
Saturday,October 20,Toronto FC,0-0,MTL
Saturday,October 27,MTL,0-1,New England
