day,date,home_team,result,away_team
Saturday,March 10,D.C. United,0-1,SKC
Saturday,March 17,SKC,3-0,New England
Sunday,March 25,SKC,2-1,FC Dallas
Sunday,April 1,Chivas USA,0-1,SKC
Saturday,April 7,SKC,1-0,LA Galaxy
Saturday,April 14,SKC,1-0,Real Salt Lake
Wednesday,April 18,Vancouver,1-3,SKC
Saturday,April 21,Portland,1-0,SKC
Saturday,May 5,SKC,0-2,Montreal
Saturday,May 12,Chicago,2-1,SKC
Saturday,May 19,Colorado,2-2,SKC
Sunday,May 27,SKC,2-1,San Jose
Saturday,June 16,SKC,2-0,Toronto FC
Wednesday,June 20,Seattle,1-1,SKC
Saturday,June 23,Philadelphia,4-0,SKC
Friday,June 29,SKC,0-1,Chicago
Wednesday,July 4,Montreal,1-3,SKC
Saturday,July 7,SKC,0-0,Houston
Saturday,July 14,Columbus,0-2,SKC
Wednesday,July 18,Houston,2-1,SKC
Saturday,July 21,SKC,0-0,New England
Saturday,July 28,SKC,1-2,Columbus
Saturday,August 4,New England,0-1,SKC
Saturday,August 11,SKC,2-1,D.C. United
Saturday,August 18,Toronto FC,0-1,SKC
Sunday,August 26,SKC,1-1,NY Red Bulls
Saturday,September 1,SKC,2-1,Toronto FC
Friday,September 14,SKC,1-1,Houston
Wednesday,September 19,NY Red Bulls,0-2,SKC
Saturday,September 22,Montreal,0-0,SKC
Friday,September 28,SKC,2-0,Chicago
Sunday,October 7,Columbus,1-1,SKC
Saturday,October 20,NY Red Bulls,0-0,SKC
Wednesday,October 24,SKC,2-1,Philadelphia
