Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Jimmy Nielsen,KC,GK,34,34,3060,100,68,30,0.88,1/1,17,10,7,13,50.0,68.0
Luis Robles,RBNY,GK,34,34,3060,147,103,41,1.21,7/10,17,9,8,11,50.0,70.1
Tally Hall,DC,GK,34,34,3060,141,95,41,1.21,2/4,14,11,9,9,41.2,67.4
Zac MacMath,COL,GK,34,34,3060,147,101,44,1.29,1/1,12,12,10,12,35.3,68.7
Joe Bendik,ORL,GK,33,33,2970,139,90,46,1.39,2/2,6,16,11,4,18.2,64.7
Troy Perkins,MTL,GK,33,33,2970,158,109,48,1.45,4/6,14,12,7,8,42.4,69.0
Jon Busch,SJ,GK,33,33,2970,142,101,41,1.24,3/3,13,11,9,9,39.4,71.1
Clint Irwin,TOR,GK,32,31,2873,132,91,35,1.13,6/8,14,9,9,10,43.8,68.9
Donovan Ricketts,POR,GK,32,32,2880,126,92,31,0.97,4/5,13,5,14,14,40.6,73.0
Dan Kennedy,CHV,GK,31,31,2754,166,104,54,1.74,3/4,6,17,8,3,19.4,62.7
Michael Gspurning,SEA,GK,28,28,2475,114,76,35,1.25,2/2,12,9,6,10,42.9,66.7
Sean Johnson,NYC,GK,28,28,2520,132,93,39,1.39,3/4,12,10,6,6,42.9,70.5
Nick Rimando,RSL,GK,27,27,2430,112,82,28,1.04,1/3,14,7,6,9,51.9,73.2
Raul Fernandez,DAL,GK,26,26,2340,129,88,41,1.58,2/3,7,10,9,7,26.9,68.2
Bill Hamid,DC,GK,25,25,2250,119,80,39,1.56,4/6,2,17,6,4,8.0,67.2
Bobby Shuttleworth,MIN,GK,23,22,2063,96,64,30,1.36,3/3,7,11,5,9,30.4,66.7
Carlo Cudicini,LA,GK,21,21,1890,68,39,27,1.29,0/1,9,8,4,7,42.9,57.4
Andy Gruenebaum,CLB,GK,21,21,1890,100,71,28,1.33,2/2,5,11,5,4,23.8,71.0
David Ousted,DC,GK,13,13,1170,54,37,16,1.23,1/1,4,5,4,4,30.8,68.5
Matt Lampson,MIN,GK,13,13,1170,63,43,18,1.38,3/3,7,6,0,5,53.8,68.3
Matt Reis,NE,GK,12,12,995,37,29,8,0.67,0/0,7,0,4,5,58.3,78.4
Brad Knighton,NE,GK,11,11,990,50,35,15,1.36,2/2,6,3,2,2,54.5,70.0
