Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Camilo Sanvezzo,VAN,F,32,27,2418,22,6,123,55,5/5,17.9,44.7
Marco Di Vaio,MTL,F,33,31,2746,20,2,118,53,0/0,16.9,44.9
Mike Magee,CHI,M,32,32,2793,21,4,114,50,4/5,18.4,43.9
Chris Wondolowski,SJ,F,29,29,2610,11,3,101,44,1/1,10.9,43.6
Will Bruin,SEA,F,30,30,2596,8,7,98,30,0/0,8.2,30.6
Deshorn Brown,COL,F,31,24,2169,10,4,97,30,1/2,10.3,30.9
Giles Barnes,HOU,M,33,32,2561,9,4,94,29,0/1,9.6,30.9
Thierry Henry,NY,F,30,27,2519,10,9,92,29,0/0,10.9,31.5
Dominic Oduro,MTL,M,34,34,2854,13,4,92,36,0/0,14.1,39.1
Jack McInerney,PHI,F,31,25,2209,12,0,86,30,0/0,14.0,34.9
Federico Higuain,CLB,M,29,29,2592,11,9,86,31,6/8,12.8,36.0
Gyasi Zardes,CLB,F,27,23,2170,4,4,78,23,0/0,5.1,29.5
Kelyn Rowe,NE,M,33,26,2528,7,8,74,21,0/0,9.5,28.4
Diego Valeri,POR,M,31,28,2277,10,13,72,26,1/1,13.9,36.1
Claudio Bieler,KC,F,28,25,2109,10,4,70,27,3/3,14.3,38.6
Robert Earnshaw,TOR,F,26,23,1883,8,0,69,22,2/2,11.6,31.9
Chris Rolfe,CHI,F,31,26,2135,4,1,69,19,0/1,5.8,27.5
Robbie Keane,LA,F,23,22,1980,16,11,65,29,5/5,24.6,44.6
Jairo Arrieta,CLB,F,26,21,1862,3,4,64,18,0/0,4.7,28.1
Conor Casey,PHI,F,31,25,2201,10,5,64,26,0/0,15.6,40.6
Dilly Duka,CHI,M,31,24,1788,4,3,62,28,0/0,6.5,45.2
Darlington Nagbe,ATL,M,34,34,2848,9,4,62,24,0/0,14.5,38.7
Jackson Goncalves,DAL,M,30,29,2375,3,3,61,17,0/0,4.9,27.9
Lamar Neagle,SEA,M,30,27,2409,8,4,61,25,0/0,13.1,41.0
Dwayne De Rosario,DC,M,24,17,1603,3,2,59,22,1/2,5.1,37.3
Soony Saad,KC,F,23,15,1353,4,4,58,15,0/0,6.9,25.9
Edson Buddle,COL,F,24,19,1664,5,3,56,17,0/0,8.9,30.4
Blas Pérez,DAL,F,25,21,2019,11,3,56,29,0/0,19.6,51.8
Danny Cruz,PHI,M-F,32,32,2190,3,2,56,19,0/0,5.4,33.9
Lee Nguyen,NE,M,33,32,2838,4,7,56,22,2/3,7.1,39.3
Tim Cahill,NY,M,27,27,2243,11,5,55,21,0/0,20.0,38.2
