Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Troy Perkins,MTL,GK,33,33,2970,158,109,48,1.45,4/6,69.0
Dan Kennedy,CHV,GK,31,31,2754,166,104,54,1.74,3/4,62.7
Luis Robles,RBNY,GK,34,34,3060,147,103,41,1.21,7/10,70.1
Jon Busch,SJ,GK,33,33,2970,142,101,41,1.24,3/3,71.1
Zac MacMath,COL,GK,34,34,3060,147,101,44,1.29,1/1,68.7
Tally Hall,DC,GK,34,34,3060,141,95,41,1.21,2/4,67.4
Sean Johnson,NYC,GK,28,28,2520,132,93,39,1.39,3/4,70.5
Donovan Ricketts,POR,GK,32,32,2880,126,92,31,0.97,4/5,73.0
Clint Irwin,TOR,GK,32,31,2873,132,91,35,1.13,6/8,68.9
Joe Bendik,ORL,GK,33,33,2970,139,90,46,1.39,2/2,64.7
Raul Fernandez,DAL,GK,26,26,2340,129,88,41,1.58,2/3,68.2
Nick Rimando,RSL,GK,27,27,2430,112,82,28,1.04,1/3,73.2
Bill Hamid,DC,GK,25,25,2250,119,80,39,1.56,4/6,67.2
Michael Gspurning,SEA,GK,28,28,2475,114,76,35,1.25,2/2,66.7
Andy Gruenebaum,CLB,GK,21,21,1890,100,71,28,1.33,2/2,71.0
Jimmy Nielsen,KC,GK,34,34,3060,100,68,30,0.88,1/1,68.0
Bobby Shuttleworth,MIN,GK,23,22,2063,96,64,30,1.36,3/3,66.7
Matt Lampson,MIN,GK,13,13,1170,63,43,18,1.38,3/3,68.3
Carlo Cudicini,LA,GK,21,21,1890,68,39,27,1.29,0/1,57.4
David Ousted,DC,GK,13,13,1170,54,37,16,1.23,1/1,68.5
Brad Knighton,NE,GK,11,11,990,50,35,15,1.36,2/2,70.0
Joe Cannon,VAN,GK,10,10,900,42,31,14,1.4,0/0,73.8
Matt Reis,NE,GK,12,12,995,37,29,8,0.67,0/0,78.4
Joe Willis,HOU,GK,9,9,810,47,28,20,2.22,1/1,59.6
Jaime Penedo,LA,GK,9,9,810,31,24,7,0.78,0/0,77.4
Chris Seitz,HOU,GK,8,8,720,36,24,11,1.38,0/0,66.7
Brian Rowe,VAN,GK,4,4,360,19,14,4,1.0,0/0,73.7
Jeff Attinella,POR,GK,5,4,399,24,14,9,2.25,3/3,58.3
Josh Saunders,RSL,GK,3,3,231,18,13,4,1.33,0/0,72.2
Paolo Tornaghi,CHI,GK,6,6,540,24,12,13,2.17,0/0,50.0
Tim Melia,SKC,GK,2,2,180,15,8,7,3.5,1/1,53.3
David Bingham,LA,GK,1,1,90,8,7,1,1.0,0/0,87.5
Milos Kocic,POR,GK,2,2,180,10,7,2,1.0,0/0,70.0
Evan Bush,MTL,GK,1,1,90,7,6,1,1.0,0/0,85.7
Marcus Hahnemann,SEA,GK,4,4,360,10,6,4,1.0,0/0,60.0
Steward Ceus,COL,GK,1,1,90,6,5,1,1.0,0/0,83.3
Andrew Weber,SEA,GK,3,2,225,8,5,3,1.5,0/0,62.5
Patrick McLain,CHV,GK,2,1,124,10,4,6,6.0,1/1,40.0
Stefan Frei,SEA,GK,1,1,90,3,2,1,1.0,1/1,66.7
Matt Pickens,COL,GK,2,2,97,4,2,2,1.0,0/0,50.0
Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Chris Konopka,PHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Oka Nikolov,PHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Kevin Hartman,NY,GK,0,0,0,0,0,0,0.0,0/0,0.0
Andrew Dykstra,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0.0
Brian Perk,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0.0
Santiago Castaño,NY,GK,0,0,0,0,0,0,0.0,0/0,0.0
Luis Soffner,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0,0/0,0.0
Daniel Withrow,CLB,GK,0,0,0,0,0,0,0,0/0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0,0/0,0.0
Alec Kann,ATL,GK,0,0,0,0,0,0,0,0/0,0.0
Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0,0/0,0.0
Simon Thomas,CAN,GK,0,0,0,0,0,0,0,0/0,0.0
Erich Marscheider,HOU,GK,0,0,0,0,0,0,0,0/0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0/0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0/0,0.0
Evan Newton,SJ,GK,0,0,0,0,0,0,0,0/0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0/0,0.0
Josh Ford,SEA,GK,0,0,0,0,0,0,0,0/0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0,0,0,0/0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0,0,0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
