Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Donovan Ricketts,POR,GK,32,32,2880,31,0.97,4/5,13,5,14,14,40.6
Jimmy Nielsen,KC,GK,34,34,3060,30,0.88,1/1,17,10,7,13,50.0
Zac MacMath,COL,GK,34,34,3060,44,1.29,1/1,12,12,10,12,35.3
Luis Robles,RBNY,GK,34,34,3060,41,1.21,7/10,17,9,8,11,50.0
Michael Gspurning,SEA,GK,28,28,2475,35,1.25,2/2,12,9,6,10,42.9
Clint Irwin,TOR,GK,32,31,2873,35,1.13,6/8,14,9,9,10,43.8
Bobby Shuttleworth,MIN,GK,23,22,2063,30,1.36,3/3,7,11,5,9,30.4
Nick Rimando,RSL,GK,27,27,2430,28,1.04,1/3,14,7,6,9,51.9
Jon Busch,SJ,GK,33,33,2970,41,1.24,3/3,13,11,9,9,39.4
Tally Hall,DC,GK,34,34,3060,41,1.21,2/4,14,11,9,9,41.2
Troy Perkins,MTL,GK,33,33,2970,48,1.45,4/6,14,12,7,8,42.4
Carlo Cudicini,LA,GK,21,21,1890,27,1.29,0/1,9,8,4,7,42.9
Raul Fernandez,DAL,GK,26,26,2340,41,1.58,2/3,7,10,9,7,26.9
Sean Johnson,NYC,GK,28,28,2520,39,1.39,3/4,12,10,6,6,42.9
Matt Reis,NE,GK,12,12,995,8,0.67,0/0,7,0,4,5,58.3
Matt Lampson,MIN,GK,13,13,1170,18,1.38,3/3,7,6,0,5,53.8
Jaime Penedo,LA,GK,9,9,810,7,0.78,0/0,4,1,4,4,44.4
David Ousted,DC,GK,13,13,1170,16,1.23,1/1,4,5,4,4,30.8
Andy Gruenebaum,CLB,GK,21,21,1890,28,1.33,2/2,5,11,5,4,23.8
Bill Hamid,DC,GK,25,25,2250,39,1.56,4/6,2,17,6,4,8.0
Joe Bendik,ORL,GK,33,33,2970,46,1.39,2/2,6,16,11,4,18.2
Dan Kennedy,CHV,GK,31,31,2754,54,1.74,3/4,6,17,8,3,19.4
Brian Rowe,VAN,GK,4,4,360,4,1.0,0/0,2,2,0,2,50.0
Chris Seitz,HOU,GK,8,8,720,11,1.38,0/0,4,2,2,2,50.0
Brad Knighton,NE,GK,11,11,990,15,1.36,2/2,6,3,2,2,54.5
Milos Kocic,POR,GK,2,2,180,2,1.0,0/0,1,0,1,1,50.0
Marcus Hahnemann,SEA,GK,4,4,360,4,1.0,0/0,2,2,0,1,50.0
Jeff Attinella,POR,GK,5,4,399,9,2.25,3/3,1,2,1,1,20.0
Joe Willis,HOU,GK,9,9,810,20,2.22,1/1,1,7,1,1,11.1
Joe Cannon,VAN,GK,10,10,900,14,1.4,0/0,3,4,3,1,30.0
Oka Nikolov,PHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kevin Hartman,NY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Chris Konopka,PHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andrew Dykstra,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tyler Deric,HOU,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brian Perk,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Josh Ford,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Erich Marscheider,HOU,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
