Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Marcelo Sarvas,LA,M,33,33,2897,4,6,53,15,80,62,1,9,0
Tim Cahill,NY,M,27,27,2243,11,5,55,21,78,43,13,4,0
Diego Chara,POR,M,31,31,2737,0,3,10,3,74,39,1,7,0
Oriol Rosell,ORL,M-D,31,31,2691,1,2,24,5,66,34,0,10,0
Lee Nguyen,NE,M,33,32,2838,4,7,56,22,63,64,1,6,0
Nigel Reo-Coker,VAN,M,32,31,2817,1,4,17,5,62,39,1,9,0
Hendry Thomas,COL,M,27,27,2301,2,1,33,5,59,35,0,7,0
Conor Casey,PHI,F,31,25,2201,10,5,64,26,58,26,25,9,0
Jackson Goncalves,DAL,M,30,29,2375,3,3,61,17,57,44,10,5,2
Juan Agudelo,NE,F,20,15,1402,9,2,30,13,54,36,12,2,0
Osvaldo Alonso,SEA,M,26,26,2179,0,1,33,4,54,37,0,3,2
Lamar Neagle,SEA,M,30,27,2409,8,4,61,25,54,32,16,1,1
Aurélien Collin,RBNY,D,29,29,2565,3,1,33,9,54,24,5,13,0
Alan Gordon,SJ,F,24,17,1436,4,3,40,14,53,33,23,7,1
Atiba Harris,COL,D,29,24,2012,5,1,51,16,52,43,12,2,1
Camilo Sanvezzo,VAN,F,32,27,2418,22,6,123,55,51,43,17,5,0
Patrice Bernier,MTL,M,31,28,2474,4,8,23,7,50,43,0,4,0
Sam Cronin,MIN,M,34,34,2971,2,4,28,7,48,25,0,4,0
Jeff Larentowicz,ATL,M,32,31,2807,2,4,45,13,47,30,1,6,1
Andrew Jacobson,DAL,M,27,27,2292,3,1,40,9,46,38,4,3,0
Danny O'Rourke,CLB,D,22,19,1723,0,0,3,0,45,17,0,6,0
Jairo Arrieta,CLB,F,26,21,1862,3,4,64,18,44,28,24,6,0
Gonzalo Segares,CHI,D,32,32,2855,0,1,12,3,43,27,1,8,0
Jonny Steele,NY,M,33,32,2665,5,6,46,15,42,18,12,4,0
Juninho,LA,M,32,32,2770,1,4,50,14,42,32,2,6,0
