day,date,home_team,result,away_team
Saturday,March 2,PHI,1-3,Sporting KC
Sunday,March 10,Colorado,1-2,PHI
Saturday,March 16,PHI,1-0,New England
Saturday,March 30,NY Red Bulls,2-1,PHI
Saturday,April 6,Columbus,1-1,PHI
Saturday,April 13,PHI,1-1,Toronto FC
Sunday,April 21,D.C. United,2-3,PHI
Saturday,April 27,New England,2-0,PHI
Saturday,May 4,Seattle,2-2,PHI
Saturday,May 11,Chicago,0-1,PHI
Wednesday,May 15,PHI,1-4,LA Galaxy
Saturday,May 18,PHI,1-0,Chicago
Saturday,May 25,Montreal,5-3,PHI
Saturday,June 1,Toronto FC,1-1,PHI
Wednesday,June 5,PHI,3-0,Columbus
Sunday,June 23,PHI,3-0,NY Red Bulls
Saturday,June 29,PHI,2-2,FC Dallas
Wednesday,July 3,Real Salt Lake,2-2,PHI
Saturday,July 6,Houston,1-0,PHI
Friday,July 12,PHI,3-1,Chivas USA
Saturday,July 20,PHI,0-0,Portland
Saturday,July 27,Vancouver,0-1,PHI
Saturday,August 3,PHI,1-2,Chicago
Saturday,August 10,PHI,2-0,D.C. United
Saturday,August 17,NY Red Bulls,0-0,PHI
Sunday,August 25,New England,5-1,PHI
Saturday,August 31,PHI,0-0,Montreal
Sunday,September 8,San Jose,1-0,PHI
Saturday,September 14,PHI,0-1,Houston
Friday,September 27,Sporting KC,0-1,PHI
Saturday,October 5,PHI,1-0,Toronto FC
Saturday,October 12,D.C. United,1-1,PHI
Saturday,October 19,Montreal,2-1,PHI
Saturday,October 26,PHI,1-2,Sporting KC
