day,date,home_team,result,away_team
Saturday,March 2,Chivas USA,0-3,CLB
Saturday,March 9,Vancouver,2-1,CLB
Saturday,March 16,CLB,1-1,San Jose
Saturday,March 23,D.C. United,1-2,CLB
Saturday,April 6,CLB,1-1,Philadelphia
Sunday,April 14,Montreal,1-1,CLB
Saturday,April 20,Chicago,1-0,CLB
Saturday,April 27,CLB,3-0,D.C. United
Saturday,May 4,CLB,0-1,NY Red Bulls
Saturday,May 11,CLB,0-2,Colorado
Saturday,May 18,Toronto FC,0-1,CLB
Sunday,May 26,NY Red Bulls,2-2,CLB
Saturday,June 1,CLB,1-1,Houston
Wednesday,June 5,Philadelphia,3-0,CLB
Saturday,June 15,CLB,2-0,Montreal
Saturday,June 22,CLB,1-2,Chicago
Saturday,June 29,Sporting KC,3-2,CLB
Thursday,July 4,LA Galaxy,2-1,CLB
Sunday,July 7,CLB,1-0,Portland
Saturday,July 20,CLB,0-2,New England
Saturday,July 27,Toronto FC,2-1,CLB
Saturday,August 3,Houston,3-1,CLB
Saturday,August 10,CLB,2-0,NY Red Bulls
Saturday,August 17,CLB,2-0,Toronto FC
Saturday,August 24,Real Salt Lake,4-0,CLB
Saturday,August 31,Seattle,0-1,CLB
Wednesday,September 4,CLB,2-0,Houston
Saturday,September 7,Sporting KC,3-0,CLB
Saturday,September 14,Montreal,1-2,CLB
Saturday,September 21,CLB,3-0,Chicago
Sunday,September 29,FC Dallas,2-4,CLB
Saturday,October 5,CLB,0-1,Sporting KC
Saturday,October 19,New England,3-2,CLB
Sunday,October 27,CLB,0-1,New England
