Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Diego Valeri,POR,M,31,28,13,3,9,4,0.51
Sébastien Le Toux,PHI,F,32,25,12,5,10,2,0.49
Robbie Keane,LA,F,23,22,11,3,6,5,0.5
Javier Morales,RSL,M,28,25,10,1,6,4,0.39
Russell Teibert,VAN,M,24,19,9,2,5,4,0.46
Landon Donovan,LA,M-F,22,21,9,5,3,6,0.43
Brad Davis,HOU,M,26,25,9,3,6,3,0.37
David Ferreira,DAL,M,30,26,9,3,6,3,0.33
Thierry Henry,NY,F,30,27,9,2,5,4,0.32
Federico Higuain,CLB,M,29,29,9,3,3,6,0.31
Joel Lindpere,CHI,M,25,17,8,1,3,5,0.5
Joao Plata,RSL,F,29,19,8,3,5,3,0.44
Shea Salinas,SJ,M,28,24,8,4,5,3,0.36
Justin Mapp,MTL,M,27,25,8,2,7,1,0.34
Mauro Rosales,SEA,M,33,26,8,5,4,4,0.33
Michel Garbini Pereira,DAL,M-D,31,26,8,3,5,3,0.32
Felipe,VAN,M,32,28,8,2,5,3,0.31
Graham Zusi,SKC,D-M,27,26,8,5,1,7,0.31
Patrice Bernier,MTL,M,31,28,8,5,7,1,0.29
Kelyn Rowe,NE,M,33,26,8,2,6,2,0.28
Sheanon Williams,PHI,D,32,32,8,3,5,3,0.25
Peguy Luyindula,NY,F,22,9,7,3,4,3,0.73
Diego Fagundez,NE,M,31,28,7,3,4,3,0.26
Will Bruin,SEA,F,30,30,7,1,4,3,0.24
Chris Klute,COL,D,31,30,7,1,5,2,0.23
Lee Nguyen,NE,M,33,32,7,4,4,3,0.22
Boniek Garcia,HOU,M,22,21,6,4,4,2,0.28
Rodney Wallace,NYC,F,27,21,6,2,5,1,0.27
Fabian Castillo,DAL,M-F,33,26,6,1,2,4,0.25
Kyle Beckerman,RSL,M,26,26,6,2,3,3,0.24
Camilo Sanvezzo,VAN,F,32,27,6,2,3,3,0.22
Dillon Powers,ORL,M,30,29,6,1,4,2,0.22
Jonny Steele,NY,M,33,32,6,2,4,2,0.2
Lee Young-Pyo,VAN,D,32,30,6,2,2,4,0.2
Marcelo Sarvas,LA,M,33,33,6,3,3,3,0.19
Frederic Piquionne,POR,F,21,7,5,1,1,4,0.57
Saer Sene,NE,M,24,14,5,0,3,2,0.37
Brandon Barklage,NY,D,26,20,5,2,3,2,0.26
Brad Evans,SKC,D-M,24,21,5,1,4,1,0.26
Davy Arnaud,MTL,M,24,21,5,1,3,2,0.25
Conor Casey,PHI,F,31,25,5,0,2,3,0.2
Tim Cahill,NY,M,27,27,5,0,4,1,0.2
Chris Tierney,NE,D-M,29,26,5,2,3,2,0.19
Will Johnson,ORL,M,28,28,5,2,3,2,0.18
Ned Grabavoy,RSL,M,32,29,5,1,4,1,0.17
Vicente Sanchez,COL,F,8,7,4,3,3,1,0.58
Eddie Gaven,CLB,M,10,10,4,1,2,2,0.4
Juninho Pernambucano,NY,M,13,10,4,2,3,1,0.37
Olmes Garcia,RSL,F,24,8,4,2,2,2,0.36
Dimitry Imbongo,NE,F,21,11,4,1,3,1,0.35
Marc Burch,MIN,D,20,13,4,1,2,2,0.31
Hector Jimenez,CLB,M,26,14,4,0,0,4,0.31
Soony Saad,KC,F,23,15,4,2,4,0,0.27
Jorge Villafaña,USA,D-M,20,15,4,1,2,2,0.25
Obafemi Martins,SEA,F,20,17,4,2,4,0,0.25
Daigo Kobayashi,VAN,M,30,21,4,1,1,3,0.22
Ryan Johnson,POR,F,29,21,4,1,1,3,0.2
Benny Feilhaber,LAFC,M,27,22,4,1,4,0,0.2
Jairo Arrieta,CLB,F,26,21,4,3,3,1,0.19
Bobby Convey,KC,M,24,22,4,1,4,0,0.19
Luis Silva,RSL,F,27,24,4,0,3,1,0.18
Claudio Bieler,KC,F,28,25,4,1,3,1,0.17
Patrick Nyarko,CHI,F-M,30,24,4,1,2,2,0.17
Deshorn Brown,COL,F,31,24,4,1,3,1,0.17
Gyasi Zardes,CLB,F,27,23,4,2,4,0,0.17
Edgar Mejia,CHV,M,28,27,4,1,2,2,0.16
Lamar Neagle,SEA,M,30,27,4,2,3,1,0.15
Ricardo Clark,CLB,M,30,29,4,2,2,2,0.14
Giles Barnes,HOU,M,33,32,4,3,2,2,0.14
Dax McCarty,CHI,M,30,29,4,3,1,3,0.14
Sean Franklin,VAN,D,33,29,4,0,3,1,0.13
Juninho,LA,M,32,32,4,1,3,1,0.13
Perry Kitchen,LA,M,31,31,4,0,2,2,0.13
Mike Magee,CHI,M,32,32,4,2,2,2,0.13
Jeff Larentowicz,ATL,M,32,31,4,2,4,0,0.13
Nigel Reo-Coker,VAN,M,32,31,4,1,4,0,0.13
Darlington Nagbe,ATL,M,34,34,4,0,3,1,0.13
Dominic Oduro,MTL,M,34,34,4,1,2,2,0.13
Kofi Sarkodie,HOU,D,33,33,4,1,2,2,0.12
Sam Cronin,MIN,M,34,34,4,2,4,0,0.12
Ramon Nunez,DAL,M,10,0,3,1,2,1,1.07
José Adolfo Valencia,POR,F,21,5,3,0,2,1,0.42
Martin Rivero,COL,M,16,6,3,0,2,1,0.38
Daniel Paladini,CHI,M,20,7,3,1,2,1,0.33
Andrew Wenger,HOU,F,24,8,3,0,2,1,0.32
Sebastian Velasquez,RSL,M,19,9,3,1,3,0,0.3
Jeremy Brockie,TOR,F-M,15,11,3,0,3,0,0.25
Nick LaBrocca,COL,M,24,16,3,1,2,1,0.22
Kalif Alhassan,POR,M,30,15,3,1,3,0,0.2
Alan Gordon,SJ,F,24,17,3,0,1,2,0.19
Edson Buddle,COL,F,24,19,3,2,3,0,0.16
Chris Pontius,LA,F,22,19,3,0,3,0,0.15
Dilly Duka,CHI,M,31,24,3,0,1,2,0.15
Gershon Koffie,VAN,M,26,21,3,1,3,0,0.14
Blas Pérez,DAL,F,25,21,3,0,0,3,0.13
Luis Gil,RSL,M,30,24,3,0,1,2,0.13
Carlos Alvarez,CHV,M,29,26,3,0,1,2,0.12
Jackson Goncalves,DAL,M,30,29,3,1,1,2,0.11
Chance Myers,KC,D,27,26,3,2,1,2,0.11
Steven Beitashour,LAFC,D,27,27,3,2,2,1,0.11
Chris Wondolowski,SJ,F,29,29,3,0,3,0,0.1
Diego Chara,POR,M,31,31,3,2,2,1,0.1
Seth Sinovic,SKC,D,32,31,3,3,1,2,0.1
Hassoun Camara,MTL,D,32,32,3,2,1,2,0.09
Amobi Okugo,PHI,D-M,32,32,3,1,0,3,0.09
Jalil Anibaba,NE,D,34,34,3,2,2,1,0.09
Andre Akpan,COL,F,8,1,2,0,1,1,1.34
Maicon Santos,CHI,F,15,1,2,0,2,0,0.47
Mauro Diaz,DAL,M,10,5,2,0,2,0,0.43
Erik Hurtado,VAN,F-M,15,4,2,0,1,1,0.37
Jose Kleberson,PHI,M,11,7,2,0,0,2,0.34
Jack McBean,COL,F,15,7,2,0,0,2,0.32
Chad Barrett,NE,F,19,8,2,0,2,0,0.29
Dom Dwyer,ORL,F,16,7,2,0,1,1,0.27
Antoine Hoppenot,PHI,F,30,2,2,1,0,2,0.25
Kekuta Manneh,VAN,M-F,20,6,2,0,2,0,0.24
Justin Braun,TOR,F,21,8,2,0,2,0,0.23
Ramiro Corrales,SJ,M,12,11,2,0,1,1,0.21
Andy Rose,SEA,M,18,9,2,2,2,0,0.2
Walter Martinez,HON,M,15,10,2,1,2,0,0.2
Fabinho,PHI,D,14,10,2,0,2,0,0.18
Ben Zemanski,POR,M,25,9,2,0,2,0,0.18
Kei Kamara,VAN,F,15,10,2,0,2,0,0.18
Cordell Cato,SJ,F,20,10,2,0,0,2,0.17
Heath Pearce,NY,D,14,11,2,1,1,1,0.17
Tristan Bowen,CHV,F,22,15,2,1,2,0,0.15
Carlyle Mitchell,VAN,D,15,13,2,0,1,1,0.15
Robbie Findley,RSL,F,25,17,2,0,2,0,0.14
Steven Lenhart,SJ,F,21,14,2,2,2,0,0.14
Alvaro Saborio,RSL,F,16,15,2,1,2,0,0.13
Brian Mullan,COL,D,16,15,2,0,2,0,0.13
Je-Vaughn Watson,DAL,D,24,15,2,0,1,1,0.13
Juan Agudelo,NE,F,20,15,2,1,0,2,0.13
CJ Sapong,PHI,F,25,16,2,1,1,1,0.12
Kosuke Kimura,NY,D,24,15,2,0,0,2,0.11
Dwayne De Rosario,DC,M,24,17,2,0,1,1,0.11
Doneil Henry,VAN,D,20,19,2,0,1,1,0.11
Andres Romero,MTL,M,30,20,2,1,1,1,0.11
Eddie Johnson,SEA,F,21,20,2,1,1,1,0.1
Justin Morrow,TOR,D,26,21,2,0,1,1,0.09
Carlos Borja,CHV,D,26,22,2,0,1,1,0.09
Fabian Espindola,NY,F,28,23,2,0,2,0,0.09
Matt Besler,SKC,D,23,23,2,0,1,1,0.09
Scott Caldwell,NE,M,29,23,2,0,1,1,0.08
Eric Avila,CHV,M,28,24,2,0,1,1,0.08
Danny Cruz,PHI,M-F,32,32,2,0,0,2,0.08
Todd Dunivant,LA,D,25,25,2,2,2,0,0.08
Marvell Wynne,COL,D,28,27,2,0,2,0,0.08
