Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
E3,11/08/01,Bristol Rvs,Torquay,1,0,H,0,0,D,10127,R. D. Furnandiz ,17,8,6,3,1,1,7,1,9,12,0,2,0,1,0,0,0,10,,,,1.55,3.3,4.5,1.57,3.6,5,,,,1.53,3.5,5.5,1.5,3.75,5.5
E3,11/08/01,Carlisle,Luton,0,2,A,0,0,D,4432,M. Clattenburg,5,7,2,6,0,0,4,2,17,16,6,2,2,2,0,0,20,20,,,,2.8,3,2.1,2.62,3.2,2.37,,,,2.75,3.25,2.25,2.87,3.4,2.1
E3,11/08/01,Cheltenham,Leyton Orient,1,1,D,0,0,D,4115,A. R. Leake ,16,9,7,5,0,0,4,8,15,17,6,1,0,3,0,0,0,30,,,,2.3,2.9,2.5,2.25,3.25,2.75,,,,2.25,3.25,2.75,2.2,3.25,2.8
E3,11/08/01,Exeter,Hull,1,3,A,1,1,D,4677,A. Bates ,6,12,1,6,0,0,8,5,9,14,5,3,1,1,0,0,10,10,,,,2.9,3,2,2.87,3.25,2.2,,,,2.88,3.4,2.1,3.25,3.25,2
E3,11/08/01,Hartlepool,Mansfield,1,1,D,0,1,A,3534,G. Salisbury ,9,6,5,3,0,0,5,1,11,9,0,0,0,1,0,0,0,10,,,,1.6,3.2,4.2,1.67,3.4,4.5,,,,1.8,3.4,3.75,1.66,3.4,4.5
E3,11/08/01,Kidderminster,Scunthorpe,1,0,H,0,0,D,3173,G. K. Hegley ,8,13,3,3,0,0,2,9,22,20,2,3,1,2,0,0,10,20,,,,2.3,2.9,2.5,2.25,3.25,2.75,,,,2.2,3.25,2.8,2.37,3.2,2.62
E3,11/08/01,Lincoln,Halifax,1,2,A,1,2,A,3753,A. N. Butler ,13,8,6,3,2,0,4,1,8,12,7,4,0,2,0,0,0,20,,,,1.8,3,3.5,1.8,3.4,3.75,,,,1.91,3.4,3.4,1.83,3.3,3.75
E3,11/08/01,Macclesfield,Swansea,1,3,A,1,2,A,2309,M. Ryan ,13,11,7,4,1,2,8,5,10,10,4,1,2,0,0,0,20,0,,,,2.3,2.9,2.5,2.25,3.25,2.75,,,,2.38,3.25,2.6,2.3,3.3,2.62
E3,11/08/01,Oxford,Rochdale,1,2,A,0,1,A,7842,D. R. Crick ,11,8,7,4,0,0,6,7,10,22,4,3,4,1,0,0,40,10,,,,1.85,3,3.3,2,3.25,3.25,,,,1.83,3.4,3.6,1.8,3.4,3.75
E3,11/08/01,Plymouth,Shrewsbury,0,1,A,0,0,D,5087,C Penton,19,3,7,1,0,0,6,2,19,21,1,1,1,2,0,1,10,45,,,,1.65,3.2,3.9,1.73,3.25,4.33,,,,1.73,3.25,4.33,1.66,3.4,4.5
E3,11/08/01,Southend,Darlington,1,0,H,0,0,D,4725,K. D. Hill ,5,10,4,3,0,0,1,8,17,16,6,9,2,3,1,0,45,30,,,,2,3,2.9,1.8,3.4,3.75,,,,2.1,3.25,3,1.9,3.25,3.5
E3,11/08/01,York,Rushden & D,0,1,A,0,1,A,4307,M. R. Warren ,14,9,8,3,0,0,7,3,13,11,1,7,0,1,0,0,0,10,,,,2.3,2.9,2.5,2.25,3.25,2.75,,,,2.38,3.25,2.6,2.5,3.2,2.5
E3,16/08/01,Rushden & D,Lincoln,0,0,D,0,0,D,5018,M. D. Messias,10,11,3,3,0,1,9,3,21,13,4,0,0,1,0,0,0,10,,,,1.5,3.4,4.7,1.61,3.5,4.5,,,,1.62,3.6,4.5,1.53,3.5,5.5
E3,18/08/01,Darlington,Kidderminster,2,0,H,0,0,D,3677,M. Ryan,16,5,8,3,0,0,7,7,6,9,2,6,1,3,0,1,10,55,,,,2,2.9,3,2.2,3.25,2.87,,,,2.1,3.25,3,1.9,3.25,3.5
E3,18/08/01,Halifax,Exeter,1,1,D,1,1,D,1937,G. Salisbury,10,8,4,4,0,0,5,3,11,15,3,9,2,2,0,1,20,45,,,,1.8,3,3.5,1.83,3.25,3.75,,,,1.8,3.4,3.75,1.72,3.5,4
E3,18/08/01,Hull,Plymouth,0,0,D,0,0,D,10755,G. Cain,15,3,1,0,0,0,8,0,17,5,4,3,0,0,0,0,0,0,,,,1.55,3.3,4.5,1.61,3.4,5,,,,1.57,3.6,5,1.5,3.5,6
E3,18/08/01,Leyton Orient,Carlisle,0,0,D,0,0,D,4693,C Penton,15,4,9,1,0,0,11,2,18,29,2,12,1,4,0,0,10,40,,,,1.5,3.4,4.7,1.5,3.6,6,,,,1.57,3.6,5,1.5,3.5,6
