Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
E1,11/08/01,Bradford,Barnsley,4,0,H,2,0,H,16367,D. Pugh ,15,7,7,1,0,0,7,3,11,12,5,7,2,2,0,1,20,45,,,,1.75,3.1,3.6,1.67,3.4,4.33,,,,1.8,3.4,3.75,1.72,3.4,4
E1,11/08/01,Gillingham,Preston,5,0,H,2,0,H,9412,W. M. Jordan ,20,15,11,4,2,0,4,11,21,17,4,4,1,3,0,0,10,30,,,,2.35,3,2.35,2.5,3.25,2.4,,,,2.5,3.2,2.5,2.5,3.1,2.5
E1,11/08/01,Grimsby,Crewe,1,0,H,0,0,D,5368,T. A. Parkes ,17,8,3,3,1,0,3,9,11,13,2,7,0,0,0,0,0,0,,,,1.9,3,3.1,2.2,3.25,2.75,,,,2.1,3.4,2.88,1.9,3.4,3.25
E1,11/08/01,Man City,Watford,3,0,H,0,0,D,33939,M. A. Riley ,23,6,9,2,2,0,5,3,18,19,4,7,0,4,0,1,0,65,,,,1.7,3.1,3.8,1.8,3.25,3.75,,,,1.8,3.4,3.75,1.72,3.4,4
E1,11/08/01,Millwall,Norwich,4,0,H,2,0,H,14501,M. Fletcher ,13,9,8,4,0,0,9,2,13,13,3,4,1,0,0,0,10,0,,,,1.85,3,3.3,2,3.2,3.2,,,,1.91,3.4,3.4,1.83,3.2,3.75
E1,11/08/01,Nott'm Forest,Sheffield United,1,1,D,1,0,H,25513,P. Taylor ,15,10,4,4,1,0,7,5,13,17,1,2,3,4,0,0,30,40,,,,1.9,3,3.1,1.91,3.25,3.4,,,,2,3.5,3,1.9,3.25,3.4
E1,11/08/01,Rotherham,Crystal Palace,2,3,A,2,0,H,6994,R. Pearson ,14,12,5,5,0,0,10,6,7,9,2,5,2,0,0,0,20,0,,,,2.1,3,2.8,2.4,3.25,2.5,,,,2.25,3.25,2.75,2.37,3.1,2.62
E1,11/08/01,Stockport,Coventry,0,2,A,0,1,A,9329,P. S. Danson ,9,14,3,7,0,1,4,6,19,19,0,3,3,3,0,0,30,30,,,,2.7,2.9,2.2,2.8,3.2,2.2,,,,2.8,3.25,2.2,2.87,3.3,2.1
E1,11/08/01,Walsall,West Brom,2,1,H,1,0,H,9181,U. D. Rennie ,7,10,4,5,1,0,2,3,13,17,2,1,1,2,0,0,10,20,,,,2.7,2.9,2.2,2.75,3.2,2.25,,,,2.38,3.2,2.62,2.62,3.1,2.37
E1,11/08/01,Wimbledon,Birmingham,3,1,H,1,0,H,9142,M. G. Cowburn ,12,7,6,3,0,0,6,4,10,13,2,4,1,2,0,0,10,20,,,,2.2,2.9,2.7,2.2,3.2,2.8,,,,2.25,3.25,2.75,2.3,3.25,2.62
