Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SC0,29/07/00,Dunfermline,Aberdeen,0,0,D,0,0,D,7653,Stuart Dougal,23,10,8,0,0,0,6,6,9,10,5,1,1,3,0,1,10,55,2.5,3.25,2.5,2.1,2.9,2.9,,,,2.3,3.2,2.7,2.5,3.25,2.4
SC0,29/07/00,Motherwell,Dundee,0,2,A,0,1,A,6161,John Rowbotham,8,7,5,4,1,2,5,4,14,13,3,4,2,2,0,1,20,45,1.8,3.25,4,1.8,3,3.5,,,,1.8,3.25,4,1.72,3.2,4.33
SC0,29/07/00,Rangers,St Johnstone,2,1,H,0,1,A,48062,Douglas McDonald,12,5,8,2,0,0,4,2,8,11,3,2,2,0,0,0,20,0,1.2,5.5,10,1.2,4.7,9,,,,1.2,5.25,11,1.2,5,11
SC0,29/07/00,St Mirren,Kilmarnock,0,1,A,0,0,D,7388,Willie Young,9,5,4,3,0,1,6,6,16,16,1,1,1,2,0,0,10,20,2.35,3.3,2.6,2.3,2.9,2.5,,,,2.38,3.2,2.63,2.4,3.25,2.5
SC0,30/07/00,Dundee United,Celtic,1,2,A,0,1,A,11761,Hugh Dallas,8,15,4,9,0,1,6,11,17,13,1,1,4,1,0,0,40,10,4.8,3.6,1.6,3.8,3.1,1.7,,,,5,3.4,1.62,5,3.5,1.57
SC0,30/07/00,Hearts,Hibernian,0,0,D,0,0,D,17132,Kenny Clark,10,14,5,8,1,0,6,9,18,16,1,3,1,4,0,0,10,40,1.85,3.3,3.7,2,2.9,3,,,,1.95,3.25,3.4,1.8,3.25,3.8
SC0,05/08/00,Aberdeen,St Mirren,2,1,H,1,1,D,12000,Douglas McDonald,17,10,5,5,0,2,5,4,19,11,2,1,1,1,0,0,10,10,1.7,3.3,4.2,1.8,3,3.5,,,,1.67,3.4,4.5,1.66,3.4,4.33
SC0,05/08/00,Celtic,Motherwell,1,0,H,1,0,H,58534,Alan Freeland,14,5,5,3,1,0,5,1,12,18,5,2,2,3,2,1,70,55,1.3,3.9,9,1.25,4.3,8,,,,1.3,4.5,8,1.25,4.5,10
SC0,05/08/00,Dundee,Dunfermline,3,0,H,1,0,H,7152,John Underhill,11,6,9,2,0,0,3,5,7,8,9,2,0,2,0,0,0,20,1.7,3.5,3.9,1.9,3,3.1,,,,1.83,3.4,3.6,1.66,3.6,4
SC0,05/08/00,Hibernian,Dundee United,3,0,H,2,0,H,9541,Stuart Dougal,17,7,9,3,0,0,7,1,13,10,7,0,0,4,0,0,0,40,1.95,3.4,3.05,2,2.9,3,,,,2,3.25,3.25,1.9,3.4,3.25
SC0,05/08/00,Kilmarnock,Rangers,2,4,A,2,1,H,14679,Tom Brown,6,8,2,4,0,0,1,7,15,17,2,8,3,5,1,0,55,50,7.3,3.55,1.41,4.2,3.2,1.6,,,,7,3.6,1.44,7,4,1.36
SC0,06/08/00,St Johnstone,Hearts,2,2,D,1,0,H,6164,John Rowbotham,8,12,3,6,0,0,4,8,18,18,4,2,4,3,0,0,40,30,2.4,3.2,2.55,2.3,2.9,2.5,,,,2.38,3.2,2.63,2.4,3.25,2.5
SC0,12/08/00,Dundee United,Motherwell,1,1,D,0,1,A,6201,Willie Young,13,8,3,5,0,0,4,4,8,13,1,5,0,0,0,0,0,0,2.4,2.9,2.65,2,2.9,3,,,,2.4,3.25,2.6,2.2,3.25,2.75
SC0,12/08/00,Dunfermline,St Johnstone,1,1,D,1,0,H,4775,David Somers,7,11,3,6,0,0,6,7,17,13,2,0,3,4,0,1,30,65,2.3,3,2.55,2.3,2.9,2.5,,,,2.5,3.4,2.38,2.5,3.5,2.25
SC0,12/08/00,Hibernian,Dundee,5,1,H,2,1,H,12705,George Clyde,16,9,11,5,1,0,6,4,14,15,7,1,1,4,0,2,10,90,2.15,3,2.9,1.9,3,3.1,,,,2.2,3.2,2.88,2.1,3.2,3
SC0,13/08/00,Aberdeen,Hearts,1,1,D,1,1,D,11798,Hugh Dallas,11,6,5,3,1,0,6,7,14,16,4,6,1,3,0,0,10,30,2.25,3.2,2.45,2.4,2.9,2.4,2.5,3.25,2.4,2.63,3.25,2.38,2.62,3.25,2.3
SC0,13/08/00,Celtic,Kilmarnock,2,1,H,0,1,A,58054,Kenny Clark,12,10,6,4,0,0,5,4,20,15,2,0,4,2,0,1,40,45,1.2,4.8,7.5,1.3,4,7,1.25,4.3,9,1.29,4.5,9,1.25,4.5,10
SC0,13/08/00,St Mirren,Rangers,1,3,A,0,1,A,8851,Michael McCurry,9,20,4,10,0,1,1,5,11,16,2,3,3,2,0,0,30,20,7.5,4.8,1.25,5.5,3.6,1.4,10,4.5,1.25,10,4.5,1.25,9,5,1.22
SC0,16/08/00,Kilmarnock,Hibernian,0,1,A,0,1,A,8672,Alan Freeland,11,6,4,5,0,0,5,1,13,10,1,2,1,2,0,0,10,20,2.2,3.2,2.9,2.2,2.9,2.7,2.25,3.4,2.6,2.25,3.25,2.75,2.37,3.1,2.62
SC0,16/08/00,Motherwell,Dunfermline,0,1,A,0,0,D,5257,Douglas McDonald,19,12,7,4,1,0,9,3,14,10,0,3,2,1,0,0,20,10,1.8,3.3,3.5,1.8,3,3.5,1.65,3.25,4.5,1.7,3.4,4.33,1.66,3.4,4.33
SC0,19/08/00,Aberdeen,Hibernian,0,2,A,0,1,A,13157,Michael McCurry,8,18,5,11,0,1,6,6,14,24,0,2,0,3,1,0,25,30,2.3,3.2,2.55,2.4,2.9,2.4,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.1,2.5
SC0,19/08/00,Dundee United,St Johnstone,1,2,A,0,2,A,6636,Douglas McDonald,11,11,8,5,1,1,5,9,14,15,3,3,2,2,0,0,20,20,2.15,3.15,2.75,2.2,2.9,2.7,2.2,3.2,2.8,2.25,3.25,2.75,2.2,3.25,2.75
SC0,19/08/00,Hearts,Celtic,2,4,A,0,3,A,16744,Willie Young,8,10,3,4,0,1,7,8,11,21,0,3,1,0,0,0,10,0,4,3.45,1.66,3.2,2.9,1.9,4.5,3.25,1.65,4.5,3.4,1.67,4.2,3.25,1.72
SC0,19/08/00,Kilmarnock,Motherwell,3,2,H,1,1,D,6652,George Clyde,10,6,6,3,0,0,6,3,8,8,2,9,1,1,0,0,10,10,2.15,3.2,2.8,1.9,2.9,3.2,2.1,3.2,3,2.1,3.25,3,1.9,3.4,3.25
SC0,19/08/00,Rangers,Dunfermline,4,1,H,3,1,H,47452,Kenny Clark,16,8,11,5,0,0,11,1,7,4,2,2,0,1,0,0,0,10,,,,1.15,5.5,11,1.15,5.5,15,1.14,5.75,15,1.12,6.5,13
SC0,19/08/00,St Mirren,Dundee,2,1,H,0,0,D,5165,Hugh Dallas,11,9,8,2,0,0,11,6,5,11,3,0,1,3,0,0,10,30,3,3.25,2.05,2.4,2.9,2.4,2.75,3.25,2.2,2.75,3.25,2.25,2.62,3.25,2.3
SC0,26/08/00,Dunfermline,Dundee United,1,0,H,1,0,H,4980,Michael McCurry,11,6,6,3,0,0,5,6,11,13,2,0,0,1,0,0,0,10,2.2,3.25,2.8,2.2,2.9,2.7,2.35,3.2,2.6,2.25,3.25,2.75,2.37,3.1,2.62
SC0,26/08/00,Hibernian,St Mirren,2,0,H,1,0,H,11806,David Somers,18,7,11,0,0,0,7,1,19,19,1,2,1,4,0,0,10,40,1.45,3.55,6,1.45,3.5,5,1.5,3.4,6,1.44,3.75,6.5,1.44,3.75,6
SC0,26/08/00,St Johnstone,Kilmarnock,1,1,D,1,1,D,5600,Willie Young,8,10,5,4,0,2,1,1,9,8,8,4,1,1,0,0,10,10,2.15,3.1,2.9,2.1,2.9,2.9,2.2,3.25,2.75,2.1,3.25,3,2.1,3.2,3
SC0,27/08/00,Celtic,Rangers,6,2,H,3,1,H,59476,Stuart Dougal,13,11,8,4,0,0,3,2,15,16,0,4,3,4,0,1,30,65,2.9,3.2,2.2,2.4,2.9,2.4,2.75,3.25,2.2,2.63,3.2,2.4,2.75,3.2,2.25
SC0,27/08/00,Dundee,Hearts,1,1,D,0,0,D,6779,Kenny Clark,8,14,5,9,0,0,4,2,16,18,5,5,3,4,0,0,30,40,2.25,3.1,2.8,2.4,2.9,2.4,2.25,3.2,2.75,2.4,3.2,2.6,2.5,3.1,2.5
SC0,27/08/00,Motherwell,Aberdeen,1,1,D,1,1,D,5541,John Rowbotham,9,15,4,7,0,0,8,6,19,11,15,4,3,1,0,0,30,10,2.05,3.1,3.3,2.1,2.9,2.9,2,3.2,3.2,2.1,3.25,3,2.25,3.2,2.75
SC0,09/09/00,Aberdeen,St Johnstone,1,1,D,0,0,D,11026,Tom Brown,13,6,5,4,0,0,12,5,16,17,8,4,1,4,0,1,10,65,2.2,3.05,2.95,2.2,2.9,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.1,3.2,3
SC0,09/09/00,Celtic,Hibernian,3,0,H,2,0,H,60091,John Rowbotham,21,7,9,3,0,0,9,1,16,13,1,1,1,3,0,0,10,30,1.38,4.05,6.15,1.4,3.6,5.5,1.45,3.75,6,1.44,3.75,6.5,1.4,3.6,7.5
SC0,09/09/00,Dundee,Rangers,1,1,D,0,0,D,10439,Douglas McDonald,7,7,4,3,0,0,4,7,8,20,3,9,2,2,0,0,20,20,7.1,3.4,1.4,5,3.5,1.45,6,3.4,1.5,7.5,3.75,1.4,8,3.75,1.36
SC0,09/09/00,Hearts,Dunfermline,2,0,H,1,0,H,11811,Bobby Orr,17,5,8,1,0,0,7,2,9,15,2,0,0,1,0,0,0,10,1.66,3.15,4.5,1.6,3.2,4.2,1.6,3.25,5,1.75,3.3,4,1.61,3.25,5
SC0,09/09/00,Kilmarnock,Dundee United,1,0,H,1,0,H,6380,Hugh Dallas,9,8,4,2,1,1,2,5,9,9,2,3,0,2,0,0,0,20,1.8,3.1,4,1.8,3,3.5,1.7,3.5,3.75,1.8,3.25,4,1.83,3.2,3.75
SC0,09/09/00,St Mirren,Motherwell,0,1,A,0,0,D,5274,Stuart Dougal,9,18,5,6,0,0,8,6,8,18,2,1,0,2,0,0,0,20,2.3,3.1,2.7,2.3,2.9,2.5,2.35,3.2,2.6,2.3,3.2,2.7,2.37,3.3,2.5
SC0,16/09/00,Dundee United,St Mirren,0,0,D,0,0,D,5943,Kenny Clark,13,7,4,2,0,0,6,4,18,10,0,4,2,1,1,0,45,10,1.95,3.25,3.15,1.9,2.9,3.2,2.2,3.2,2.8,1.91,3.25,3.5,1.9,3.3,3.4
SC0,16/09/00,Hibernian,Motherwell,2,0,H,0,0,D,9852,Michael McCurry,17,7,9,2,1,1,1,0,11,24,3,5,3,3,0,0,30,30,1.65,3.3,4.6,1.6,3.2,4.2,1.6,3.5,4.5,1.62,3.5,4.75,1.61,3.5,4.5
SC0,16/09/00,Kilmarnock,Aberdeen,1,0,H,1,0,H,6876,Kevin Toner,8,5,5,2,0,0,5,10,6,9,5,4,2,3,0,0,20,30,1.85,3.15,3.5,1.85,3,3.3,1.7,3.5,3.75,1.8,3.4,3.75,1.83,3.4,3.5
SC0,16/09/00,St Johnstone,Dundee,0,0,D,0,0,D,5055,John Underhill,10,7,4,3,0,0,3,5,14,16,4,4,0,1,0,0,0,10,2.05,3.25,3.1,1.9,2.9,3.2,2.25,3.2,2.75,2.1,3.25,3,2.25,3.2,2.75
SC0,17/09/00,Rangers,Hearts,1,0,H,0,0,D,47340,Hugh Dallas,17,3,9,2,0,0,13,2,7,7,2,1,2,1,0,0,20,10,1.2,5.2,10,1.25,4.3,8,1.3,4.5,8,1.25,5,8.5,1.2,5,11
SC0,18/09/00,Dunfermline,Celtic,1,2,A,0,0,D,9493,Willie Young,2,11,1,3,0,2,3,8,19,16,0,2,1,5,0,0,10,50,7,3.7,1.33,5,3.5,1.45,7,4,1.35,7.5,4,1.36,8,3.25,1.44
SC0,20/09/00,Dundee,Dundee United,3,0,H,0,0,D,9838,Stuart Dougal,8,7,5,3,0,2,3,2,9,20,5,3,1,4,0,1,10,65,2.05,3.3,3.05,2,2.9,3,2.2,3.25,2.75,2,3.25,3.25,2.1,3.2,3
SC0,20/09/00,Hearts,St Mirren,2,0,H,0,0,D,10524,John Underhill,13,11,7,3,0,0,8,2,14,11,2,0,1,0,0,0,10,0,1.5,3.6,5.5,1.45,3.5,5,1.55,3.5,5,1.53,3.5,5.5,1.53,3.4,5.5
SC0,23/09/00,Celtic,Dundee,1,0,H,0,0,D,59674,Tom Brown,13,5,6,3,0,1,4,1,12,7,3,1,1,3,0,0,10,30,1.2,4.8,9,1.2,4.7,9,1.25,5,8,1.2,5.5,9.5,1.16,5.5,12
SC0,23/09/00,Dundee United,Aberdeen,3,5,A,0,3,A,7699,Douglas McDonald,10,11,4,9,0,0,4,3,10,14,5,3,3,2,0,1,30,45,2.25,3.2,2.55,2.2,2.9,2.7,2.4,3.25,2.5,2.38,3.2,2.63,2.37,3.3,2.5
SC0,23/09/00,Dunfermline,Hibernian,1,1,D,0,1,A,8275,George Clyde,8,10,4,5,0,0,4,4,15,18,2,1,1,3,0,0,10,30,2.7,3.2,2.2,2.9,2.9,2.1,3.2,3.2,2,2.8,3.25,2.2,2.87,3.3,2.1
SC0,23/09/00,Motherwell,Rangers,0,1,A,0,1,A,11275,Stuart Dougal,9,12,4,5,0,0,3,11,15,8,0,2,3,2,0,0,30,20,6.1,3.9,1.4,5,3.5,1.45,7,3.75,1.4,7.5,4,1.36,8,3.75,1.36
