Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
SC0,09/08/03,Dundee United,Hibernian,1,2,A,0,0,D,K Clark,15,9,5,4,10,17,7,4,1,2,1,0,2.1,3.25,3,2.2,3.25,2.85,2.3,3,2.7,2.4,3.25,2.5,2.4,3.2,2.6,2.4,3.2,2.6,2.1,3.2,3,1.85,1.85,2.05,1.75,-0.25
SC0,09/08/03,Dunfermline,Celtic,0,0,D,0,0,D,H Dallas,7,14,6,6,17,10,5,9,1,0,0,0,9,5,1.25,8.5,4.7,1.28,8,4.2,1.3,11,5,1.2,8.5,4.5,1.29,8.5,4.5,1.28,8,4.5,1.28,1.45,2.5,,,
SC0,09/08/03,Hearts,Aberdeen,2,0,H,1,0,H,W Young,10,8,7,5,22,11,5,4,2,0,0,0,1.615,3.6,4.5,1.7,3.5,4.2,1.75,3.2,4,1.8,3.25,3.75,1.73,3.25,4.33,1.72,3.25,4.33,1.72,3.4,4,1.79,1.9,2,1.8,-0.75
SC0,09/08/03,Motherwell,Dundee,0,3,A,0,2,A,J Underhill,12,6,4,3,13,17,6,4,1,3,0,0,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.85,1.85,2,1.8,0
SC0,09/08/03,Partick,Livingston,1,1,D,1,0,H,D McDonald,6,18,2,8,8,19,2,5,0,2,0,0,2.3,3.2,2.7,2.25,3.3,2.75,2.3,3,2.7,2.25,3.4,2.625,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,1.79,1.9,2.05,1.75,-0.25
SC0,09/08/03,Rangers,Kilmarnock,4,0,H,3,0,H,J Rowbotham,21,1,13,1,15,14,6,4,2,4,0,1,1.143,6.5,12,1.14,6.35,13,1.2,5,10,1.125,6,15,1.14,6,13,1.14,6,13,1.14,6,12,1.4,2.65,,,
SC0,16/08/03,Aberdeen,Rangers,2,3,A,1,2,A,M McCurry,9,12,6,8,17,14,2,6,2,1,0,0,9,4.5,1.286,8.35,4.5,1.3,7,4,1.35,8,4.5,1.286,8.5,4.5,1.29,9,4.5,1.28,8,4,1.33,1.6,2.15,,,
SC0,16/08/03,Celtic,Dundee United,5,0,H,3,0,H,A Freeland,12,3,11,2,13,15,5,2,2,2,0,0,1.167,5.5,13,1.15,6,13,1.15,6,12,1.143,5.5,15,1.14,6,15,1.14,6,15,1.14,6,12,1.5,2.35,,,
SC0,16/08/03,Kilmarnock,Partick,2,1,H,0,1,A,W Young,18,10,5,3,17,10,7,5,0,1,0,1,1.667,3.4,4.5,1.7,3.55,4.1,1.8,3.2,3.7,1.615,3.5,4.5,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.4,4.33,1.95,1.75,1.9,1.9,-0.75
SC0,16/08/03,Livingston,Motherwell,1,0,H,0,0,D,C Thomson,12,6,6,3,19,15,3,8,0,1,0,0,1.8,3.4,3.75,1.8,3.4,3.8,1.8,3.2,3.7,1.727,3.5,3.75,1.83,3.25,3.75,1.83,3.3,3.75,1.8,3.3,3.75,1.71,1.95,1.8,2,-0.5
SC0,17/08/03,Dundee,Dunfermline,0,2,A,0,1,A,C Richmond,16,7,8,2,12,21,9,4,1,1,0,0,2.1,3.25,3,2.1,3.25,3.05,2.1,3.1,3,2,3.4,3,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.71,2,1.85,1.95,-0.25
SC0,17/08/03,Hibernian,Hearts,1,0,H,0,0,D,S Dougal,12,15,8,7,21,20,4,5,4,3,1,0,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3,2.5,2.5,3.2,2.5,2.4,3.2,2.6,2.4,3.2,2.6,2.5,3.25,2.4,1.75,1.95,1.9,1.9,0
SC0,23/08/03,Aberdeen,Dunfermline,1,2,A,1,1,D,J Rowbotham,7,6,4,3,13,16,9,3,0,0,0,0,2.1,3.25,3,2.1,3.2,3.1,2,3.1,3.2,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.85,1.85,1.85,1.95,-0.25
SC0,23/08/03,Dundee,Livingston,2,1,H,1,1,D,M McCurry,15,11,6,4,13,22,4,6,1,5,0,0,1.8,3.4,3.75,1.85,3.3,3.75,1.9,3.1,3.5,2,3.2,3.2,1.91,3.25,3.5,1.9,3.25,3.5,1.8,3.3,3.75,1.85,1.85,1.85,1.95,-0.5
SC0,23/08/03,Hearts,Dundee United,3,0,H,3,0,H,I Brines,9,4,7,2,22,16,4,2,2,4,0,0,1.667,3.4,4.5,1.65,3.4,4.75,1.65,3.3,4.4,1.667,3.4,4.333,1.62,3.4,5,1.61,3.4,5,1.66,3.4,4.33,1.71,2,1.95,1.85,-0.75
SC0,23/08/03,Motherwell,Kilmarnock,2,1,H,0,0,D,Iain Fyfe,14,6,3,1,19,22,7,2,1,3,0,1,2.7,3.2,2.3,2.7,3.2,2.35,2.4,3.2,2.4,2.75,3.25,2.2,2.62,3.2,2.38,2.62,3.2,2.37,2.62,3.2,2.3,1.75,1.95,1.75,2.05,0.25
SC0,23/08/03,Partick,Celtic,1,2,A,1,2,A,K Clark,9,15,5,10,19,20,3,4,2,1,0,0,10,5.5,1.2,11,5.5,1.2,10,5,1.2,11,5,1.2,10,5.5,1.2,10,5.5,1.2,9.5,5,1.22,1.55,2.25,,,
SC0,23/08/03,Rangers,Hibernian,5,2,H,2,2,D,D McDonald,7,7,6,4,11,16,3,5,0,1,0,0,1.143,6.5,12,1.15,6,13,1.2,5,10,1.143,6,12,1.14,6,13,1.14,6,13,1.14,6,12,1.45,2.5,,,
SC0,30/08/03,Celtic,Livingston,5,1,H,2,0,H,W Young,20,2,14,2,10,16,13,0,0,2,0,0,1.125,7,12,1.1,7.35,15,1.12,6.5,13,1.143,6,12,1.12,7,12,1.12,7,12,1.12,6.5,12,1.4,2.65,,,
SC0,30/08/03,Hibernian,Aberdeen,1,1,D,0,1,A,I Brines,20,10,13,4,8,15,6,6,2,1,0,0,1.8,3.25,4,1.9,3.3,3.55,1.9,3.2,3.4,1.8,3.25,3.75,1.91,3.25,3.5,1.9,3.25,3.5,2,3.2,3.2,1.85,1.85,1.9,1.9,-0.5
SC0,30/08/03,Motherwell,Partick,2,2,D,1,1,D,J Rowbotham,7,9,4,3,15,16,5,5,3,6,1,1,2.1,3.25,3,2.2,3.2,3,2.2,3,2.9,2.1,3.4,2.875,2.2,3.2,2.88,2.2,3.2,2.87,2.1,3.2,3,1.79,1.9,1.9,1.9,-0.25
SC0,31/08/03,Dundee United,Rangers,1,3,A,0,1,A,J Underhill,6,11,4,10,12,11,5,1,2,1,0,0,10,5.5,1.2,9.6,5.35,1.22,9,4.5,1.25,8,5,1.25,8.5,5.5,1.22,9,5.5,1.22,9.5,5,1.22,1.55,2.25,,,
SC0,31/08/03,Hearts,Dunfermline,1,0,H,0,0,D,A Freeland,15,4,7,3,17,22,7,4,1,3,0,0,1.727,3.25,4.333,1.85,3.4,3.65,1.8,3.2,3.7,1.833,3.4,3.5,1.8,3.25,4,1.8,3.25,4,1.8,3.4,3.6,1.79,1.9,1.85,1.95,-0.5
SC0,31/08/03,Kilmarnock,Dundee,1,1,D,0,0,D,S Dougal,10,8,5,5,13,10,6,5,3,2,0,0,2.3,3.2,2.7,2.15,3.2,3.1,2.1,3,3.1,1.909,3.25,3.4,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.85,1.85,1.9,1.9,-0.25
SC0,13/09/03,Aberdeen,Partick,2,1,H,1,0,H,C Murray,11,6,6,2,16,10,3,7,2,1,0,0,1.8,3.25,4,1.8,3.3,3.95,1.9,3.2,3.4,1.909,3.25,3.4,1.83,3.25,3.75,1.83,3.4,3.6,1.83,3.3,3.6,1.71,2,1.85,1.95,-0.5
SC0,13/09/03,Dundee,Celtic,0,1,A,0,1,A,D McDonald,8,6,5,4,12,18,6,4,2,1,0,1,9,4.5,1.28,8.25,4.5,1.3,8,4.2,1.3,11,5,1.2,9,5,1.25,9,5,1.25,7.5,4.5,1.3,1.6,2.15,,,
SC0,13/09/03,Hibernian,Motherwell,0,2,A,0,1,A,K Clark,10,9,2,8,15,11,3,6,2,1,0,0,1.66,3.4,4.5,1.65,3.5,4.5,1.7,3.3,4,1.667,3.4,4.333,1.73,3.25,4.33,1.72,3.25,4.33,1.66,3.4,4.33,1.79,1.9,1.95,1.85,-0.75
SC0,13/09/03,Kilmarnock,Hearts,0,2,A,0,2,A,H Dallas,8,12,1,8,17,18,5,6,2,3,0,0,2.6,3.2,2.4,2.5,3.2,2.5,2.4,3.2,2.4,2.375,3.2,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.4,3.25,2.5,1.9,1.79,1.9,1.9,0
SC0,13/09/03,Livingston,Dundee United,0,0,D,0,0,D,S Conroy,14,6,13,4,17,12,14,6,2,2,0,0,2,3.25,3.25,2,3.3,3.25,2,3.2,3.1,2,3.4,3,2,3.25,3.25,2,3.25,3.25,2.1,3.3,2.87,1.9,1.79,2,1.8,-0.5
SC0,13/09/03,Rangers,Dunfermline,4,0,H,3,0,H,C Richmond,14,7,6,2,14,14,4,5,1,1,0,0,1.12,7,12,1.13,6.5,12,1.15,6,12,1.143,6,12,1.14,6,13,1.14,6,13,1.14,6,12,1.45,2.5,,,
SC0,20/09/03,Celtic,Motherwell,3,0,H,0,0,D,I Brines,16,5,10,1,12,20,3,7,2,2,0,0,1.1,7,15,1.1,6.7,16.8,1.12,6.5,13,1.1,6.5,17,1.11,6.5,17,1.11,6.5,17,1.1,6.5,17,1.4,2.65,,,
SC0,20/09/03,Dundee,Aberdeen,2,0,H,1,0,H,C Thomson,11,3,6,0,7,9,5,6,0,0,0,0,1.8,3.4,3.75,1.97,3.3,3.3,2.1,3.1,3,1.909,3.25,3.4,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.71,2,1.97,1.82,-0.5
SC0,20/09/03,Dunfermline,Hibernian,0,0,D,0,0,D,M McCurry,12,5,0,0,15,12,2,2,2,2,0,0,2.1,3.25,3,2.1,3.25,3,2,3,3.3,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.85,1.85,1.9,1.9,-0.25
SC0,20/09/03,Livingston,Kilmarnock,1,2,A,1,2,A,J Rowbotham,14,6,11,6,16,21,9,6,4,4,0,1,2.25,3.25,2.75,2.25,3.2,2.8,2.3,3.1,2.6,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.2,2.8,1.95,1.75,2.08,1.75,-0.25
SC0,20/09/03,Partick,Dundee United,0,2,A,0,1,A,K Toner,14,13,8,7,16,15,7,11,0,0,0,0,2.2,3.25,2.8,2.25,3.2,2.8,2.2,3.1,2.8,2.25,3.4,2.625,2.25,3.25,2.75,2.25,3.25,2.75,2.3,3.2,2.62,2,1.71,2.08,1.75,-0.25
SC0,21/09/03,Hearts,Rangers,0,4,A,0,1,A,S Dougal,6,15,1,9,19,16,3,11,3,1,0,0,7.5,4.33,1.33,7.65,4,1.34,6,3.9,1.4,6.5,4,1.4,7.5,4,1.36,7.5,4,1.36,8,3.75,1.36,1.55,2.25,,,
SC0,27/09/03,Aberdeen,Livingston,0,3,A,0,1,A,D McDonald,16,9,10,4,8,16,10,4,0,2,0,0,1.9,3.25,3.5,1.9,3.25,3.6,1.9,3.2,3.4,1.833,3.4,3.5,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.75,1.95,1.9,1.9,-0.5
SC0,27/09/03,Dundee United,Kilmarnock,1,1,D,0,0,D,S Dougal,11,14,7,7,11,19,4,6,0,2,0,0,2.2,3.25,2.8,2.3,3.2,2.75,2.4,3.2,2.4,2.4,3.25,2.5,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,1.75,1.95,1.8,2,0
SC0,27/09/03,Dunfermline,Partick,2,1,H,0,0,D,K Clark,23,5,16,4,12,16,10,2,0,3,0,0,1.66,3.4,4.5,1.7,3.3,4.55,1.75,3.3,3.8,1.727,3.4,4,1.73,3.25,4.33,1.72,3.25,4.33,1.61,3.3,5,,,2,1.8,-0.75
SC0,27/09/03,Hibernian,Celtic,1,2,A,1,1,D,A Freeland,10,17,5,8,18,14,9,6,2,3,0,1,9,5,1.25,10,4.5,1.27,9,4.5,1.25,11,5,1.2,8.5,5,1.25,9,5,1.25,10,4.5,1.25,1.5,2.35,,,
SC0,27/09/03,Motherwell,Hearts,1,1,D,1,1,D,C Richmond,5,8,2,3,14,22,5,5,2,4,0,0,2.75,3.25,2.25,2.75,3.2,2.3,2.6,3.1,2.3,2.75,3.2,2.25,2.63,3.2,2.38,2.7,3.2,2.3,2.75,3.25,2.2,1.71,2,1.75,2.05,0.25
SC0,27/09/03,Rangers,Dundee,3,1,H,0,0,D,W Young,19,9,13,7,11,15,11,7,0,2,0,0,1.12,7,12,1.12,6.75,14,1.1,7,15,1.125,6,15,1.13,6.5,13,1.12,6.5,13,1.12,6.5,12,1.45,2.5,,,
SC0,04/10/03,Dundee United,Motherwell,0,2,A,0,1,A,H Dallas,13,14,7,10,18,16,4,6,2,2,0,0,1.9,3.25,3.5,2,3.25,3.33,2.1,3.1,3,1.909,3.4,3.25,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.9,1.79,1.95,1.85,-0.5
SC0,04/10/03,Hearts,Dundee,2,2,D,0,1,A,J Underhill,14,7,11,7,17,12,4,7,4,3,0,0,1.8,3.25,4,1.85,3.25,3.8,1.8,3.1,3.8,1.8,3.4,3.6,1.8,3.25,4,1.8,3.25,4,1.8,3.3,3.75,1.75,1.95,1.8,2,-0.5
SC0,04/10/03,Kilmarnock,Aberdeen,1,3,A,0,2,A,S Conroy,11,9,6,7,11,13,4,1,0,0,0,0,1.8,3.25,4,1.85,3.25,3.8,1.85,3.1,3.6,1.909,3.4,3.25,1.83,3.25,3.75,1.83,3.3,3.75,1.83,3.2,3.75,1.85,1.85,1.8,2,-0.5
SC0,04/10/03,Livingston,Dunfermline,0,0,D,0,0,D,I Fyfe,14,8,6,5,22,21,4,4,2,2,0,0,2.25,3.25,2.75,2.25,3.25,2.8,2.4,3,2.6,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.2,2.8,2.3,3.2,2.62,1.95,1.75,2,1.8,-0.25
SC0,04/10/03,Partick,Hibernian,0,1,A,0,0,D,J Rowbotham,9,9,5,5,9,15,3,5,1,1,0,0,2.62,3.2,2.37,2.65,3.25,2.35,2.6,3,2.4,2.6,3.2,2.375,2.62,3.2,2.38,2.62,3.2,2.37,2.5,3.1,2.5,1.95,1.75,2,1.8,0
SC0,04/10/03,Rangers,Celtic,0,1,A,0,0,D,M McCurry,10,6,7,3,17,19,6,2,1,0,0,0,2.25,3.25,2.75,2.37,3.1,2.82,2.4,3,2.6,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.2,2.8,2.25,3.1,2.8,1.71,2,1.8,2,0
SC0,18/10/03,Aberdeen,Dundee United,0,1,A,0,1,A,I Brines,8,7,2,4,11,16,10,4,1,3,0,0,2.1,3.25,3,1.95,3.25,3.5,1.9,3.2,3.4,1.8,3.4,3.6,1.91,3.25,3.5,1.9,3.25,3.5,2.1,3.2,3,1.65,2.05,1.95,1.85,-0.5
SC0,18/10/03,Celtic,Hearts,5,0,H,4,0,H,K Clark,13,1,8,0,13,15,14,0,0,3,0,0,1.14,6.5,12,1.15,6,13,1.17,5.5,11,1.125,6,15,1.17,6,11,1.16,6,11,1.16,5.5,12,,,,,
SC0,18/10/03,Dundee,Partick,1,0,H,0,0,D,S Dougal,22,14,9,10,15,14,8,3,2,1,0,0,1.57,3.6,5,1.57,3.5,5.25,1.65,3.3,4.4,1.571,3.5,5,1.57,3.5,5,1.57,3.6,5,1.53,3.4,5.5,1.65,2.05,2,1.8,-1
SC0,18/10/03,Dunfermline,Kilmarnock,2,3,A,1,1,D,C Murray,21,6,16,6,10,11,10,4,0,0,0,0,2,3.25,3.25,1.91,3.3,3.5,2,3.2,3.1,1.909,3.25,3.4,1.91,3.25,3.5,1.9,3.25,3.5,2,3.2,3.2,1.71,2,1.9,1.9,-0.5
SC0,18/10/03,Hibernian,Livingston,0,2,A,0,1,A,C Thomson,8,5,3,3,10,18,5,4,1,1,0,0,1.8,3.25,4,1.85,3.3,3.75,1.85,3.2,3.5,1.833,3.2,3.75,1.91,3.25,3.5,1.9,3.25,3.5,1.83,3.2,3.75,1.71,2,1.85,1.95,-0.5
SC0,19/10/03,Motherwell,Rangers,1,1,D,1,1,D,D McDonald,13,16,3,9,15,14,3,5,0,3,0,0,10,5,1.22,11.25,5.25,1.2,10,4.5,1.22,12,5.5,1.167,10,5.5,1.2,10,5.5,1.2,9,5.5,1.2,1.5,2.35,,,
SC0,25/10/03,Celtic,Aberdeen,4,0,H,3,0,H,C Richmond,16,5,7,3,15,16,6,5,0,1,0,0,1.08,7.5,17,1.1,7,17,1.1,7,15,1.083,7,17,1.11,6.5,17,1.11,6.5,17,1.1,6.5,17,1.33,2.9,,,
SC0,25/10/03,Hibernian,Kilmarnock,3,1,H,2,0,H,J Underhill,9,13,4,7,13,15,7,6,0,2,0,0,2.1,3.25,3,2.15,3.2,3,2.2,3,2.9,2.1,3.4,2.875,2.1,3.25,3,2.1,3.25,3,2.2,3.25,2.75,1.79,1.9,2,1.8,-0.25
SC0,25/10/03,Livingston,Rangers,0,0,D,0,0,D,H Dallas,7,11,1,5,26,15,2,8,3,1,0,0,10,5,1.22,9.5,5,1.24,8,4.2,1.3,10,4.5,1.25,10,5,1.22,10,5,1.22,8,5,1.25,1.55,2.25,,,
SC0,25/10/03,Partick,Hearts,1,4,A,0,3,A,W Young,8,10,4,8,11,19,3,5,0,2,0,0,3.25,3.25,2,3.1,3.2,2.1,3,3.1,2.1,3,3.4,2,3,3.25,2.1,3,3.25,2.1,3,3.2,2.1,1.79,1.9,1.78,2.02,0.5
SC0,26/10/03,Dundee United,Dundee,1,1,D,0,1,A,M McCurry,13,4,4,2,12,13,5,7,1,0,0,0,2.5,3.2,2.5,2.5,3.15,2.55,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.85,1.85,1.9,1.9,0
SC0,01/11/03,Aberdeen,Motherwell,0,3,A,0,1,A,K Toner,10,7,5,6,8,17,7,3,0,1,0,0,2.25,3.25,2.75,2.3,3.2,2.75,2.2,3.1,2.8,2.1,3.5,2.75,2.2,2.8,3.25,2.3,3.2,2.7,2.3,3.2,2.62,1.85,1.85,1.7,2.05,0
SC0,01/11/03,Dundee,Hibernian,1,1,D,1,0,H,K Clark,5,14,4,8,12,15,5,11,3,0,1,0,1.9,3.25,3.5,2,3.3,3.25,2.1,3.1,3,1.91,3.25,3.4,1.83,3.25,3.75,2,3.25,3.25,2.1,3.3,2.87,1.75,1.95,2,1.8,-0.5
