Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC3,10/08/13,Clyde,Berwick,1,0,H,0,0,D,2.88,3.75,2.2,2.75,3.4,2.2,2.7,3.2,2.2,2.62,3.5,2.2,3.28,3.7,2.18,2.88,3.5,2.3,2.88,3.5,2.1,3.12,3.75,2.15,25,3.13,2.88,3.75,3.46,2.3,2.18,15,1.67,1.59,2.4,2.28,12,0.25,2.01,1.96,1.93,1.89
SC3,10/08/13,Elgin,Albion Rvs,1,2,A,0,1,A,2.4,3.6,2.7,2.4,3.4,2.5,2.3,3.2,2.5,2.3,3.5,2.5,2.49,3.73,2.74,2.5,3.5,2.62,2.4,3.5,2.6,2.45,3.6,2.75,25,2.5,2.4,3.6,3.37,2.75,2.62,14,1.53,1.48,2.63,2.54,11,0,1.86,1.82,2.1,2.04
SC3,10/08/13,Montrose,Stirling,1,2,A,1,1,D,2.3,3.75,2.75,2.25,3.4,2.7,2.3,3.2,2.5,2.2,3.5,2.6,2.42,3.71,2.84,2.5,3.5,2.62,2.38,3.5,2.63,2.38,3.75,2.75,25,2.5,2.36,3.75,3.38,2.78,2.67,15,1.55,1.5,2.6,2.47,10,0,1.82,1.79,2.12,2.07
SC3,10/08/13,Peterhead,Annan Athletic,2,2,D,0,1,A,1.57,4.33,5,1.5,4,5.25,1.55,3.5,4.8,1.53,4,4.5,1.66,4.07,5.35,1.67,3.8,5,1.57,4.33,4.5,1.62,4.1,5.25,25,1.67,1.59,4.33,3.9,5.25,4.81,15,1.83,1.73,2.15,2.05,12,-0.75,1.85,1.81,2.08,2.05
SC3,10/08/13,Queens Park,East Stirling,1,3,A,1,2,A,1.5,4.75,5.25,1.44,4.25,5.5,1.45,3.8,5.4,1.36,4.5,6,1.52,4.65,6.17,1.53,4.33,5.5,1.44,4.5,5.5,1.5,4.75,5.75,25,1.53,1.47,4.75,4.33,6.2,5.42,14,1.45,1.41,2.88,2.74,13,-1,1.86,1.81,2.09,2.04
SC3,17/08/13,Albion Rvs,Clyde,3,0,H,3,0,H,1.62,4,5,1.65,3.6,4.4,1.55,3.5,4.8,1.61,3.6,4.33,1.645,4.2,5.28,1.67,4.33,3.75,1.62,3.8,5,1.62,4.3,5,27,1.67,1.59,4.2,3.83,5.25,4.73,16,1.6,1.54,2.5,2.37,,,,,,
SC3,17/08/13,Annan Athletic,Montrose,2,1,H,0,0,D,2.2,3.75,2.9,2.1,3.4,2.95,2.2,3.2,2.7,2,3.6,2.87,2.13,3.8,3.3,2.2,3.75,2.7,2.1,3.6,2.88,2.2,3.75,3.1,27,2.26,2.12,3.75,3.43,3.2,2.96,16,1.55,1.5,2.63,2.5,,,,,,
SC3,17/08/13,Berwick,Queens Park,4,0,H,2,0,H,2.05,3.6,3.3,2.05,3.3,3.1,2,3.3,3,2.2,3.5,2.62,2.14,3.87,3.23,2.2,3.75,2.7,2.05,3.5,3.2,2.05,3.75,3.4,27,2.2,2.03,3.75,3.42,3.45,3.18,16,1.6,1.55,2.47,2.36,,,,,,
SC3,17/08/13,East Stirling,Elgin,3,0,H,2,0,H,3,3.75,2.15,2.7,3.5,2.2,2.7,3.2,2.2,2.62,3.4,2.25,3.09,3.88,2.23,2.6,3.8,2.25,2.88,3.5,2.2,2.9,3.8,2.25,27,3.05,2.85,3.75,3.41,2.3,2.19,15,1.49,1.44,2.8,2.66,,,,,,
SC3,17/08/13,Stirling,Peterhead,2,0,H,1,0,H,2.9,3.6,2.25,2.8,3.5,2.15,2.5,3.2,2.3,2.62,3.4,2.25,3.09,3.45,2.37,2.88,3.6,2.15,2.8,3.4,2.25,3,3.5,2.3,27,3,2.76,3.6,3.34,2.4,2.29,24,1.97,1.89,1.97,1.89,,,,,,
