Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA
SC3,04/08/01,Dumbarton,Brechin,1,2,A,1,1,D,837,Charlie Richmond,9,14,3,7,0,1,4,6,12,1,3,1,0,1,0,0,0,10,,,,2.25,3.5,2.5,2.38,3.25,2.5,2.5,3.5,2.25
SC3,04/08/01,East Fife,Albion Rvs,0,0,D,0,0,D,465,A. C. Gemmill ,7,10,2,2,0,0,1,4,15,16,1,1,0,1,0,0,0,10,,,,2,3.6,2.87,1.8,3.6,3.4,1.83,3.4,3.5
SC3,04/08/01,Elgin,East Stirling,2,1,H,1,0,H,731,George Clyde,3,9,2,2,0,2,3,2,5,7,3,0,2,0,0,0,20,0,,,,2.37,3.5,2.37,2.38,3.5,2.38,2.37,3.5,2.37
SC3,04/08/01,Montrose,Queens Park,3,1,H,2,0,H,439,Mike Ritchie,10,9,5,3,0,0,5,5,18,11,4,3,2,0,0,0,20,0,,,,2.5,3.5,2.25,2.6,3.5,2.2,2.62,3.5,2.2
SC3,04/08/01,Stirling,Peterhead,2,1,H,1,1,D,586,C Thompson,13,9,5,6,0,1,8,1,20,15,3,2,0,3,0,0,0,30,,,,1.8,3.5,3.5,1.73,3.75,3.6,1.72,3.6,3.75
SC3,11/08/01,Albion Rvs,Stirling,1,3,A,0,3,A,444,G. T. Clyde,7,8,4,3,0,0,4,2,14,15,3,3,1,2,2,0,60,20,,,,2.25,3.5,2.5,2.5,3.25,2.38,2.62,3.5,2.2
SC3,11/08/01,Brechin,East Fife,6,0,H,2,0,H,474,E. Martindale,24,21,14,8,0,2,7,7,10,12,6,4,0,0,0,0,0,0,,,,1.61,3.5,4.5,1.8,3.6,3.4,1.72,3.6,3.75
SC3,11/08/01,East Stirling,Montrose,0,1,A,0,1,A,191,C.Murray,5,9,2,4,1,0,4,4,15,12,6,2,3,0,0,0,30,0,,,,2.37,3.5,2.37,2.38,3.25,2.5,2.62,3.5,2.2
SC3,11/08/01,Peterhead,Dumbarton,0,3,A,0,1,A,528,C. J. MacKay,16,10,6,6,0,1,8,5,12,20,1,2,0,1,0,0,0,10,,,,2.25,3.5,2.5,2.38,3.5,2.38,2.5,3.5,2.25
SC3,11/08/01,Queens Park,Elgin,0,0,D,0,0,D,691,A Hunter,8,3,2,2,0,0,2,4,12,12,4,0,2,1,0,1,20,35,,,,,,,1.62,3.6,4.33,1.72,3.6,3.75
SC3,18/08/01,Dumbarton,Queens Park,2,1,H,0,0,D,823,E. D. Mack,9,12,6,5,0,0,12,6,20,17,0,2,3,2,0,0,30,20,,,,,,,1.83,3.5,3.4,1.72,3.6,3.75
SC3,18/08/01,East Fife,East Stirling,0,4,A,0,3,A,299,R. Orr,10,9,5,7,0,0,2,4,9,10,2,5,0,0,0,0,0,0,,,,1.73,3.5,3.75,1.67,3.6,4,1.8,3.6,3.4
SC3,18/08/01,Elgin,Albion Rvs,2,0,H,1,0,H,623,I. G. Frickleton,6,6,4,1,0,0,4,5,14,14,3,1,2,3,0,2,20,80,,,,2.25,3.5,2.5,2.25,3.6,2.5,2.5,3.5,2.25
SC3,18/08/01,Montrose,Peterhead,0,3,A,0,1,A,439,John Gilmore,9,12,1,6,0,0,4,4,7,12,5,4,0,0,0,0,0,0,,,,2.1,3.5,2.75,1.8,3.6,3.4,1.83,3.5,3.4
SC3,18/08/01,Stirling,Brechin,1,3,A,1,1,D,626,Ian Brines,5,15,2,12,0,1,5,3,15,18,5,4,2,2,0,0,20,20,,,,2.5,3.5,2.25,2.5,3.75,2.2,2.62,3.5,2.2
SC3,25/08/01,Brechin,Albion Rvs,4,1,H,3,0,H,507,A Hunter,10,7,7,2,0,0,2,4,12,21,5,8,1,0,0,0,10,0,,,,1.36,4.33,6.5,1.4,4.33,5.5,1.25,5.5,7
SC3,25/08/01,Dumbarton,Montrose,0,1,A,0,0,D,751,B. J. McGarry,6,5,2,1,0,0,3,2,15,11,0,1,1,1,0,0,10,10,,,,1.8,3.5,3.5,1.8,3.75,3.3,1.72,3.75,3.6
SC3,25/08/01,East Fife,Peterhead,0,1,A,0,0,D,331,C Thompson,12,14,5,7,0,0,6,3,13,13,6,6,2,1,0,0,20,10,,,,2.25,3.5,2.5,2.2,3.5,2.6,2.5,3.4,2.3
SC3,25/08/01,Elgin,Stirling,2,3,A,1,1,D,769,G. P. Mitchell ,13,8,7,2,1,1,6,5,4,9,3,0,0,2,0,0,0,20,,,,2.5,3.5,2.25,2.75,3.5,2.1,2.75,3.5,2.1
SC3,25/08/01,Queens Park,East Stirling,2,3,A,0,2,A,502,T. Brown,17,11,10,7,1,1,8,6,13,10,2,4,2,1,0,1,20,35,,,,,,,1.91,3.5,3.2,1.9,3.5,3.2
SC3,08/09/01,Albion Rvs,Queens Park,2,1,H,0,1,A,387,C. Murray,11,5,9,3,0,0,5,2,16,23,2,1,0,2,0,0,0,20,,,,,,,2.2,3.5,2.6,2.25,3.5,2.5
SC3,08/09/01,East Stirling,Dumbarton,2,4,A,1,1,D,208,J. D. K. Smith,10,16,3,8,0,0,4,11,15,16,3,1,2,2,0,0,20,20,,,,,,,2.5,3.25,2.38,2.62,3.5,2.2
SC3,08/09/01,Montrose,Brechin,0,1,A,0,1,A,1048,D. Somers,9,9,4,4,0,0,2,6,20,21,1,4,1,2,0,0,10,20,,,,,,,3,3.75,1.91,3.3,3.6,1.83
SC3,08/09/01,Peterhead,Elgin,1,1,D,0,1,A,557,D. G. McDonald,9,9,2,3,0,0,9,2,10,18,7,3,1,1,0,0,10,10,,,,,,,1.83,3.5,3.4,1.9,3.5,3.2
SC3,08/09/01,Stirling,East Fife,2,1,H,0,0,D,553,K. E. Toner,12,11,5,5,1,0,4,6,9,13,3,4,0,1,0,0,0,10,,,,,,,1.62,3.6,4.33,1.57,4,4.2
SC3,15/09/01,Dumbarton,Albion Rvs,1,1,D,0,0,D,581,C. J. Melville,10,6,3,3,1,0,5,4,21,36,3,2,3,4,2,0,80,40,,,,,,,1.57,3.75,4.5,1.66,3.75,3.8
SC3,15/09/01,East Stirling,Peterhead,2,3,A,0,1,A,171,C. Hardy,8,15,2,6,0,1,4,2,11,8,4,6,1,1,0,0,10,10,,,,,,,2.62,3.6,2.1,2.5,3.5,2.25
SC3,15/09/01,Elgin,East Fife,1,1,D,1,1,D,543,B. W. Cassidy,16,7,8,6,1,0,4,3,8,10,2,3,1,0,0,1,10,25,,,,,,,2.2,3.6,2.5,2.1,3.5,2.75
SC3,15/09/01,Montrose,Stirling,4,0,H,3,0,H,431,S.Conroy,6,7,4,3,0,0,4,8,21,15,13,4,1,3,0,0,10,30,,,,,,,2.62,3.6,2.1,2.62,3.5,2.2
SC3,15/09/01,Queens Park,Brechin,1,3,A,0,1,A,423,J. R. Underhill,12,11,6,6,0,1,5,3,4,8,4,4,0,2,0,0,0,20,,,,,,,4.33,3.6,1.62,4.2,3.75,1.61
SC3,18/09/01,Albion Rvs,East Stirling,0,4,A,0,1,A,159,A. C. Gemmill,15,10,7,8,0,1,8,4,7,15,2,4,1,1,0,0,10,10,,,,2.2,3.5,2.62,2.1,3.5,2.75,2.3,3.4,2.5
