Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC0,29/07/06,Celtic,Kilmarnock,4,1,H,2,0,H,I Brines,18,8,9,5,8,15,4,3,1,1,0,0,1.2,5,12,1.2,5.5,10.5,1.2,5,12,1.22,4.8,9.5,1.16,5.5,12,1.18,6.5,13,1.2,5,11,1.2,5,13,1.22,4.5,12,44,1.22,1.19,7,5.59,17,12.21,26,1.61,1.52,2.5,2.3,16,-1.75,2.1,2.01,1.9,1.83
SC0,29/07/06,Dundee United,Falkirk,1,2,A,1,1,D,C Richmond,10,15,6,5,10,10,9,6,3,3,0,0,1.9,3.25,3.5,2,3.25,3.3,1.91,3.25,3.5,2,3.2,3.3,1.9,3.2,3.5,1.91,3.25,3.75,1.95,3.25,3.3,1.83,3.2,4,1.9,3.25,3.5,45,2.01,1.92,3.3,3.23,4,3.6,25,2.1,1.97,1.86,1.73,17,-0.5,2.05,2,1.95,1.84
SC0,29/07/06,Dunfermline,Hearts,1,2,A,0,1,A,B Winter,9,10,4,5,24,12,9,4,5,3,1,0,6,3.5,1.5,5.2,3.65,1.55,6,3.6,1.5,5,3.7,1.5,5.5,3.5,1.53,6,3.6,1.53,5.5,3.5,1.53,7,3.75,1.44,6.5,3.5,1.5,44,8,6.33,3.75,3.6,1.53,1.49,24,1.9,1.8,1.98,1.9,16,1,2.05,1.96,1.94,1.86
SC0,29/07/06,Hibernian,Aberdeen,1,1,D,1,1,D,S Dougal,18,4,9,3,10,16,5,3,0,0,0,0,1.9,3.25,3.5,2.1,3.25,3.05,1.95,3.25,3.4,2.1,3,3.1,1.83,3.2,3.75,1.91,3.25,3.75,1.83,3.2,3.75,2,3.25,3.25,2,3.25,3.25,45,2.2,2.01,3.25,3.2,3.75,3.37,26,2.02,1.9,1.9,1.8,17,-0.5,2.2,2.12,1.77,1.73
SC0,29/07/06,Inverness C,St Mirren,1,2,A,0,0,D,A Freeland,7,10,4,4,17,8,4,1,1,1,0,0,1.72,3.25,4.33,1.7,3.5,4.2,1.73,3.3,4.3,1.7,3.2,4.2,1.66,3.4,4.33,1.73,3.3,4.5,1.7,3.3,4.33,1.83,3.25,4,1.7,3.25,4.5,46,1.8,1.72,3.45,3.31,5.28,4.44,23,2.03,1.9,1.92,1.82,17,-0.5,1.8,1.72,2.24,2.15
SC0,30/07/06,Motherwell,Rangers,1,2,A,0,1,A,J Underhill,3,13,1,5,10,10,2,8,2,1,0,0,6.5,4,1.4,6.75,4.5,1.35,7.5,4,1.37,7,4,1.35,8,3.75,1.36,9.5,3.8,1.4,7,4,1.36,8,4.5,1.33,8.5,3.6,1.4,22,8.75,7.9,4.5,4.05,1.4,1.37,9,1.72,1.63,2.3,2.08,5,1.25,1.9,1.88,1.95,1.95
SC0,05/08/06,Aberdeen,Inverness C,1,1,D,1,0,H,C Murray,5,7,3,3,13,14,0,6,3,3,0,0,1.72,3.25,4.33,1.75,3.4,4.1,1.8,3.25,4,1.75,3.2,4,1.66,3.25,4.5,1.8,3.2,4.33,1.8,3.25,3.8,1.8,3.4,4,1.8,3.25,4,46,1.91,1.79,3.3,3.25,5,4.2,24,2.05,1.93,1.89,1.79,16,-0.5,2.07,1.97,1.98,1.87
SC0,05/08/06,Falkirk,Dunfermline,1,0,H,1,0,H,C Thomson,12,4,3,1,10,12,3,2,0,0,0,0,2,3.25,3.25,1.8,3.35,3.9,1.95,3.2,3.5,2,3.1,3.2,1.9,3.25,3.4,2,3.25,3.4,1.83,3.2,3.75,2.1,3.2,3.2,2,3.25,3.25,46,2.1,1.98,3.3,3.22,3.85,3.44,25,2.05,1.96,1.87,1.77,17,-0.5,2.11,2.07,1.83,1.78
SC0,05/08/06,Kilmarnock,Hibernian,2,1,H,0,1,A,M McCurry,5,10,3,6,18,22,3,9,2,2,0,0,2.4,3.2,2.6,2.3,3.25,2.7,2.4,3.2,2.6,2.2,3,2.9,2.4,3.25,2.5,2.5,3.3,2.5,2.37,3.1,2.62,2.25,3.4,2.75,2.4,3.25,2.6,46,2.6,2.38,3.4,3.21,2.91,2.68,25,1.92,1.85,2.05,1.88,17,0,1.85,1.75,2.13,2.05
SC0,05/08/06,Rangers,Dundee United,2,2,D,0,1,A,D McDonald,27,6,17,5,7,15,11,4,0,2,0,0,1.14,7,15,1.15,6.5,11.5,1.15,6,13,1.15,6,12,1.16,5.5,12,1.15,6.5,13,1.16,5.5,12,1.17,5.5,17,1.15,5.5,12,45,1.17,1.15,7.47,6.19,18,14.32,24,1.59,1.51,2.4,2.33,13,-1.75,1.76,1.72,2.21,2.15
