day,date,home_team,result,away_team
Saturday,March 18,FC Dallas,4-2,CHI
Saturday,March 25,Sporting KC,4-3,CHI
Saturday,April 1,Columbus,0-2,CHI
Saturday,April 8,D.C. United,3-2,CHI
Saturday,April 15,CHI,1-0,Fusion
Saturday,April 22,New England,1-1,CHI
Friday,April 28,CHI,5-1,Tampa Bay Mutiny
Wednesday,May 3,CHI,1-2,Colorado
Saturday,May 6,Fusion,0-3,CHI
Saturday,May 13,CHI,4-1,San Jose
Saturday,May 20,CHI,0-1,New England
Wednesday,May 24,CHI,4-3,FC Dallas
Saturday,May 27,NY Red Bulls,4-1,CHI
Sunday,June 4,CHI,3-2,Sporting KC
Wednesday,June 7,CHI,2-1,Fusion
Saturday,June 10,Fusion,4-2,CHI
Saturday,June 17,CHI,3-2,D.C. United
Wednesday,June 21,LA Galaxy,1-1,CHI
Saturday,June 24,San Jose,1-1,CHI
Tuesday,July 4,Colorado,2-1,CHI
Saturday,July 8,CHI,3-1,Columbus
Saturday,July 15,CHI,0-0,Tampa Bay Mutiny
Friday,July 21,Colorado,1-1,CHI
Wednesday,August 2,Tampa Bay Mutiny,0-1,CHI
Sunday,August 6,CHI,3-1,NY Red Bulls
Wednesday,August 16,FC Dallas,3-0,CHI
Saturday,August 19,CHI,2-1,LA Galaxy
Saturday,August 26,Tampa Bay Mutiny,3-3,CHI
Wednesday,August 30,CHI,4-0,FC Dallas
Sunday,September 3,CHI,2-1,Colorado
Wednesday,September 6,CHI,3-1,Columbus
Saturday,September 9,Columbus,2-3,CHI
