Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Juan Pablo Angel,NY,F,30,29,2593,13,4,98,40,4/5,13.3,40.8
Edson Buddle,LA,F,25,25,2109,17,2,96,43,0/0,17.7,44.8
Fredy Montero,SEA,F,29,27,2353,10,10,91,34,0/0,11.0,37.4
Kei Kamara,VAN,F,29,27,2418,10,6,91,33,0/0,11.0,36.3
Sébastien Le Toux,PHI,F,28,28,2520,14,11,90,48,3/3,15.6,53.3
Omar Cummings,COL,F,29,28,2471,14,3,76,37,0/0,18.4,48.7
Dwayne De Rosario,TOR,M,27,24,2226,15,3,72,36,3/3,20.8,50.0
Conor Casey,COL,F,27,26,2289,13,6,69,28,3/3,18.8,40.6
Chris Wondolowski,SJ,F,28,26,2308,18,1,68,36,3/3,26.5,52.9
Justin Braun,CHV,F,28,24,2118,9,3,62,25,0/0,14.5,40.3
Guillermo Barros Schelotto,CLB,F,29,29,2545,9,8,62,27,5/6,14.5,43.5
Jeff Cunningham,DAL,F,27,13,1464,11,1,58,25,4/4,19.0,43.1
Santino Quaranta,DC,M-F,27,26,2331,2,2,58,24,0/0,3.4,41.4
Davy Arnaud,KC,M,27,27,2342,6,3,58,27,1/1,10.3,46.6
Marco Pappa,CHI,M,25,23,1961,7,5,57,26,0/0,12.3,45.6
Marko Perovic,NE,M,25,24,2058,6,3,56,21,0/0,10.7,37.5
Steven Lenhart,CLB,F,27,17,1640,6,2,55,21,0/1,10.9,38.2
Brad Davis,HOU,M,27,25,2163,5,12,54,23,3/4,9.3,42.6
David Ferreira,DAL,M,30,30,2699,8,13,54,26,4/5,14.8,48.1
Atiba Harris,DAL,D,29,28,2473,4,2,53,21,0/0,7.5,39.6
Alvaro Saborio,RSL,F,27,23,1988,12,4,51,22,2/2,23.5,43.1
Ryan Smith,CHV,M,26,25,2104,3,7,46,22,0/0,6.5,47.8
Landon Donovan,LA,M-F,24,24,2141,7,16,44,20,3/4,15.9,45.5
Javier Morales,RSL,M,26,25,2163,7,9,42,21,0/0,16.7,50.0
Eddie Gaven,CLB,M,28,28,2384,3,5,42,18,0/0,7.1,42.9
Teal Bunbury,NE,F,26,13,1441,5,2,41,23,0/0,12.2,56.1
Dominic Oduro,MTL,M,27,19,1711,5,4,41,19,0/0,12.2,46.3
Adam Moffat,CLB,M,24,23,1951,2,1,41,17,0/0,4.9,41.5
Lovel Palmer,HOU,D,26,24,2049,2,1,41,13,0/0,4.9,31.7
Steve Zakuani,SEA,M,29,27,2285,10,6,41,21,0/0,24.4,51.2
Jeff Larentowicz,ATL,M,30,29,2617,4,1,41,13,0/0,9.8,31.7
Robbie Rogers,CLB,D,20,17,1547,1,0,40,9,0/0,2.5,22.5
Will Johnson,ORL,M,28,24,2184,1,1,40,12,0/0,2.5,30.0
Jesus Padilla,CHV,M,26,14,1378,6,0,39,15,0/0,15.4,38.5
Fabian Espindola,RSL,F,22,19,1514,6,2,39,15,0/0,15.4,38.5
Brek Shea,VAN,M-F,25,21,1797,5,4,39,19,0/0,12.8,48.7
