Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Landon Donovan,LA,M-F,24,24,16,5,11,5,0.67
David Ferreira,DAL,M,30,30,13,5,8,5,0.43
Brad Davis,HOU,M,27,25,12,3,6,6,0.5
Sébastien Le Toux,PHI,F,28,28,11,4,6,5,0.39
Patrick Nyarko,CHI,F-M,27,22,10,2,6,4,0.44
Fredy Montero,SEA,F,29,27,10,4,6,4,0.38
Freddie Ljungberg,CHI,M-F,30,27,10,1,3,7,0.37
Bobby Convey,SJ,M,28,28,10,5,7,3,0.36
Javier Morales,RSL,M,26,25,9,3,6,3,0.37
Jamie Smith,COL,M,22,16,8,3,5,3,0.53
Ryan Johnson,SJ,F,27,19,8,3,5,3,0.42
Michael Stephens,LA,M,25,21,8,3,6,2,0.38
Guillermo Barros Schelotto,CLB,F,29,29,8,3,5,3,0.28
Andy Williams,RSL,M,30,20,7,1,6,1,0.34
Alejandro Moreno,PHI,F,26,25,7,1,3,4,0.32
Ryan Smith,CHV,M,26,25,7,3,6,1,0.3
Roger Torres,PHI,M,21,10,6,0,2,4,0.56
Sean Franklin,VAN,D,25,24,6,3,5,1,0.25
Mehdi Ballouchy,COL,M,27,25,6,0,2,4,0.25
Nick LaBrocca,TOR,M,28,24,6,1,1,5,0.25
Steve Zakuani,SEA,M,29,27,6,4,3,3,0.24
Conor Casey,COL,F,27,26,6,2,3,3,0.24
Heath Pearce,DAL,D,28,27,6,2,4,2,0.22
Kei Kamara,VAN,F,29,27,6,3,3,3,0.22
Joel Lindpere,NY,M,29,29,6,1,3,3,0.21
Kheli Dube,NE,F,20,12,5,0,4,1,0.44
Justin Mapp,CHI,M,25,16,5,2,4,1,0.32
Robbie Russell,RSL,D,22,21,5,2,4,1,0.23
Shalrie Joseph,NE,M,22,22,5,1,5,0,0.23
Brian Mullan,COL,D,29,22,5,1,3,2,0.23
Marco Pappa,CHI,M,25,23,5,1,1,4,0.23
Eddie Gaven,CLB,M,28,28,5,3,2,3,0.19
O'Brian White,TOR,F,24,9,4,0,3,1,0.34
Robbie Findley,RSL,F,24,15,4,2,3,1,0.27
Danny Mwanga,PHI,F,24,17,4,0,3,1,0.25
Dominic Oduro,MTL,M,27,19,4,1,3,1,0.21
Brek Shea,VAN,M-F,25,21,4,2,2,2,0.2
Alvaro Saborio,RSL,F,27,23,4,1,2,2,0.18
Mike Chabala,HOU,D,25,22,4,1,3,1,0.18
Dan Gargan,TOR,D,27,25,4,1,2,2,0.16
Chris Tierney,NE,D-M,27,26,4,3,2,2,0.16
Michael Harrington,KC,D,29,29,4,2,2,2,0.14
Juan Pablo Angel,NY,F,30,29,4,3,2,2,0.14
Nicholas Lindsay,TOR,F,4,2,3,1,1,2,1.13
Nate Jaqua,SEA,F,15,3,3,1,0,3,0.66
Luis Landin,HOU,F,9,5,3,1,3,0,0.62
Geovanni Deiberson,SJ,F,12,8,3,0,0,3,0.35
Thierry Henry,NY,F,11,11,3,1,1,2,0.31
Sacha Kljestan,ORL,M,10,10,3,0,0,3,0.3
Brad Evans,SKC,D-M,12,11,3,2,2,1,0.28
Eric Alexander,HOU,M,17,12,3,0,1,2,0.26
Macoumba Kandji,COL,F,20,12,3,0,3,0,0.24
Rodolfo Espinoza,CHV,M,15,14,3,1,2,1,0.23
Alan Gordon,CHV,F,21,12,3,1,3,0,0.23
Sanna Nyassi,SEA,M,24,14,3,3,1,2,0.22
Brian Ching,HOU,F,20,16,3,0,2,1,0.19
Craig Rocastle,KC,M,23,18,3,0,2,1,0.18
Baggio Husidic,LA,M,22,18,3,0,2,1,0.18
Josh Wolff,KC,F,25,16,3,0,1,2,0.17
Brian McBride,CHI,F,26,18,3,1,1,2,0.17
Tony Tchani,CHI,M,27,17,3,1,2,1,0.17
Corey Ashe,HOU,M,27,19,3,1,3,0,0.16
Richard Mulrooney,HOU,M,23,19,3,1,3,0,0.16
Michael Lahoud,CHV,M,23,20,3,1,2,1,0.16
Kyle Beckerman,RSL,M,22,21,3,1,2,1,0.15
Osvaldo Alonso,SEA,M,23,21,3,0,2,1,0.14
Kosuke Kimura,COL,D,23,21,3,0,2,1,0.14
Dane Richards,NY,M,25,23,3,1,1,2,0.13
Marko Perovic,NE,M,25,24,3,0,2,1,0.13
Justin Braun,CHV,F,28,24,3,1,0,3,0.13
Dwayne De Rosario,TOR,M,27,24,3,1,3,0,0.12
Logan Pause,CHI,M,26,26,3,0,1,2,0.12
Davy Arnaud,KC,M,27,27,3,1,1,2,0.12
James Riley,SEA,D,27,27,3,0,1,2,0.11
Omar Cummings,COL,F,29,28,3,1,1,2,0.11
Pablo Mastroeni,COL,M,29,29,3,1,1,2,0.11
Mariano Trujillo,CHV,D,28,28,3,0,2,1,0.11
Chris Klein,LA,M,11,3,2,1,0,2,0.59
Jason Garey,CLB,F,22,9,2,0,0,2,0.23
Marvin Chávez,DAL,M,16,10,2,1,2,0,0.22
Tristan Bowen,LA,F,17,10,2,2,1,1,0.21
Rodney Wallace,NYC,F,11,11,2,0,2,0,0.19
Jovan Kirovski,LA,M-F,21,11,2,2,1,1,0.19
Ilija Stolica,NE,F,14,13,2,1,1,1,0.17
Maicon Santos,CHV,F,22,13,2,1,1,1,0.15
Jacob Peterson,TOR,F,24,15,2,2,1,1,0.14
Danny Cruz,HOU,M-F,25,14,2,0,1,1,0.13
Teal Bunbury,NE,F,26,13,2,1,0,2,0.12
Nathan Sturgis,SEA,M,20,16,2,1,2,0,0.12
Fabian Espindola,RSL,F,22,19,2,2,1,1,0.12
Chad Barrett,TOR,F,23,18,2,1,2,0,0.12
Chris Albright,NY,D,18,18,2,0,2,0,0.11
Dax McCarty,CHI,M,21,18,2,1,0,2,0.11
Eddie Robinson,HOU,D,23,19,2,2,2,0,0.11
Steven Lenhart,CLB,F,27,17,2,0,1,1,0.11
Jonathan Bornstein,CHV,D,21,17,2,0,2,0,0.11
Ramiro Corrales,SJ,M,20,18,2,1,2,0,0.11
Frankie Hejduk,CLB,D,20,20,2,0,0,2,0.1
