Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Nick Rimando,RSL,GK,27,27,2430,18,0.67,4/4,15,4,8,14,55.6
Bouna Coundoul,NY,GK,27,27,2430,28,1.04,1/2,14,8,5,11,51.9
Donovan Ricketts,LA,GK,29,29,2610,26,0.9,1/1,18,7,4,11,62.1
William Hesmer,CLB,GK,30,30,2700,33,1.1,4/4,14,8,8,11,46.7
Kasey Keller,SEA,GK,30,30,2655,34,1.13,4/5,14,10,5,11,46.7
Jimmy Nielsen,KC,GK,29,29,2610,34,1.17,1/1,10,13,6,10,34.5
Kevin Hartman,DAL,GK,20,20,1755,12,0.6,1/2,10,1,8,9,50.0
Stefan Frei,SEA,GK,28,28,2520,37,1.32,6/6,8,13,7,8,28.6
Jon Busch,SJ,GK,18,18,1620,19,1.06,0/0,7,6,5,7,38.9
Matt Pickens,COL,GK,29,29,2610,32,1.1,4/4,11,8,10,7,37.9
Joe Cannon,SJ,GK,12,12,1080,14,1.17,0/0,6,4,2,6,50.0
Zach Thornton,CHV,GK,23,23,2015,33,1.43,3/3,6,12,3,6,26.1
Andrew Dykstra,COL,GK,17,17,1530,21,1.24,2/2,5,6,6,5,29.4
Troy Perkins,DC,GK,22,22,1980,37,1.68,2/3,3,15,4,5,13.6
Pat Onstad,HOU,GK,23,23,2070,40,1.74,0/0,6,12,5,4,26.1
Sean Johnson,NYC,GK,13,13,1170,17,1.31,4/5,4,6,3,3,30.8
Matt Reis,NE,GK,14,14,1260,25,1.79,2/3,4,7,3,3,28.6
Greg Sutton,NY,GK,3,3,270,1,0.33,0/0,1,1,1,2,33.3
Brad Knighton,NE,GK,8,8,652,8,1.0,0/0,3,3,1,2,37.5
Preston Burpo,NE,GK,11,11,939,16,1.45,0/0,2,6,2,2,18.2
Josh Saunders,LA,GK,1,1,90,0,0.0,0/0,0,0,1,1,0.0
Ian Joyce,COL,GK,1,1,90,0,0.0,0/0,1,0,0,1,100.0
Tyler Deric,HOU,GK,2,2,180,1,0.5,0/0,2,0,0,1,100.0
Kyle Reynish,RSL,GK,3,3,270,2,0.67,0/0,0,0,3,1,0.0
Tally Hall,DC,GK,5,5,450,8,1.6,0/0,1,3,1,1,20.0
Bobby Shuttleworth,MIN,GK,6.0,5.0,501.0,9.0,1.8,0/0,3.0,3.0,0.0,1.0,50.0
Bill Hamid,DC,GK,8.0,8.0,720.0,10.0,1.25,0/0,3.0,5.0,0.0,1.0,37.5
Dario Sala,DAL,GK,11.0,10.0,945.0,16.0,1.6,1/2,2.0,3.0,6.0,1.0,18.2
Josh Lambo,DAL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Josh Wicks,DC,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Kenny Schoeni,CLB,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Steward Ceus,COL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Andy Gruenebaum,CLB,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Brian Perk,LA,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Andrew Weber,SJ,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Andrew Quinn,DC,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Tim Murray,NE,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Tim Melia,SKC,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Jon Kempin,CLB,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Kevin Guppy,CHV,GK,1.0,1.0,90.0,3.0,3.0,1/1,0.0,1.0,0.0,0.0,0.0
Eric Kronberg,KC,GK,1.0,1.0,90.0,1.0,1.0,0/0,1.0,0.0,0.0,0.0,100.0
Jon Conway,TOR,GK,1.0,1.0,72.0,1.0,1.0,0/0,0.0,0.0,0.0,0.0,0.0
Terry Boss,SEA,GK,1.0,0.0,45.0,1.0,1.0,1/1,0.0,0.0,1.0,0.0,0.0
Milos Kocic,TOR,GK,2.0,1.0,107.0,3.0,3.0,1/1,1.0,0.0,1.0,0.0,50.0
Dan Kennedy,CHV,GK,7.0,6.0,594.0,8.0,1.33,0/0,2.0,4.0,1.0,0.0,28.6
Chris Seitz,HOU,GK,23.0,22.0,2047.0,41.0,1.86,4/5,5.0,12.0,6.0,0.0,21.7
Chase Harrison,nan,GK,nan,nan,nan,nan,nan,/,nan,nan,nan,nan,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
