Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Kasey Keller,SEA,GK,30,30,2655,119,82,34,1.13,4/5,14,10,5,11,46.7,68.9
William Hesmer,CLB,GK,30,30,2700,122,84,33,1.1,4/4,14,8,8,11,46.7,68.9
Donovan Ricketts,LA,GK,29,29,2610,104,79,26,0.9,1/1,18,7,4,11,62.1,76.0
Matt Pickens,COL,GK,29,29,2610,120,88,32,1.1,4/4,11,8,10,7,37.9,73.3
Jimmy Nielsen,KC,GK,29,29,2610,114,80,34,1.17,1/1,10,13,6,10,34.5,70.2
Stefan Frei,SEA,GK,28,28,2520,153,108,37,1.32,6/6,8,13,7,8,28.6,70.6
Bouna Coundoul,NY,GK,27,27,2430,134,105,28,1.04,1/2,14,8,5,11,51.9,78.4
Nick Rimando,RSL,GK,27,27,2430,100,78,18,0.67,4/4,15,4,8,14,55.6,78.0
Zach Thornton,CHV,GK,23,23,2015,97,63,33,1.43,3/3,6,12,3,6,26.1,64.9
Chris Seitz,HOU,GK,23,22,2047,114,68,41,1.86,4/5,5,12,6,0,21.7,59.6
Pat Onstad,HOU,GK,23,23,2070,90,49,40,1.74,0/0,6,12,5,4,26.1,54.4
Troy Perkins,DC,GK,22,22,1980,109,72,37,1.68,2/3,3,15,4,5,13.6,66.1
Kevin Hartman,DAL,GK,20,20,1755,71,56,12,0.6,1/2,10,1,8,9,50.0,78.9
Jon Busch,SJ,GK,18,18,1620,104,81,19,1.06,0/0,7,6,5,7,38.9,77.9
Andrew Dykstra,COL,GK,17,17,1530,80,55,21,1.24,2/2,5,6,6,5,29.4,68.8
Matt Reis,NE,GK,14,14,1260,79,51,25,1.79,2/3,4,7,3,3,28.6,64.6
Sean Johnson,NYC,GK,13,13,1170,69,52,17,1.31,4/5,4,6,3,3,30.8,75.4
Joe Cannon,SJ,GK,12,12,1080,55,38,14,1.17,0/0,6,4,2,6,50.0,69.1
Preston Burpo,NE,GK,11,11,939,65,48,16,1.45,0/0,2,6,2,2,18.2,73.8
Dario Sala,DAL,GK,11,10,945,50,34,16,1.6,1/2,2,3,6,1,18.2,68.0
Brad Knighton,NE,GK,8,8,652,33,23,8,1.0,0/0,3,3,1,2,37.5,69.7
Bill Hamid,DC,GK,8,8,720,31,20,10,1.25,0/0,3,5,0,1,37.5,64.5
Dan Kennedy,CHV,GK,7,6,594,31,22,8,1.33,0/0,2,4,1,0,28.6,71.0
Bobby Shuttleworth,MIN,GK,6,5,501,27,18,9,1.8,0/0,3,3,0,1,50.0,66.7
Tally Hall,DC,GK,5,5,450,26,18,8,1.6,0/0,1,3,1,1,20.0,69.2
Kyle Reynish,RSL,GK,3.0,3.0,270.0,13.0,11.0,2.0,0.67,0/0,0.0,0.0,3.0,1.0,0.0,84.6
Greg Sutton,NY,GK,3.0,3.0,270.0,10.0,9.0,1.0,0.33,0/0,1.0,1.0,1.0,2.0,33.3,90.0
Milos Kocic,TOR,GK,2.0,1.0,107.0,8.0,5.0,3.0,3.0,1/1,1.0,0.0,1.0,0.0,50.0,62.5
Tyler Deric,HOU,GK,2.0,2.0,180.0,9.0,8.0,1.0,0.5,0/0,2.0,0.0,0.0,1.0,100.0,88.9
Terry Boss,SEA,GK,1.0,0.0,45.0,2.0,1.0,1.0,1.0,1/1,0.0,0.0,1.0,0.0,0.0,50.0
Jon Conway,TOR,GK,1.0,1.0,72.0,2.0,2.0,1.0,1.0,0/0,0.0,0.0,0.0,0.0,0.0,100.0
Eric Kronberg,KC,GK,1.0,1.0,90.0,4.0,3.0,1.0,1.0,0/0,1.0,0.0,0.0,0.0,100.0,75.0
Kevin Guppy,CHV,GK,1.0,1.0,90.0,9.0,6.0,3.0,3.0,1/1,0.0,1.0,0.0,0.0,0.0,66.7
Josh Saunders,LA,GK,1.0,1.0,90.0,1.0,1.0,0.0,0.0,0/0,0.0,0.0,1.0,1.0,0.0,100.0
Ian Joyce,COL,GK,1.0,1.0,90.0,4.0,4.0,0.0,0.0,0/0,1.0,0.0,0.0,1.0,100.0,100.0
Josh Lambo,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Wicks,DC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Schoeni,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Steward Ceus,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Weber,SJ,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Gruenebaum,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Quinn,DC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Murray,NE,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Melia,SKC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Kempin,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Perk,LA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Harrison,nan,GK,nan,nan,nan,nan,nan,nan,nan,/,nan,nan,nan,nan,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
