day,date,home_team,result,away_team
Saturday,March 27,Sporting KC,4-0,DC
Saturday,April 3,DC,0-2,New England
Saturday,April 10,Philadelphia,3-2,DC
Saturday,April 17,DC,0-2,Chicago
Saturday,May 1,DC,0-2,NY Red Bulls
Wednesday,May 5,DC,2-1,Sporting KC
Saturday,May 8,FC Dallas,1-0,DC
Saturday,May 15,DC,0-1,Colorado
Saturday,May 22,Houston,2-0,DC
Saturday,May 29,DC,3-2,Chivas USA
Saturday,June 5,DC,0-0,Real Salt Lake
Thursday,June 10,Seattle,2-3,DC
Saturday,June 26,Columbus,2-0,DC
Saturday,July 3,San Jose,1-1,DC
Saturday,July 10,NY Red Bulls,0-0,DC
Thursday,July 15,Seattle,0-1,DC
Sunday,July 18,DC,1-2,LA Galaxy
Saturday,July 31,Real Salt Lake,3-0,DC
Saturday,August 7,New England,1-0,DC
Saturday,August 14,DC,1-3,FC Dallas
Sunday,August 22,DC,2-0,Philadelphia
Sunday,August 29,Chivas USA,1-0,DC
Saturday,September 4,DC,0-1,Columbus
Saturday,September 11,Toronto FC,0-1,DC
Saturday,September 18,LA Galaxy,2-1,DC
Saturday,September 25,DC,1-3,Houston
Saturday,October 2,Colorado,0-1,DC
Saturday,October 9,DC,0-2,San Jose
Saturday,October 16,Chicago,0-0,DC
Saturday,October 23,DC,2-3,Toronto FC
