Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Stefan Frei,SEA,GK,28,28,2520,153,108,37,1.32,6/6,70.6
Bouna Coundoul,NY,GK,27,27,2430,134,105,28,1.04,1/2,78.4
Matt Pickens,COL,GK,29,29,2610,120,88,32,1.1,4/4,73.3
William Hesmer,CLB,GK,30,30,2700,122,84,33,1.1,4/4,68.9
Kasey Keller,SEA,GK,30,30,2655,119,82,34,1.13,4/5,68.9
Jon Busch,SJ,GK,18,18,1620,104,81,19,1.06,0/0,77.9
Jimmy Nielsen,KC,GK,29,29,2610,114,80,34,1.17,1/1,70.2
Donovan Ricketts,LA,GK,29,29,2610,104,79,26,0.9,1/1,76.0
Nick Rimando,RSL,GK,27,27,2430,100,78,18,0.67,4/4,78.0
Troy Perkins,DC,GK,22,22,1980,109,72,37,1.68,2/3,66.1
Chris Seitz,HOU,GK,23,22,2047,114,68,41,1.86,4/5,59.6
Zach Thornton,CHV,GK,23,23,2015,97,63,33,1.43,3/3,64.9
Kevin Hartman,DAL,GK,20,20,1755,71,56,12,0.6,1/2,78.9
Andrew Dykstra,COL,GK,17,17,1530,80,55,21,1.24,2/2,68.8
Sean Johnson,NYC,GK,13,13,1170,69,52,17,1.31,4/5,75.4
Matt Reis,NE,GK,14,14,1260,79,51,25,1.79,2/3,64.6
Pat Onstad,HOU,GK,23,23,2070,90,49,40,1.74,0/0,54.4
Preston Burpo,NE,GK,11,11,939,65,48,16,1.45,0/0,73.8
Joe Cannon,SJ,GK,12,12,1080,55,38,14,1.17,0/0,69.1
Dario Sala,DAL,GK,11,10,945,50,34,16,1.6,1/2,68.0
Brad Knighton,NE,GK,8,8,652,33,23,8,1.0,0/0,69.7
Dan Kennedy,CHV,GK,7,6,594,31,22,8,1.33,0/0,71.0
Bill Hamid,DC,GK,8,8,720,31,20,10,1.25,0/0,64.5
Tally Hall,DC,GK,5,5,450,26,18,8,1.6,0/0,69.2
Bobby Shuttleworth,MIN,GK,6,5,501,27,18,9,1.8,0/0,66.7
Kyle Reynish,RSL,GK,3.0,3.0,270.0,13.0,11.0,2.0,0.67,0/0,84.6
Greg Sutton,NY,GK,3.0,3.0,270.0,10.0,9.0,1.0,0.33,0/0,90.0
Tyler Deric,HOU,GK,2.0,2.0,180.0,9.0,8.0,1.0,0.5,0/0,88.9
Kevin Guppy,CHV,GK,1.0,1.0,90.0,9.0,6.0,3.0,3.0,1/1,66.7
Milos Kocic,TOR,GK,2.0,1.0,107.0,8.0,5.0,3.0,3.0,1/1,62.5
Ian Joyce,COL,GK,1.0,1.0,90.0,4.0,4.0,0.0,0.0,0/0,100.0
Eric Kronberg,KC,GK,1.0,1.0,90.0,4.0,3.0,1.0,1.0,0/0,75.0
Jon Conway,TOR,GK,1.0,1.0,72.0,2.0,2.0,1.0,1.0,0/0,100.0
Josh Saunders,LA,GK,1.0,1.0,90.0,1.0,1.0,0.0,0.0,0/0,100.0
Terry Boss,SEA,GK,1.0,0.0,45.0,2.0,1.0,1.0,1.0,1/1,50.0
Steward Ceus,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Josh Lambo,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Josh Wicks,DC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Kenny Schoeni,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Andrew Weber,SJ,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Andrew Quinn,DC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Tim Murray,NE,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Tim Melia,SKC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Jon Kempin,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Andy Gruenebaum,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Brian Perk,LA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Chase Harrison,nan,GK,nan,nan,nan,nan,nan,nan,nan,/,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
