day,date,home_team,result,away_team
Saturday,March 27,LA Galaxy,1-0,NE
Saturday,April 3,D.C. United,0-2,NE
Saturday,April 10,NE,4-1,Toronto FC
Saturday,April 17,San Jose,2-0,NE
Saturday,April 24,NE,1-2,Colorado
Saturday,May 1,NE,1-1,FC Dallas
Wednesday,May 5,NE,0-4,Chivas USA
Saturday,May 8,Columbus,3-2,NE
Saturday,May 15,NE,0-0,San Jose
Saturday,May 22,Toronto FC,1-0,NE
Saturday,May 29,NE,3-2,NY Red Bulls
Saturday,June 5,Seattle,3-0,NE
Sunday,June 27,NE,0-1,Chicago
Friday,July 2,Real Salt Lake,5-0,NE
Saturday,July 10,NE,2-0,LA Galaxy
Saturday,July 31,Philadelphia,1-1,NE
Saturday,August 7,NE,1-0,D.C. United
Saturday,August 14,NE,1-0,Houston
Wednesday,August 18,Chicago,2-1,NE
Saturday,August 21,Sporting KC,4-1,NE
Saturday,August 28,NE,1-2,Philadelphia
Saturday,September 4,Seattle,3-1,NE
Friday,September 10,Chivas USA,2-0,NE
Saturday,September 18,Colorado,3-0,NE
Wednesday,September 22,FC Dallas,2-2,NE
Saturday,September 25,NE,2-2,Columbus
Saturday,October 2,NE,1-2,Real Salt Lake
Sunday,October 10,Houston,1-2,NE
Saturday,October 16,NE,1-0,Sporting KC
Thursday,October 21,NY Red Bulls,2-0,NE
