day,date,home_team,result,away_team
Saturday,March 4,Columbus,1-1,CHI
Saturday,March 11,CHI,2-0,Real Salt Lake
Saturday,March 18,Atlanta,4-0,CHI
Saturday,April 1,CHI,2-2,Montreal
Saturday,April 8,CHI,1-0,Columbus
Saturday,April 15,CHI,3-0,New England
Friday,April 21,Toronto FC,3-1,CHI
Saturday,April 29,NY Red Bulls,2-1,CHI
Saturday,May 6,LA Galaxy,2-2,CHI
Saturday,May 13,Seattle,4-1,CHI
Wednesday,May 17,CHI,3-0,Colorado
Saturday,May 20,D.C. United,0-1,CHI
Thursday,May 25,CHI,2-1,FC Dallas
Sunday,June 4,Orlando,0-0,CHI
Saturday,June 10,CHI,2-0,Atlanta
Saturday,June 17,New England,1-2,CHI
Saturday,June 24,CHI,4-0,Orlando
Saturday,July 1,CHI,4-0,Vancouver
Wednesday,July 5,Portland,2-2,CHI
Saturday,July 22,NYCFC,2-1,CHI
Saturday,July 29,Sporting KC,3-2,CHI
Saturday,August 5,CHI,4-1,New England
Saturday,August 12,Columbus,3-1,CHI
Wednesday,August 16,Montreal,3-0,CHI
Saturday,August 19,CHI,1-3,Toronto FC
Saturday,August 26,CHI,1-2,Minnesota
Saturday,September 2,Montreal,0-1,CHI
Saturday,September 9,CHI,1-1,NY Red Bulls
Saturday,September 16,CHI,3-0,D.C. United
Saturday,September 23,Philadelphia,3-1,CHI
Wednesday,September 27,San Jose,1-4,CHI
Saturday,September 30,CHI,1-1,NYCFC
Sunday,October 15,CHI,3-2,Philadelphia
Sunday,October 22,Houston,3-0,CHI
