day,date,home_team,result,away_team
Friday,March 3,Portland,5-1,MIN
Sunday,March 12,MIN,1-6,Atlanta
Saturday,March 18,Colorado,2-2,MIN
Saturday,March 25,New England,5-2,MIN
Saturday,April 1,MIN,4-2,Real Salt Lake
Saturday,April 8,FC Dallas,2-0,MIN
Saturday,April 15,Houston,2-2,MIN
Sunday,April 23,MIN,1-0,Colorado
Saturday,April 29,MIN,0-1,San Jose
Sunday,May 7,MIN,2-0,Sporting KC
Saturday,May 13,Toronto FC,3-2,MIN
Sunday,May 21,MIN,1-2,LA Galaxy
Saturday,May 27,MIN,1-0,Orlando
Saturday,June 3,Sporting KC,3-0,MIN
Saturday,June 17,Real Salt Lake,1-0,MIN
Wednesday,June 21,MIN,3-2,Portland
Saturday,June 24,MIN,2-2,Vancouver
Thursday,June 29,NYCFC,3-1,MIN
Tuesday,July 4,MIN,0-1,Columbus
Wednesday,July 19,MIN,0-0,Houston
Saturday,July 22,MIN,0-3,NY Red Bulls
Saturday,July 29,MIN,4-0,D.C. United
Saturday,August 5,Seattle,0-4,MIN
Sunday,August 20,Seattle,2-1,MIN
Saturday,August 26,Chicago,1-2,MIN
Saturday,September 9,MIN,1-1,Philadelphia
Wednesday,September 13,Vancouver,3-0,MIN
Saturday,September 16,Montreal,2-3,MIN
Saturday,September 23,MIN,4-1,FC Dallas
Saturday,September 30,Houston,2-1,MIN
Tuesday,October 3,Atlanta,2-3,MIN
Saturday,October 7,MIN,1-1,Sporting KC
Sunday,October 15,LA Galaxy,3-0,MIN
Sunday,October 22,San Jose,3-2,MIN
