day,date,home_team,result,away_team
Saturday,March 4,Colorado,1-0,NE
Saturday,March 18,FC Dallas,2-1,NE
Saturday,March 25,NE,5-2,Minnesota
Sunday,April 2,Portland,1-1,NE
Saturday,April 8,NE,2-0,Houston
Saturday,April 15,Chicago,3-0,NE
Wednesday,April 19,NE,0-0,San Jose
Saturday,April 22,NE,2-2,D.C. United
Saturday,April 29,Seattle,3-3,NE
Saturday,May 6,Columbus,2-0,NE
Saturday,May 13,NE,4-0,Real Salt Lake
Sunday,May 21,NE,2-1,Columbus
Saturday,May 27,NY Red Bulls,2-1,NE
Wednesday,May 31,NYCFC,2-2,NE
Saturday,June 3,NE,3-0,Toronto FC
Saturday,June 17,NE,1-2,Chicago
Friday,June 23,Toronto FC,2-0,NE
Sunday,July 2,Philadelphia,3-0,NE
Wednesday,July 5,NE,2-3,NY Red Bulls
Saturday,July 22,NE,4-3,LA Galaxy
Saturday,July 29,NE,3-0,Philadelphia
Saturday,August 5,Chicago,4-1,NE
Saturday,August 12,NE,1-0,Vancouver
Sunday,August 20,NYCFC,2-1,NE
Saturday,August 26,D.C. United,1-0,NE
Saturday,September 2,NE,4-0,Orlando
Saturday,September 9,NE,1-0,Montreal
Wednesday,September 13,Atlanta,7-0,NE
Saturday,September 16,Sporting KC,3-1,NE
Saturday,September 23,NE,2-1,Toronto FC
Wednesday,September 27,Orlando,6-1,NE
Saturday,September 30,NE,0-0,Atlanta
Sunday,October 15,NE,2-1,NYCFC
Sunday,October 22,Montreal,2-3,NE
