day,date,home_team,result,away_team
Sunday,March 5,VAN,0-0,Philadelphia
Saturday,March 11,San Jose,3-2,VAN
Saturday,March 18,VAN,0-2,Toronto FC
Saturday,April 1,VAN,4-2,LA Galaxy
Saturday,April 8,Real Salt Lake,3-0,VAN
Friday,April 14,Seattle,2-1,VAN
Saturday,April 22,Portland,2-1,VAN
Saturday,April 29,Montreal,1-2,VAN
Friday,May 5,Colorado,0-1,VAN
Friday,May 12,Houston,2-1,VAN
Saturday,May 20,VAN,2-0,Sporting KC
Saturday,May 27,VAN,0-1,D.C. United
Saturday,June 3,VAN,3-1,Atlanta
Saturday,June 17,VAN,1-1,FC Dallas
Saturday,June 24,Minnesota,2-2,VAN
Saturday,July 1,Chicago,4-0,VAN
Wednesday,July 5,VAN,3-2,NYCFC
Wednesday,July 19,LA Galaxy,0-1,VAN
Sunday,July 23,VAN,1-2,Portland
Saturday,July 29,FC Dallas,0-4,VAN
Saturday,August 5,Colorado,2-2,VAN
Saturday,August 12,New England,1-0,VAN
Saturday,August 19,VAN,2-1,Houston
Wednesday,August 23,Seattle,1-1,VAN
Saturday,August 26,Orlando,1-2,VAN
Saturday,September 9,VAN,3-2,Real Salt Lake
Wednesday,September 13,VAN,3-0,Minnesota
Saturday,September 16,VAN,2-2,Columbus
Saturday,September 23,VAN,2-1,Colorado
Wednesday,September 27,Seattle,3-0,VAN
Saturday,September 30,Sporting KC,0-1,VAN
Saturday,October 7,NY Red Bulls,3-0,VAN
Sunday,October 15,VAN,1-1,San Jose
Sunday,October 22,Portland,2-1,VAN
