day,date,home_team,result,away_team
Saturday,March 15,Seattle,1-2,TOR
Saturday,March 22,TOR,1-0,D.C. United
Saturday,March 29,Real Salt Lake,3-0,TOR
Saturday,April 5,Columbus,0-2,TOR
Saturday,April 12,TOR,0-1,Colorado
Saturday,April 19,FC Dallas,2-1,TOR
Saturday,May 3,TOR,1-2,New England
Saturday,May 17,TOR,2-0,NY Red Bulls
Friday,May 23,Sporting KC,2-2,TOR
Saturday,May 31,TOR,3-2,Columbus
Saturday,June 7,TOR,1-0,San Jose
Friday,June 27,NY Red Bulls,2-2,TOR
Wednesday,July 2,Chicago,1-1,TOR
Saturday,July 5,TOR,1-2,D.C. United
Saturday,July 12,TOR,4-2,Houston
Wednesday,July 16,TOR,1-1,Vancouver
Saturday,July 19,Houston,2-2,TOR
Saturday,July 26,TOR,1-2,Sporting KC
Wednesday,July 30,D.C. United,3-0,TOR
Saturday,August 2,Montreal,0-2,TOR
Saturday,August 9,Columbus,2-3,TOR
Saturday,August 16,Sporting KC,4-1,TOR
Saturday,August 23,TOR,2-2,Chicago
Saturday,August 30,TOR,0-3,New England
Wednesday,September 3,Philadelphia,1-0,TOR
Saturday,September 6,TOR,0-2,Philadelphia
Saturday,September 13,Chicago,1-1,TOR
Sunday,September 21,TOR,3-0,Chivas USA
Saturday,September 27,TOR,3-2,Portland
Saturday,October 4,LA Galaxy,3-0,TOR
Wednesday,October 8,TOR,0-1,Houston
Saturday,October 11,NY Red Bulls,3-1,TOR
Saturday,October 18,TOR,1-1,Montreal
Saturday,October 25,New England,1-0,TOR
