day,date,home_team,result,away_team
Saturday,March 8,POR,1-1,Philadelphia
Sunday,March 16,POR,1-1,Chicago
Saturday,March 22,Colorado,2-0,POR
Saturday,March 29,FC Dallas,2-1,POR
Saturday,April 5,Seattle,4-4,POR
Saturday,April 12,POR,1-1,Chivas USA
Saturday,April 19,Real Salt Lake,1-0,POR
Sunday,April 27,Houston,1-1,POR
Saturday,May 3,POR,3-2,D.C. United
Sunday,May 11,POR,1-1,LA Galaxy
Saturday,May 17,POR,3-3,Columbus
Saturday,May 24,NY Red Bulls,1-2,POR
Wednesday,May 28,Chivas USA,0-2,POR
Sunday,June 1,POR,3-4,Vancouver
Saturday,June 7,Real Salt Lake,1-3,POR
Wednesday,June 11,POR,2-2,FC Dallas
Friday,June 27,POR,0-1,Sporting KC
Friday,July 4,LA Galaxy,2-2,POR
Sunday,July 13,Seattle,2-0,POR
Friday,July 18,POR,2-1,Colorado
Sunday,July 27,Montreal,2-3,POR
Saturday,August 2,LA Galaxy,3-1,POR
Saturday,August 9,POR,2-0,Chivas USA
Saturday,August 16,New England,1-1,POR
Sunday,August 24,Seattle,2-4,POR
Saturday,August 30,Vancouver,0-3,POR
Sunday,September 7,POR,3-3,San Jose
Saturday,September 13,Colorado,2-2,POR
Saturday,September 20,POR,3-0,Vancouver
Saturday,September 27,Toronto FC,3-2,POR
Saturday,October 4,San Jose,1-2,POR
Wednesday,October 8,POR,3-0,San Jose
Friday,October 17,POR,0-0,Real Salt Lake
Saturday,October 25,FC Dallas,0-2,POR
