day,date,home_team,result,away_team
Saturday,March 8,VAN,4-1,NY Red Bulls
Sunday,March 16,Chivas USA,1-1,VAN
Saturday,March 22,New England,0-0,VAN
Saturday,March 29,VAN,2-1,Houston
Saturday,April 5,VAN,1-2,Colorado
Saturday,April 12,LA Galaxy,1-0,VAN
Saturday,April 19,VAN,2-2,LA Galaxy
Saturday,April 26,Real Salt Lake,2-2,VAN
Saturday,May 3,VAN,3-2,San Jose
Saturday,May 10,Columbus,0-1,VAN
Saturday,May 24,Seattle,2-2,VAN
Sunday,June 1,Portland,3-4,VAN
Saturday,June 7,Philadelphia,3-3,VAN
Wednesday,June 25,VAN,0-0,Montreal
Saturday,June 28,Colorado,2-0,VAN
Saturday,July 5,Seattle,1-0,VAN
Saturday,July 12,VAN,1-3,Chivas USA
Wednesday,July 16,Toronto FC,1-1,VAN
Saturday,July 19,Real Salt Lake,1-1,VAN
Sunday,July 27,VAN,2-2,FC Dallas
Wednesday,July 30,Chicago,0-0,VAN
Sunday,August 10,VAN,2-0,Sporting KC
Saturday,August 16,Chivas USA,0-0,VAN
Saturday,August 23,LA Galaxy,2-0,VAN
Saturday,August 30,VAN,0-3,Portland
Saturday,September 6,VAN,0-0,D.C. United
Wednesday,September 10,VAN,2-0,San Jose
Saturday,September 13,FC Dallas,2-1,VAN
Saturday,September 20,Portland,3-0,VAN
Saturday,September 27,VAN,2-1,Real Salt Lake
Saturday,October 4,VAN,2-0,FC Dallas
Friday,October 10,Seattle,0-1,VAN
Saturday,October 18,San Jose,0-0,VAN
Saturday,October 25,VAN,1-0,Colorado
