day,date,home_team,result,away_team
Saturday,March 8,Portland,1-1,PHI
Saturday,March 15,PHI,1-0,New England
Saturday,March 22,Columbus,2-1,PHI
Saturday,March 29,PHI,1-1,Montreal
Saturday,April 5,Chicago,2-2,PHI
Saturday,April 12,PHI,2-2,Real Salt Lake
Wednesday,April 16,NY Red Bulls,2-1,PHI
Saturday,April 19,PHI,0-0,Houston
Saturday,April 26,Montreal,1-0,PHI
Saturday,May 3,Seattle,2-1,PHI
Saturday,May 10,PHI,0-1,D.C. United
Wednesday,May 14,Sporting KC,1-2,PHI
Saturday,May 17,PHI,3-5,New England
Sunday,May 25,LA Galaxy,4-1,PHI
Saturday,May 31,Chivas USA,0-3,PHI
Saturday,June 7,PHI,3-3,Vancouver
Saturday,June 28,New England,1-3,PHI
Friday,July 4,FC Dallas,2-1,PHI
Saturday,July 12,PHI,3-3,Colorado
Wednesday,July 16,PHI,3-1,NY Red Bulls
Saturday,July 19,Chicago,1-1,PHI
Friday,August 1,Sporting KC,1-1,PHI
Saturday,August 9,PHI,2-1,Montreal
Friday,August 15,Houston,2-0,PHI
Sunday,August 24,PHI,4-2,San Jose
Wednesday,September 3,PHI,1-0,Toronto FC
Saturday,September 6,Toronto FC,0-2,PHI
Saturday,September 13,PHI,2-2,NY Red Bulls
Saturday,September 20,PHI,0-0,Houston
Saturday,September 27,D.C. United,1-0,PHI
Thursday,October 2,PHI,1-1,Chicago
Saturday,October 11,PHI,2-3,Columbus
Saturday,October 18,PHI,2-1,Sporting KC
Sunday,October 26,Columbus,2-1,PHI
