day,date,home_team,result,away_team
Sunday,March 9,CHV,3-2,Chicago
Sunday,March 16,CHV,1-1,Vancouver
Saturday,March 22,FC Dallas,3-1,CHV
Sunday,March 30,NY Red Bulls,1-1,CHV
Sunday,April 6,CHV,0-3,LA Galaxy
Saturday,April 12,Portland,1-1,CHV
Saturday,April 19,Seattle,1-2,CHV
Saturday,April 26,San Jose,1-0,CHV
Saturday,May 3,CHV,1-4,Houston
Sunday,May 11,Colorado,1-3,CHV
Saturday,May 17,FC Dallas,1-1,CHV
Wednesday,May 28,CHV,0-2,Portland
Saturday,May 31,CHV,0-3,Philadelphia
Sunday,June 8,LA Galaxy,1-1,CHV
Saturday,June 28,CHV,1-0,Real Salt Lake
Wednesday,July 2,San Jose,0-1,CHV
Saturday,July 5,CHV,1-0,Montreal
Saturday,July 12,Vancouver,1-3,CHV
Sunday,July 20,D.C. United,3-1,CHV
Friday,July 25,Colorado,3-0,CHV
Sunday,August 3,CHV,0-1,FC Dallas
Saturday,August 9,Portland,2-0,CHV
Saturday,August 16,CHV,0-0,Vancouver
Saturday,August 23,New England,1-0,CHV
Sunday,August 31,CHV,0-3,LA Galaxy
Wednesday,September 3,Seattle,2-4,CHV
Sunday,September 7,Columbus,3-0,CHV
Friday,September 12,CHV,0-4,Sporting KC
Sunday,September 21,Toronto FC,3-0,CHV
Saturday,September 27,Seattle,4-2,CHV
Sunday,October 5,CHV,1-0,Real Salt Lake
Saturday,October 11,CHV,2-1,Colorado
Wednesday,October 22,Real Salt Lake,2-0,CHV
Sunday,October 26,CHV,1-0,San Jose
