Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
E1,12/08/00,Barnsley,Norwich,1,0,H,0,0,D,15614,Phil Richards,13,7,4,4,1,0,1,3,8,13,2,14,1,0,1,0,35,0,,,,1.65,3.2,3.8,,,,1.73,3.25,4.33,1.66,3.3,4.5
E1,12/08/00,Blackburn,Crystal Palace,2,0,H,2,0,H,18733,Clive Wilkes,16,4,6,0,2,0,7,4,14,17,4,3,1,4,0,0,10,40,,,,1.6,3.2,4.2,,,,1.4,4,6.5,1.44,3.6,6.5
E1,12/08/00,Bolton,Burnley,1,1,D,1,0,H,20662,Bill Burns,7,5,3,1,0,0,3,5,14,14,0,5,2,1,0,0,20,10,,,,1.6,3.2,4.2,,,,1.62,3.6,4.5,1.66,3.4,4.33
E1,12/08/00,Fulham,Crewe,2,0,H,0,0,D,11157,Rob Styles,14,3,10,1,0,0,10,1,4,9,1,2,0,1,0,0,0,10,,,,1.45,3.5,5,,,,1.44,3.6,7,1.4,3.75,7
E1,12/08/00,Gillingham,Stockport,1,3,A,1,2,A,9429,David Ellaray,18,10,8,5,0,0,12,4,9,13,5,1,0,3,0,0,0,30,,,,1.9,3,3.1,,,,2.2,3.25,2.88,2,3.2,3.2
E1,12/08/00,Grimsby,Preston,1,2,A,0,1,A,5755,Roy Pearson,10,11,5,5,1,0,9,5,13,8,2,4,0,1,0,0,0,10,,,,2.1,2.9,2.9,,,,2.4,3.2,2.6,2.2,3.25,2.75
E1,12/08/00,Huddersfield,Watford,1,2,A,1,1,D,13018,Graham Frankland,10,6,4,4,1,0,7,6,17,17,2,4,0,2,0,0,0,20,,,,2.1,2.9,2.9,,,,2.5,3.2,2.5,2.1,3.2,3
E1,12/08/00,Nott'm Forest,West Brom,1,0,H,0,0,D,21209,Paul Taylor,22,9,7,5,0,0,10,3,8,5,1,2,0,0,0,0,0,0,,,,1.7,3.1,3.8,,,,1.62,3.4,5,1.66,3.3,4.5
E1,12/08/00,QPR,Birmingham,0,0,D,0,0,D,13926,Graham Barber,8,10,2,8,0,0,2,6,19,17,1,5,1,3,0,0,10,30,,,,2.2,2.9,2.7,,,,2.5,3.2,2.5,2.3,3.25,2.62
E1,12/08/00,Sheffield United,Portsmouth,2,0,H,1,0,H,15816,David Pugh,10,11,6,7,0,0,5,5,13,8,1,3,1,1,0,0,10,10,,,,1.75,3.1,3.6,,,,1.83,3.25,3.75,1.83,3.2,3.75
E1,12/08/00,Wimbledon,Tranmere,0,0,D,0,0,D,8266,Andy Hall,8,4,2,2,0,0,8,3,20,17,2,5,1,3,0,1,10,55,,,,1.7,3.1,3.8,,,,1.62,3.4,5,1.66,3.3,4.5
E1,13/08/00,Wolves,Sheffield Weds,1,1,D,1,0,H,19086,Mark Halsey,25,5,9,3,1,0,11,3,12,14,5,1,1,5,0,1,10,75,,,,2.2,2.9,2.7,2.2,3.25,2.75,2.2,3.4,2.75,2.25,3.2,2.75
E1,18/08/00,Birmingham,Fulham,1,3,A,1,3,A,21659,Neale Barry,5,17,4,9,0,1,2,9,14,7,5,2,1,2,0,0,10,20,2.1,3.1,3,2.1,2.9,2.9,2.6,3.2,2.35,2.5,3.2,2.5,2.25,3.2,2.75
E1,19/08/00,Burnley,Wimbledon,1,0,H,1,0,H,15124,Steve Baines,10,5,4,1,1,0,8,5,10,12,1,2,0,1,0,0,0,10,2.6,3.15,2.25,2.2,2.9,2.7,2.4,3.25,2.5,2.4,3.3,2.5,2.37,3.3,2.5
E1,19/08/00,Crewe,Blackburn,0,0,D,0,0,D,7500,John Brandwood,3,14,1,3,0,1,0,4,6,12,1,0,2,1,0,0,20,10,3.3,3.25,1.95,3.1,3,1.9,3.75,3.25,1.8,3.75,3.4,1.8,3.75,3.3,1.8
E1,19/08/00,Norwich,Nott'm Forest,0,0,D,0,0,D,18059,Steve Tomlin,15,7,9,3,0,0,5,3,16,17,5,7,1,3,0,0,10,30,2,3.15,3.1,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75
E1,19/08/00,Portsmouth,Grimsby,1,1,D,0,0,D,12511,Richard Beeby,7,4,2,3,0,0,8,0,12,13,3,2,2,1,0,0,20,10,1.7,3.2,4.1,1.8,3,3.5,1.65,3.4,4.3,1.67,3.4,4.5,1.66,3.4,4.33
E1,19/08/00,Preston,Sheffield United,3,0,H,2,0,H,13948,Phil Dowd,6,9,3,4,1,1,3,9,15,25,3,3,1,1,0,1,10,35,2.2,3.1,2.75,1.85,3,3.3,2.2,3.25,2.75,2.1,3.25,3,2,3.2,3.2
E1,19/08/00,Sheffield Weds,Huddersfield,2,3,A,1,3,A,22704,Martin Robinson,12,6,5,5,2,0,8,4,13,18,4,4,2,2,0,0,20,20,1.66,3,4.6,1.6,3.2,4.2,1.7,3.5,3.75,1.8,3.4,3.75,1.8,3.3,3.75
E1,19/08/00,Stockport,Wolves,1,1,D,0,0,D,7758,Mark Cowburn,12,19,3,7,0,1,7,4,15,8,2,4,2,0,0,0,20,0,2.25,3.3,2.7,2.2,2.9,2.7,2.35,3.2,2.6,2.38,3.2,2.63,2.37,3.3,2.5
E1,19/08/00,Tranmere,Gillingham,3,2,H,3,1,H,8355,Alan Kaye,13,10,5,7,0,0,8,3,16,22,6,9,3,2,0,1,30,45,1.61,3.4,4.7,1.75,3.1,3.6,1.8,3.25,3.75,1.73,3.3,4.33,1.72,3.4,4
E1,19/08/00,Watford,Barnsley,1,0,H,0,0,D,13186,David Crick,20,19,14,9,0,0,11,9,9,8,4,1,1,1,0,0,10,10,1.8,3.3,3.6,1.8,3,3.5,1.9,3.25,3.4,1.8,3.25,4,1.9,3.4,3.25
E1,19/08/00,West Brom,Bolton,0,2,A,0,1,A,17316,Phil Joslin,15,10,7,5,1,0,10,2,13,13,7,2,1,2,0,0,10,20,2.3,3.1,2.6,2.35,3,2.35,2.25,3.4,2.6,2.4,3.3,2.5,2.4,3.25,2.5
E1,20/08/00,Crystal Palace,QPR,1,1,D,1,0,H,19020,Frazer Stretton,14,12,6,6,0,0,8,1,15,16,2,3,2,1,0,0,20,10,2.2,3,2.7,2.3,2.9,2.5,2.35,3.2,2.6,2.38,3.25,2.63,2.25,3.2,2.75
E1,25/08/00,Gillingham,Portsmouth,1,1,D,1,0,H,8741,Paul Danson,11,19,5,4,0,1,10,9,14,13,3,0,0,1,0,0,0,10,2.3,3.15,2.6,2.1,3,2.8,,,,2.25,3.25,2.75,2.37,3.1,2.62
E1,26/08/00,Barnsley,West Brom,4,1,H,0,1,A,14321,Frazer Stretton,19,7,10,3,0,0,6,1,10,11,4,3,0,2,0,0,0,20,1.5,3.3,5.5,1.5,3.4,4.7,1.55,3.5,5.5,1.53,3.5,5.5,1.53,3.4,5.5
E1,26/08/00,Blackburn,Norwich,3,2,H,1,0,H,19542,Chris Foy,14,10,6,3,0,2,5,4,10,11,3,2,4,3,0,0,40,30,1.45,3.7,5.8,1.5,3.4,4.7,1.45,3.6,6.5,1.44,3.75,6.5,1.44,3.75,6
E1,26/08/00,Bolton,Preston,2,0,H,1,0,H,19954,Uriah Rennie,12,12,9,5,0,2,3,8,10,13,1,11,0,0,0,0,0,0,1.8,3.2,3.6,1.85,3.1,3.2,2,3.2,3.2,1.83,3.25,3.75,1.83,3.2,3.75
E1,26/08/00,Fulham,Stockport,4,1,H,1,1,D,11009,Paul Alcock,27,3,8,1,2,0,8,1,8,15,4,1,2,5,0,2,20,100,1.3,4.5,7,1.4,3.6,5.5,1.45,3.6,6.5,1.4,3.75,7.5,1.36,4,7
E1,26/08/00,Grimsby,Sheffield Weds,0,1,A,0,1,A,7755,Tony Leake,9,16,2,4,0,0,3,3,14,12,1,1,0,2,0,0,0,20,2.55,3.25,2.3,2.35,3,2.35,2.75,3.2,2.25,2.75,3.25,2.25,2.62,3.25,2.3
E1,26/08/00,Huddersfield,Crystal Palace,1,2,A,1,1,D,10670,Trevor Jones,16,7,7,2,0,0,10,4,16,13,3,8,1,2,0,0,10,20,1.55,3.4,5.3,1.6,3.3,4,1.6,3.5,4.5,1.62,3.5,4.75,1.66,3.4,4.33
E1,26/08/00,Nott'm Forest,Birmingham,1,2,A,0,2,A,18820,Graham Frankland,9,15,3,3,0,1,12,3,8,5,3,3,2,1,0,0,20,10,2,3,3.2,2.1,3,2.8,2.25,3.2,2.75,2.25,3.2,2.8,2.1,3,3.2
E1,26/08/00,QPR,Crewe,1,0,H,1,0,H,9415,Keith Hill,13,17,4,5,0,1,3,6,9,10,1,2,3,2,0,0,30,20,1.6,3.25,4.9,1.6,3.3,4,1.6,3.25,5,1.62,3.4,5,1.61,3.25,5
E1,26/08/00,Sheffield United,Tranmere,2,0,H,1,0,H,12074,Eddie Wolstenholme,15,4,10,2,0,0,7,3,10,10,15,2,1,4,0,0,10,40,1.95,3.3,3.1,1.9,3,3.1,1.9,3.25,3.4,1.91,3.25,3.5,1.9,3.4,3.25
E1,26/08/00,Wimbledon,Watford,0,0,D,0,0,D,8447,Trevor Parkes,13,14,5,4,2,0,5,5,10,9,4,2,1,1,0,0,10,10,2.25,3.1,2.7,2.2,2.9,2.7,2.35,3.2,2.6,2.3,3.25,2.7,2.25,3.2,2.75
E1,26/08/00,Wolves,Burnley,1,0,H,0,0,D,20156,Michael Jones,17,9,4,1,1,0,9,3,15,17,0,6,0,3,0,0,0,30,1.75,3.2,4,1.8,3,3.5,1.8,3.2,4,1.75,3.4,4,1.8,3.3,3.75
E1,28/08/00,Birmingham,Barnsley,4,1,H,2,0,H,17160,Barry Knight,14,10,11,5,0,0,3,2,7,13,5,3,0,4,0,1,0,65,,,,1.9,3,3.1,2.2,3.25,2.75,2,3.25,3.25,2,3.4,3
E1,28/08/00,Burnley,Gillingham,1,1,D,0,0,D,15611,Peter Jones,8,5,3,1,0,1,5,3,14,12,3,3,2,3,0,0,20,30,,,,1.65,3.2,3.8,1.7,3.5,3.75,1.73,3.4,4.2,1.72,3.4,4
E1,28/08/00,Crystal Palace,Nott'm Forest,2,3,A,0,3,A,18865,Ray Olivier,8,8,7,6,0,0,8,0,6,18,6,6,3,4,0,1,30,65,,,,2.2,2.9,2.7,2.4,3.25,2.5,2.25,3.25,2.75,2.25,3.2,2.75
E1,28/08/00,Norwich,Fulham,0,1,A,0,0,D,16678,Mick Fletcher,14,16,4,6,0,0,8,2,18,19,10,3,5,4,0,0,50,40,,,,2.8,3,2.1,3,3.25,2.1,3.4,3.4,1.9,3.2,3.2,2
E1,28/08/00,Portsmouth,Wolves,3,1,H,3,1,H,14124,Andrew Butler,15,10,10,5,1,0,3,7,14,13,4,4,0,1,0,0,0,10,,,,2.3,2.9,2.5,2.25,3.4,2.6,2.38,3.2,2.63,2.37,3.1,2.62
E1,28/08/00,Preston,Wimbledon,1,1,D,0,1,A,13519,Roger Furnandiz,13,10,8,4,0,1,8,4,6,11,3,4,1,3,0,0,10,30,,,,2.1,3,2.8,2.2,3.25,2.75,2.25,3.25,2.75,2.2,3.25,2.75
E1,28/08/00,Sheffield Weds,Blackburn,1,1,D,1,1,D,15646,Mike Dean,14,14,7,10,0,0,9,7,15,20,3,2,2,2,0,0,20,20,,,,2.2,2.9,2.7,2.75,3.25,2.2,2.6,3.2,2.4,2.75,3.25,2.2
E1,28/08/00,Stockport,Huddersfield,0,0,D,0,0,D,6137,Mike Pike,10,16,3,8,0,0,12,9,11,14,3,2,1,3,0,0,10,30,,,,2.2,2.9,2.7,2.35,3.2,2.6,2.25,3.25,2.75,2.25,3.2,2.75
E1,28/08/00,Tranmere,Bolton,0,1,A,0,0,D,9530,Mike Riley,12,6,6,2,0,0,4,1,18,27,4,14,2,1,1,0,45,10,,,,2.4,2.9,2.4,2.35,3.5,2.35,2.5,3.2,2.5,2.5,3.1,2.5
E1,28/08/00,Watford,Sheffield United,4,1,H,2,1,H,12675,Lee Cable,11,7,5,1,1,1,3,6,8,6,2,3,1,4,0,0,10,40,,,,1.55,3.3,4.5,1.6,3.5,4.5,1.67,3.4,4.5,1.61,3.5,4.5
E1,28/08/00,West Brom,QPR,2,1,H,0,1,A,14831,Scott Mathieson,15,6,8,1,1,0,7,2,10,12,6,3,2,4,0,0,20,40,,,,2.4,2.9,2.4,2.5,3.25,2.75,2.5,3.2,2.5,2.5,3.1,2.5
