Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
E2,10/08/02,Bristol City,Blackpool,2,0,H,0,0,D,M Fletcher,18,4,12,1,14,8,10,0,3,1,0,2,1.667,3.4,4.5,1.73,3.33,4.44,1.65,3.2,3.9,1.727,3.2,4.333,,,,1.667,3.4,4.5,1.66,3.4,4.33
E2,10/08/02,Cheltenham,Wigan,0,2,A,0,2,A,R Beeby,10,15,4,6,17,10,8,6,0,0,0,0,2.8,3.25,2.2,2.75,3.25,2.3,2.6,3,2.2,2.75,3.25,2.2,,,,2.75,3.2,2.3,2.8,3.2,2.2
E2,10/08/02,Colchester,Stockport,1,0,H,0,0,D,P Danson,17,10,8,4,15,17,11,2,0,2,0,1,2.625,3.2,2.375,2.45,3.3,2.5,2.35,3,2.35,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.5,3.1,2.5
E2,10/08/02,Huddersfield,Brentford,0,2,A,0,2,A,C Foy,11,5,6,2,13,18,7,5,2,1,0,0,1.8,3.25,4,1.8,3.25,4,1.75,3.2,3.5,1.8,3.2,4,,,,1.833,3.25,3.8,1.72,3.25,4.2
E2,10/08/02,Luton,Peterboro,2,3,A,0,2,A,B Curson,13,10,6,6,15,10,5,3,2,1,0,0,1.727,3.25,4.333,1.73,3.45,4.5,1.65,3.2,3.9,1.667,3.4,4.333,,,,1.667,3.4,4.5,1.66,3.4,4.33
E2,10/08/02,Mansfield,Plymouth,4,3,H,1,1,D,G Frankland,20,11,13,6,14,17,4,4,2,2,0,0,2.5,3.2,2.5,2.45,3.3,2.5,2.35,3,2.35,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.5,3.1,2.5
E2,10/08/02,Northampton,Crewe,1,1,D,0,1,A,T Parkes,10,10,6,5,8,10,2,4,0,0,0,0,2.625,3.2,2.375,2.5,3.3,2.45,2.4,3,2.3,2.5,3.25,2.4,,,,2.6,3.2,2.4,2.62,3.1,2.37
E2,10/08/02,Notts County,Wycombe,1,1,D,0,0,D,M Warren,11,10,4,5,16,15,7,9,1,0,0,0,2.1,3.25,3,2.15,3.3,3.15,2.1,3,2.8,2.1,3.2,3,,,,2.1,3.25,3,2,3.3,3.1
E2,10/08/02,Oldham,Cardiff,1,2,A,0,1,A,E Wolstenholme,15,12,5,5,19,10,7,9,3,1,0,0,2.8,3.25,2.2,2.7,3.3,2.3,2.4,3,2.3,2.4,3.25,2.5,,,,2.75,3.25,2.25,2.75,3.2,2.25
E2,10/08/02,Port Vale,Tranmere,1,4,A,1,2,A,S Baines,12,8,6,4,6,8,1,1,1,0,0,0,2.1,3.25,3,2.15,3.25,3,2,3,2.9,2,3.4,3,,,,2.1,3.25,3,2,3.2,3.2
