match_num,round/group,date,stadium,where,home,penalties,extra_time_score,fulltime_score,away
49,Round of 16,27 June,Parc des Princes,Paris,Brazil,,,4-1,Chile
50,Round of 16,27 June,Stade Vélodrome,Marseille,Italy,,,1-0,Norway
51,Round of 16,28 June,Stade de France,Saint-Denis,Nigeria,,,1-4,Denmark
52,Round of 16,28 June,Stade Félix Bollaert,Lens,France,,,0-0,Paraguay
53,Round of 16,29 June,Stade de la Mosson,Montpellier,Germany,,,2-1,Mexico
54,Round of 16,29 June,Stade de Toulouse,Toulouse,Netherlands,,,2-1,Yugoslavia
55,Round of 16,30 June,Stade Geoffroy-Guichard,Saint-Étienne,Argentina,4-3,2-2,2-2,England
56,Round of 16,30 June,Parc Lescure,Bordeaux,Romania,,,0-1,Croatia
57,Quarter-finals,3 July,Stade de France,Saint-Denis,Italy,3-4,0-0,0-0,France
58,Quarter-finals,3 July,Stade de la Beaujoire,Nantes,Brazil,,,3-2,Denmark
59,Quarter-finals,4 July,Stade Gerland,Lyon,Germany,,,0-3,Croatia
60,Quarter-finals,4 July,Stade Vélodrome,Marseille,Netherlands,,,2-1,Argentina
61,Semi-finals,7 July,Stade Vélodrome,Marseille,Brazil,4-2,1-1,1-1,Netherlands
62,Semi-finals,8 July,Stade de France,Saint-Denis,France,,,2-1,Croatia
63,Third place match,11 July,Parc des Princes,Paris,Netherlands,,,1-2,Croatia
64,Final,12 July,Stade de France,Saint-Denis,Brazil,,,0-3,France
