FullName
"Aaron Hughes"
"Aaron Lennon"
"Aaron Ramsey"
"Aaron Wilbraham"
"Abdoulaye Faye"
"Adam Johnson"
"Adam Lallana"
"Adel Taarabt"
"Adlene Guedioura"
"Adnan Januzaj"
Adri&#225;n
"Adrian Mariappa"
"Ahmed Elmohamady"
"Aleksandar Kolarov"
"Aleksandar Tonev"
"Alex Bruce"
"Alex Oxlade-Chamberlain"
"Alexander Büttner"
"Alexander Kacaniklic"
"Alexander Tettey"
"Allan McGregor"
"Alou Diarra"
"Aly Cissokho"
"Anders Lindegaard"
Anderson
"Andre Sch&#252;rrle"
"Andre Wisdom"
"Andrea Dossena"
"Andreas Cornelius"
"Andreas Weimann"
"Andrew Taylor"
"Andros Townsend"
"Andy Wilkinson"
"Angel Rangel"
"Anthony Pilkington"
"Antonio Luna"
"Antonio Valencia"
"Aron Gunnarsson"
"Arouna Koné"
"Artur Boruc"
"Ashley Cole"
"Ashley Richards"
"Ashley Westwood"
"Ashley Williams"
"Ashley Young"
"Asmir Begovic"
"Bacary Sagna"
"Barry Bannan"
"Ben Amos"
"Ben Davies"
"Ben Foster"
"Ben Turner"
"Billy Jones"
"Boaz Myhill"
"Brad Friedel"
"Brad Guzan"
"Brad Jones"
"Bradley Johnson"
"Branislav Ivanovic"
"Brede Hangeland"
"Bryan Oviedo"
"Bryan Ruiz"
"Buomesca Tue Na Bangna"
Cabral
"Callum Chambers"
"Cameron Jerome"
"Carl Jenkinson"
"Carlos Jimenez Cuellar"
"Carlton Cole"
"Charalampos Mavrias"
"Charlie Adam"
Chico
"Chris Brunt"
"Chris Herd"
"Chris Smalling"
"Christian Benteke"
"Christian Eriksen"
"Chuba Akpom"
"Ciaran Clark"
"Claudio Yacob"
"Connor Wickham"
"Costel Pantilimon"
"Craig Bellamy"
"Craig Dawson"
"Craig Gardner"
"Craig Noone"
"Curtis Davies"
"César Azpilicueta"
"Damien Delaney"
"Damien Duff"
"Dan Gosling"
"Daniel Agger"
"Daniel Alfei"
"Daniel Ayala"
"Daniel Fox"
"Daniel Gabbidon"
"Daniel Sturridge"
"Danny Graham"
"Danny Rose"
"Danny Welbeck"
"Darren Bent"
"Darron Gibson"
"David De Gea"
"David Fox"
"David Luiz"
"David Marshall"
"David Meyler"
"David Moberg-Karlsson"
"David Silva"
"David Stockdale"
"David Vaughan"
"Davide Santon"
"Dean Moxey"
"Declan John"
"Dedryck Boyata"
"Dejan Lovren"
"Demba Ba"
"Derek Boateng"
"Diego Lugano"
"Dimitar Berbatov"
"Don Cowie"
"Dwight Gayle"
"Dwight Tiendalli"
"Eden Hazard"
"Edin Dzeko"
"El-Hadj Ba"
"Eldin Jakupovic"
"Elliot Lee"
"Elliott Bennett"
"Elsad Zverotic"
"Emanuele Giaccherini"
"Emiliano Viviano"
"Emmanuel Frimpong"
"Emmanuel Mayuka"
"Erik Lamela"
"Erik Pieters"
"Etienne Capoue"
"Ezekiel Fryers"
"Fabian Delph"
Fabio
"Fabio Borini"
"Fabricio Coloccini"
Fernandinho
"Fernando Amorebieta"
"Fernando Torres"
"Florian Marange"
"Fraizer Campbell"
"Frank Lampard"
"Gabriel Agbonlahor"
"Gabriel Obertan"
"Gael Bigirimana"
"Gareth Barry"
"Gareth McAuley"
"Gary Cahill"
"Gary Hooper"
"Gary Medel"
"Gaston Ramirez"
"Gaël Clichy"
"Geoff Cameron"
"George Boyd"
"George McCartney"
"Gerard Deulofeu"
"Gerhard Tremmel"
"Gideon Zelalem"
"Giorgos Karagounis"
"Glen Johnson"
"Glenn Whelan"
"Goran Popov"
"Graham Dorrans"
"Guilherme Do Prado"
"Guy Demel"
"Gylfi Sigurdsson"
"Haris Vuckic"
"Harry Kane"
