Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Jon Busch,CLB,GK,29,29,2610,31,1.07,6/7,12,5,12,10,41.4
Joe Cannon,COL,GK,30,30,2700,32,1.07,5/7,10,9,11,10,33.3
Tony Meola,KC,GK,21,21,1890,22,1.05,2/2,9,7,5,7,42.9
Henry Ring,CHI,GK,28,28,2520,40,1.43,5/6,7,12,9,7,25.0
Kevin Hartman,LA,GK,30,30,2655,39,1.3,4/5,11,8,10,7,36.7
Pat Onstad,SJ,GK,25,25,2250,32,1.28,2/3,7,8,10,6,28.0
Bo Oshoniyi,KC,GK,9,9,810,8,0.89,1/2,5,2,2,5,55.6
Jonny Walker,MET,GK,28,28,2520,45,1.61,3/4,10,11,7,5,35.7
Scott Garlick,DAL,GK,12,11,1068,18,1.64,1/1,3,6,2,4,25.0
Nick Rimando,RSL,GK,13,13,1170,13,1.0,3/3,7,3,3,4,53.8
Jeff Cassar,DAL,GK,19,19,1632,27,1.42,0/1,7,8,4,4,36.8
Troy Perkins,DC,GK,16,16,1440,26,1.63,1/2,4,6,6,3,25.0
Matt Reis,NE,GK,24,23,2114,32,1.39,4/4,7,10,7,3,29.2
Jon Conway,SJ,GK,5,5,450,3,0.6,0/0,2,2,1,2,40.0
Adin Brown,NE,GK,7,7,585,11,1.57,0/0,1,3,2,1,14.3
Matt Pickens,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
William Hesmer,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Zach Thornton,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Steve Cronin,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Clint Baumstark,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Peter Billmeyer,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kyle Singer,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andrew Terris,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Scott Vallow,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Dan Popik,LA,GK,1,0,44,1,1.0,0/0,0,1,0,0,0.0
Doug Warren,DC,GK,1.0,1.0,90.0,3.0,3.0,0/0,0.0,1.0,0.0,0.0,0.0
Matt Jordan,CLB,GK,1.0,1.0,90.0,1.0,1.0,1/1,0.0,0.0,1.0,0.0,0.0
D.J. Countess,CHI,GK,2.0,2.0,180.0,4.0,2.0,0/0,1.0,1.0,0.0,0.0,50.0
Zach Wells,MET,GK,2.0,2.0,180.0,4.0,2.0,1/1,1.0,1.0,0.0,0.0,50.0
Byron Foss,nan,GK,nan,nan,nan,nan,nan,/,nan,nan,nan,nan,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
