Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Simo Valakari,DAL,M,26,26,2297,1,4,11,5,73,23,0,8,2
Brian Mullan,SJ,D,28,28,2408,3,8,41,20,68,69,13,5,1
Marcelo Saragosa,LA,M,26,24,2122,0,1,9,1,62,60,0,6,0
Bryan Namoff,DC,D,27,27,2384,0,2,4,1,62,28,0,5,0
Ben Olsen,DC,M,25,25,2046,3,4,41,26,58,58,8,7,0
Amado Guevara,MET,M,24,23,2110,10,10,65,30,58,53,2,8,1
Kyle Beckerman,RSL,M,29,25,2241,1,2,29,13,57,30,1,5,0
Diego Gutierrez,KC,D,28,28,2520,3,4,28,8,53,55,1,8,0
Ronnie O'Brien,DAL,M,29,29,2581,2,10,67,30,53,27,5,4,0
Davy Arnaud,KC,M,30,30,2626,9,8,61,27,52,111,25,4,0
Ryan Suarez,LA,D,26,25,2154,0,0,4,3,51,31,0,8,0
Clint Dempsey,SEA,F,24,23,2024,7,1,47,25,50,68,1,6,0
Peguero Jean Philippe,COL,F,18,16,1388,7,4,42,22,49,28,34,1,0
Edson Buddle,CLB,F,24,20,1720,11,2,65,31,47,33,17,3,0
Brian Ching,SJ,F,25,21,1952,12,4,51,26,47,73,11,4,0
Carlos Ruiz,LA,F,20,18,1586,11,2,63,36,46,41,25,5,0
Joshua Gros,DC,M-D,29,21,2084,1,4,30,17,46,29,4,6,0
Dema Kovalenko,DC,M,25,25,2163,2,10,37,20,46,33,5,6,2
Marshall Leonard,NE,M,25,22,1992,0,1,5,2,45,22,0,7,0
Shavar Thomas,KC,D,25,22,1879,1,0,7,3,44,11,0,4,1
Eddie Gaven,MET,M,29,29,2578,7,7,46,22,44,79,6,2,0
Duncan Oughton,CLB,D,28,21,2018,2,1,20,8,43,32,3,2,0
Andy Williams,CHI,M,25,23,2023,4,9,48,20,43,83,4,7,0
Shalrie Joseph,NE,M,23,23,2032,0,3,17,4,43,27,0,4,1
John Wolyniec,MET,F,30,23,2047,10,3,56,27,42,37,11,1,0
Brian Carroll,DC,M,30,26,2435,0,1,12,3,42,11,0,4,0
Evan Whitfield,CHI,D,23,19,1664,0,1,1,0,40,16,0,6,1
Mike Petke,DC,D,26,23,2027,1,0,7,3,40,15,0,6,0
Kerry Zavagnin,KC,M,24,24,2160,0,2,12,2,39,34,0,4,0
Eddie Johnson,DAL,F,26,25,2269,12,3,75,32,39,53,27,1,0
Ricardo Clark,CLB,M,26,19,1765,1,1,25,7,37,40,2,7,0
Brad Davis,DAL,M,29,24,1945,2,2,34,11,37,28,4,2,1
Chris Albright,LA,D,24,24,2111,1,6,15,6,37,33,1,7,1
Robin Fraser,CLB,D,28,28,2520,0,0,1,0,37,6,0,3,1
Nat Borchers,COL,D,29,29,2610,2,1,11,5,37,17,0,5,1
Frankie Hejduk,CLB,D,20,19,1643,2,0,28,14,36,25,2,4,1
Kyle Martino,CLB,M,29,27,2301,5,2,31,17,36,84,12,1,0
Chris Henderson,COL,M,29,29,2562,3,5,59,28,36,40,23,2,1
Ramiro Corrales,SJ,M,29,28,2474,3,1,42,12,35,35,1,4,1
Richard Mulrooney,SJ,M,30,30,2700,1,8,28,13,35,89,2,4,0
Alecko Eskandarian,DC,F,24,19,1626,10,2,58,32,34,36,14,8,0
Nate Jaqua,CHI,F,26,21,1832,4,4,45,19,34,29,7,3,1
Chad Marshall,SEA,D,28,27,2446,0,1,24,10,34,15,0,1,0
Matt Crawford,COL,M,30,28,2533,1,4,20,9,34,32,0,4,0
Toni Nhleko,DAL,F,23,13,1184,6,2,49,23,33,20,14,1,0
Carey Talley,DAL,D,23,19,1687,0,1,11,7,33,13,1,6,0
Chris Armas,CHI,M,21,20,1820,1,7,18,5,33,29,2,5,0
