Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Joe Cannon,COL,GK,30,30,2700,187,150,32,1.07,5/7,80.2
Jon Busch,CLB,GK,29,29,2610,169,132,31,1.07,6/7,78.1
Henry Ring,CHI,GK,28,28,2520,170,128,40,1.43,5/6,75.3
Kevin Hartman,LA,GK,30,30,2655,164,117,39,1.3,4/5,71.3
Jonny Walker,MET,GK,28,28,2520,148,99,45,1.61,3/4,66.9
Pat Onstad,SJ,GK,25,25,2250,132,98,32,1.28,2/3,74.2
Matt Reis,NE,GK,24,23,2114,134,97,32,1.39,4/4,72.4
Tony Meola,KC,GK,21,21,1890,102,76,22,1.05,2/2,74.5
Jeff Cassar,DAL,GK,19,19,1632,94,65,27,1.42,0/1,69.1
Scott Garlick,DAL,GK,12,11,1068,72,52,18,1.64,1/1,72.2
Troy Perkins,DC,GK,16,16,1440,81,52,26,1.63,1/2,64.2
Bo Oshoniyi,KC,GK,9,9,810,56,42,8,0.89,1/2,75.0
Adin Brown,NE,GK,7,7,585,51,39,11,1.57,0/0,76.5
Nick Rimando,RSL,GK,13,13,1170,40,26,13,1.0,3/3,65.0
Jon Conway,SJ,GK,5,5,450,18,15,3,0.6,0/0,83.3
Doug Warren,DC,GK,1,1,90,10,6,3,3.0,0/0,60.0
Matt Jordan,CLB,GK,1,1,90,7,5,1,1.0,1/1,71.4
Zach Wells,MET,GK,2,2,180,8,4,4,2.0,1/1,50.0
D.J. Countess,CHI,GK,2,2,180,9,4,4,2.0,0/0,44.4
Dan Popik,LA,GK,1,0,44,3,2,1,1.0,0/0,66.7
Kyle Singer,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Andrew Terris,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Scott Vallow,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Steve Cronin,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
Clint Baumstark,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Peter Billmeyer,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Zach Thornton,CHI,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Matt Pickens,CHI,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
William Hesmer,KC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Byron Foss,nan,GK,nan,nan,nan,nan,nan,nan,nan,/,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
