Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Jaime Moreno,DC,F,27,27,14,5,13,1,0.55
Jose Cancela,NE,M,25,24,10,3,5,5,0.46
Landon Donovan,SJ,M-F,23,22,10,3,7,3,0.45
Amado Guevara,MET,M,24,23,10,2,5,5,0.43
Dema Kovalenko,DC,M,25,25,10,4,7,3,0.42
Simon Elliott,CLB,M,27,26,10,5,6,4,0.38
Ronnie O'Brien,DAL,M,29,29,10,4,6,4,0.35
Andy Williams,CHI,M,25,23,9,3,7,2,0.4
Chris Klein,KC,M,19,19,8,3,2,6,0.43
Brian Mullan,SJ,D,28,28,8,2,4,4,0.3
Pat Noonan,NE,F,29,29,8,1,5,3,0.28
Davy Arnaud,KC,M,30,30,8,5,4,4,0.27
Steve Ralston,NE,M,30,30,8,1,2,6,0.27
Richard Mulrooney,SJ,M,30,30,8,2,7,1,0.27
Chris Armas,CHI,M,21,20,7,2,7,0,0.35
Andreas Herzog,LA,M-F,27,25,7,1,2,5,0.31
Josh Wolff,KC,F,26,25,7,5,5,2,0.28
Eddie Gaven,MET,M,29,29,7,3,3,4,0.24
Richie Baker,NE,M,20,11,6,0,4,2,0.52
Oscar Pareja,DAL,M,24,12,6,1,3,3,0.49
Chris Albright,LA,D,24,24,6,1,2,4,0.26
Cobi Jones,LA,M,23,20,5,0,3,2,0.26
Antonio de la Torre,COL,D,28,28,5,3,4,1,0.19
Chris Henderson,COL,M,29,29,5,2,3,2,0.18
Mark Lisi,MET,M,11,8,4,1,1,3,0.52
Peguero Jean Philippe,COL,F,18,16,4,0,3,1,0.26
Mike Magee,MET,M,22,18,4,1,3,1,0.23
Justin Mapp,CHI,M,24,19,4,1,3,1,0.22
Nate Jaqua,CHI,F,26,21,4,2,4,0,0.2
Jeff Cunningham,CLB,F,30,19,4,1,4,0,0.19
Mark Chung,COL,M,22,21,4,1,1,3,0.19
Brian Ching,SJ,F,25,21,4,0,2,2,0.18
Ben Olsen,DC,M,25,25,4,2,4,0,0.18
Joshua Gros,DC,M-D,29,21,4,0,1,3,0.17
Earnie Stewart,DC,M,26,23,4,0,1,3,0.17
Jeff Agoos,SJ,D,24,24,4,0,3,1,0.17
Simo Valakari,DAL,M,26,26,4,0,4,0,0.16
Diego Gutierrez,KC,D,28,28,4,0,3,1,0.14
Matt Crawford,COL,M,30,28,4,0,1,3,0.14
Alberto Delgado,COL,F,13,9,3,0,1,2,0.36
Bobby Convey,DC,M,10,10,3,0,1,2,0.33
Ned Grabavoy,LA,M,15,11,3,2,2,1,0.29
Dwayne De Rosario,SJ,M,21,12,3,1,3,0,0.22
DaMarcus Beasley,HOU,D,15,14,3,0,1,2,0.21
