Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Luis Robles,RBNY,GK,34,34,3060,131,86,43,1.26,2/3,18,10,6,9,52.9,65.6
David Ousted,DC,GK,34,34,3060,137,99,36,1.06,2/6,16,13,5,13,47.1,72.3
David Bingham,LA,GK,34,34,3060,147,105,39,1.15,4/6,13,13,8,12,38.2,71.4
Steve Clark,DC,GK,34,34,3060,168,114,53,1.56,4/4,15,11,8,6,44.1,67.9
Adam Kwarasey,POR,GK,33,33,2970,120,80,36,1.09,4/4,15,10,8,13,45.5,66.7
Josh Saunders,NYC,GK,33,33,2970,188,123,57,1.73,6/7,10,16,7,4,30.3,65.4
Stefan Frei,SEA,GK,31,31,2744,144,111,33,1.06,2/3,14,10,6,10,45.2,77.1
Bobby Shuttleworth,MIN,GK,31,31,2790,125,78,41,1.32,5/6,13,11,7,8,41.9,62.4
Tyler Deric,HOU,GK,31,31,2790,139,89,44,1.42,5/5,10,13,8,7,32.3,64.0
Evan Bush,MTL,GK,31,31,2790,142,99,39,1.26,6/7,15,12,4,9,48.4,69.7
Clint Irwin,TOR,GK,31,31,2790,125,88,38,1.23,3/3,8,13,10,8,25.8,70.4
Bill Hamid,DC,GK,25,25,2250,133,101,29,1.16,0/1,11,9,5,8,44.0,75.9
Nick Rimando,RSL,GK,24,24,2160,93,66,24,1.0,5/8,8,9,7,8,33.3,71.0
Tally Hall,DC,GK,23,23,2064,114,73,41,1.78,4/5,10,8,5,5,43.5,64.0
Tim Melia,SKC,GK,23,23,2070,113,82,28,1.22,2/2,11,8,4,8,47.8,72.6
Sean Johnson,NYC,GK,21,21,1890,90,59,32,1.52,3/3,5,11,5,4,23.8,65.6
Donovan Ricketts,LA,GK,21,21,1890,92,58,32,1.52,4/4,7,9,5,3,33.3,63.0
Chris Konopka,TOR,GK,21,21,1890,92,62,31,1.48,4/6,11,7,3,4,52.4,67.4
Dan Kennedy,DAL,GK,16,16,1440,48,30,19,1.19,3/4,7,5,4,5,43.8,62.5
Jaime Penedo,LA,GK,16,16,1440,69,50,19,1.19,1/1,6,4,6,5,37.5,72.5
Joe Bendik,ORL,GK,13,13,1170,72,45,27,2.08,2/2,4,8,1,1,30.8,62.5
Jon Busch,CHI,GK,12,12,1080,57,35,24,2.0,0/0,3,8,1,1,25.0,61.4
Brian Sylvestre,LA,GK,12,12,1080,50,30,19,1.58,1/2,5,6,1,5,41.7,60.0
John McCarthy,PHI,GK,11,11,990,41,22,18,1.64,2/2,3,5,3,2,27.3,53.7
Jesse Gonzalez,DAL,GK,11,11,990,47,37,10,0.91,2/4,7,3,1,5,63.6,78.7
Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,2/2,3,6,1,1,30.0,62.5
Andrew Dykstra,COL,GK,9,9,778,57,40,16,1.78,0/1,3,4,1,0,33.3,70.2
Luis Marin,KC,GK,8,8,720,30,19,12,1.5,0/0,2,2,4,3,25.0,63.3
Chris Seitz,HOU,GK,7,7,630,27,17,10,1.43,0/1,4,2,1,3,57.1,63.0
Brian Rowe,VAN,GK,7,7,630,22,13,9,1.29,0/0,3,3,1,2,42.9,59.1
Andre Blake,PHI,GK,6,6,540,34,26,9,1.5,1/1,2,3,1,2,33.3,76.5
Rais MBolhi,ALG,GK,5,5,450,20,10,9,1.8,1/1,0,3,2,1,0.0,50.0
Troy Perkins,SEA,GK,4,3,316,15,12,3,1.0,0/0,1,3,0,0,25.0,80.0
Eric Kronberg,MTL,GK,3,3,270,11,6,5,1.67,0/0,0,1,2,0,0.0,54.5
Brad Knighton,NE,GK,3,3,270,16,9,6,2.0,2/2,1,1,1,1,33.3,56.3
Joe Willis,HOU,GK,3,3,270,10,5,5,1.67,0/0,1,1,1,0,33.3,50.0
Jon Kempin,CLB,GK,3,3,270,11,6,5,1.67,0/0,1,1,1,0,33.3,54.5
