Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Sebastian Giovinco,TOR,F,33,32,16,1,9,7,0.52
Cristian Maidana,PHI,M,28,25,15,3,9,6,0.64
Benny Feilhaber,LAFC,M,32,30,15,5,10,5,0.49
Sacha Kljestan,ORL,M,33,33,14,3,9,5,0.44
Ethan Finlay,MIN,F,34,34,13,4,9,4,0.42
Javier Morales,RSL,M,26,24,12,3,7,5,0.51
Clint Dempsey,SEA,F,20,20,10,4,5,5,0.52
Mauro Diaz,DAL,M,24,24,10,4,6,4,0.45
Brad Davis,HOU,M,30,29,10,3,8,2,0.35
Lee Nguyen,NE,M,32,31,10,3,7,3,0.33
Fabian Castillo,DAL,M-F,30,28,9,2,3,6,0.32
Federico Higuain,CLB,M,32,32,9,3,6,3,0.3
Diego Valeri,POR,M,22,20,8,3,3,5,0.42
Robbie Keane,LA,F,24,22,8,1,8,0,0.35
Ignacio Piatti,MTL,M,26,26,8,6,7,1,0.33
David Villa,NYC,F,30,29,8,0,7,1,0.29
Harry Shipp,SEA,M,33,29,8,2,5,3,0.28
Kei Kamara,VAN,F,32,31,8,1,6,2,0.26
Dax McCarty,CHI,M,32,32,8,2,5,3,0.26
Kwadwo Poku,NYC,M,27,6,7,2,5,2,0.64
Fabian Espindola,DC,F,17,15,7,0,6,1,0.47
Rodney Wallace,NYC,F,32,23,7,4,3,4,0.32
Matías Pérez García,SJ,F,27,25,7,4,5,2,0.31
Jonathan Osorio,TOR,M,29,26,7,2,7,0,0.28
Lloyd Sam,DC,M-F,31,27,7,1,6,1,0.28
Mike Grella,CLB,M,33,30,7,3,4,3,0.27
Benoit Cheyrou,TOR,M,28,28,7,3,3,4,0.26
Waylon Francis,SEA,D,28,28,7,3,6,1,0.26
Kaká,ORL,M,28,28,7,0,2,5,0.26
Juninho,LA,M,34,32,7,2,6,1,0.22
Bradley Wright-Phillips,RBNY,F,34,33,7,4,4,3,0.22
Marco Pappa,SEA,M,20,17,6,1,2,4,0.37
Obafemi Martins,SEA,F,21,20,6,2,4,2,0.3
Kelyn Rowe,NE,M,33,21,6,1,3,3,0.28
Krisztian Nemeth,NE,F,28,23,6,1,4,2,0.27
Dillon Powers,ORL,M,32,25,6,2,3,3,0.24
Michael Bradley,TOR,M,25,25,6,3,6,0,0.24
Taylor Kemp,DC,D,27,25,6,1,4,2,0.24
Sébastien Le Toux,PHI,F,31,26,6,2,5,1,0.23
Kekuta Manneh,VAN,M-F,32,28,6,1,4,2,0.22
Chris Tierney,NE,D-M,31,29,6,1,3,3,0.21
Tony Tchani,CHI,M,32,32,6,3,2,4,0.19
Giovani dos Santos,LA,F,10,10,5,3,3,2,0.56
Andrea Pirlo,NYC,M,13,12,5,2,3,2,0.42
Vicente Sanchez,COL,F,30,16,5,1,4,1,0.32
Boniek Garcia,HOU,M,23,16,5,2,3,2,0.31
Cristian Techera,VAN,M,22,17,5,2,3,2,0.29
Stefan Ishizaki,LA,M,20,19,5,0,2,3,0.28
Teal Bunbury,NE,F,30,20,5,0,2,3,0.25
Baggio Husidic,LA,M,24,21,5,1,4,1,0.23
Graham Zusi,SKC,D-M,25,22,5,3,3,2,0.23
Marco Donadel,MTL,M,25,24,5,3,5,0,0.23
Quincy Amarikwa,SJ,F,31,24,5,2,2,3,0.2
Nick DeLeon,DC,M,29,25,5,1,5,0,0.2
Justin Meram,ORL,M,31,28,5,1,3,2,0.2
Steven Beitashour,LAFC,D,27,27,5,1,1,4,0.19
Shea Salinas,SJ,M,34,29,5,2,2,3,0.17
Darlington Nagbe,ATL,M,33,33,5,2,4,1,0.16
Scott Caldwell,NE,M,34,32,5,2,4,1,0.16
Felipe,VAN,M,34,34,5,1,3,2,0.15
Jorge Villafaña,USA,D-M,33,33,5,2,3,2,0.15
Jose Villarreal,ORL,M,16,9,4,0,2,2,0.52
Michel Garbini Pereira,DAL,M-D,18,12,4,1,3,1,0.39
Angelino,NYC,D,14,10,4,1,3,1,0.36
Patrick Mullins,DC,F,24,11,4,0,3,1,0.35
Hector Jimenez,CLB,M,23,12,4,2,1,3,0.32
Patrick Nyarko,CHI,F-M,19,14,4,0,1,3,0.29
Jalil Anibaba,NE,D,16,14,4,1,4,0,0.28
Michael Stephens,CHI,M,20,16,4,2,3,1,0.27
Carlos Rivas,RBNY,F,27,13,4,1,1,3,0.26
Pedro Morales,VAN,M,23,15,4,3,3,1,0.25
Joao Plata,RSL,F,19,17,4,1,2,2,0.25
Brek Shea,VAN,M-F,19,17,4,3,2,2,0.25
Roger Espinoza,SKC,M,17,17,4,0,2,2,0.24
Diego Fagundez,NE,M,30,19,4,2,3,1,0.21
Andres Romero,MTL,M,27,23,4,1,1,3,0.19
CJ Sapong,PHI,F,27,20,4,1,1,3,0.19
Kemar Lawrence,RBNY,D,23,23,4,4,3,1,0.18
Charlie Davies,NE,F,33,25,4,2,1,3,0.17
Luke Boden,ORL,D,25,24,4,1,4,0,0.16
Will Bruin,SEA,F,33,28,4,0,3,1,0.15
Sheanon Williams,HOU,D,31,27,4,3,4,0,0.15
Gyasi Zardes,CLB,F,29,27,4,1,4,0,0.15
