day,date,home_team,result,away_team
Saturday,March 7,D.C. United,1-0,MTL
Saturday,March 21,New England,0-0,MTL
Saturday,March 28,MTL,2-2,Orlando
Saturday,April 11,Houston,3-0,MTL
Saturday,May 9,MTL,1-2,Portland
Saturday,May 16,MTL,4-1,Real Salt Lake
Saturday,May 23,MTL,2-1,FC Dallas
Saturday,May 30,Chicago,3-0,MTL
Wednesday,June 3,MTL,2-1,Vancouver
Saturday,June 6,Columbus,1-2,MTL
Saturday,June 13,NYCFC,3-1,MTL
Saturday,June 20,MTL,2-0,Orlando
Wednesday,June 24,Toronto FC,3-1,MTL
Saturday,June 27,Philadelphia,2-2,MTL
Saturday,July 4,MTL,1-2,NYCFC
Saturday,July 11,MTL,3-0,Columbus
Saturday,July 18,Sporting KC,2-1,MTL
Saturday,July 25,Seattle,1-0,MTL
Saturday,August 1,NYCFC,2-3,MTL
Wednesday,August 5,MTL,1-1,NY Red Bulls
Saturday,August 8,MTL,0-1,D.C. United
Saturday,August 22,MTL,0-1,Philadelphia
Saturday,August 29,Toronto FC,2-1,MTL
Saturday,September 5,MTL,4-3,Chicago
Saturday,September 12,LA Galaxy,0-0,MTL
Wednesday,September 16,San Jose,1-1,MTL
Saturday,September 19,MTL,3-0,New England
Wednesday,September 23,MTL,2-1,Chicago
Saturday,September 26,MTL,2-0,D.C. United
Saturday,October 3,Orlando,2-1,MTL
Wednesday,October 7,NY Red Bulls,2-1,MTL
Saturday,October 10,Colorado,0-1,MTL
Saturday,October 17,New England,0-1,MTL
Sunday,October 25,MTL,2-1,Toronto FC
