Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Adam Kwarasey,POR,GK,33,33,2970,36,1.09,4/4,15,10,8,13,45.5
David Ousted,DC,GK,34,34,3060,36,1.06,2/6,16,13,5,13,47.1
David Bingham,LA,GK,34,34,3060,39,1.15,4/6,13,13,8,12,38.2
Stefan Frei,SEA,GK,31,31,2744,33,1.06,2/3,14,10,6,10,45.2
Evan Bush,MTL,GK,31,31,2790,39,1.26,6/7,15,12,4,9,48.4
Luis Robles,RBNY,GK,34,34,3060,43,1.26,2/3,18,10,6,9,52.9
Tim Melia,SKC,GK,23,23,2070,28,1.22,2/2,11,8,4,8,47.8
Nick Rimando,RSL,GK,24,24,2160,24,1.0,5/8,8,9,7,8,33.3
Bill Hamid,DC,GK,25,25,2250,29,1.16,0/1,11,9,5,8,44.0
Bobby Shuttleworth,MIN,GK,31,31,2790,41,1.32,5/6,13,11,7,8,41.9
Clint Irwin,TOR,GK,31,31,2790,38,1.23,3/3,8,13,10,8,25.8
Tyler Deric,HOU,GK,31,31,2790,44,1.42,5/5,10,13,8,7,32.3
Steve Clark,DC,GK,34,34,3060,53,1.56,4/4,15,11,8,6,44.1
Jesse Gonzalez,DAL,GK,11,11,990,10,0.91,2/4,7,3,1,5,63.6
Brian Sylvestre,LA,GK,12,12,1080,19,1.58,1/2,5,6,1,5,41.7
Jaime Penedo,LA,GK,16,16,1440,19,1.19,1/1,6,4,6,5,37.5
Dan Kennedy,DAL,GK,16,16,1440,19,1.19,3/4,7,5,4,5,43.8
Tally Hall,DC,GK,23,23,2064,41,1.78,4/5,10,8,5,5,43.5
Chris Konopka,TOR,GK,21,21,1890,31,1.48,4/6,11,7,3,4,52.4
Sean Johnson,NYC,GK,21,21,1890,32,1.52,3/3,5,11,5,4,23.8
Josh Saunders,NYC,GK,33,33,2970,57,1.73,6/7,10,16,7,4,30.3
Chris Seitz,HOU,GK,7,7,630,10,1.43,0/1,4,2,1,3,57.1
Luis Marin,KC,GK,8,8,720,12,1.5,0/0,2,2,4,3,25.0
Donovan Ricketts,LA,GK,21,21,1890,32,1.52,4/4,7,9,5,3,33.3
Andre Blake,PHI,GK,6,6,540,9,1.5,1/1,2,3,1,2,33.3
Brian Rowe,VAN,GK,7,7,630,9,1.29,0/0,3,3,1,2,42.9
John McCarthy,PHI,GK,11,11,990,18,1.64,2/2,3,5,3,2,27.3
Brad Knighton,NE,GK,3,3,270,6,2.0,2/2,1,1,1,1,33.3
Zac MacMath,COL,GK,3,3,270,5,1.67,0/0,1,2,0,1,33.3
Rais MBolhi,ALG,GK,5,5,450,9,1.8,1/1,0,3,2,1,0.0
Jeff Attinella,POR,GK,10,10,900,24,2.4,2/2,3,6,1,1,30.0
Jon Busch,CHI,GK,12,12,1080,24,2.0,0/0,3,8,1,1,25.0
Joe Bendik,ORL,GK,13,13,1170,27,2.08,2/2,4,8,1,1,30.8
Eirik Johansen,NYC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Lampson,MIN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Akira Fitzgerald,NYC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Alex Bono,TOR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Earl Edwards Jr.,ORL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Michael Lisch,HOU,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Santiago Castaño,NYR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brad Stuver,NYC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Marco Carducci,VAN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
John Berner,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Trevor Spangenberg,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
