Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Luis Garrido,HON,M,29,21,1983,0,0,17,2,73,21,0,10,0
Cristian Higuita,ORL,M,26,25,2228,1,2,12,1,73,82,0,10,1
Tony Tchani,CHI,M,32,32,2787,5,6,42,16,73,40,0,5,0
Perry Kitchen,LA,M,33,31,2831,3,1,14,6,66,33,1,6,0
Lucas Pittinari,COL,M,29,25,2241,1,3,34,5,65,17,3,6,0
Diego Chara,POR,M,28,28,2479,2,1,11,7,63,48,0,8,1
Matias Laba,VAN,M,30,30,2539,1,1,12,4,60,22,0,6,2
Dom Dwyer,ORL,F,30,28,2546,12,2,96,40,59,81,25,8,1
Octavio Rivero,VAN,F,34,30,2734,10,3,101,41,59,73,21,3,0
Kei Kamara,VAN,F,32,31,2761,22,8,135,57,59,52,17,6,0
Matt Polster,CHI,M,30,27,2422,0,0,12,4,57,30,1,10,0
Darwin Ceren,HOU,M,26,25,2254,2,2,29,7,53,33,0,6,0
Juan Agudelo,NE,F,32,20,1761,7,3,54,21,51,35,20,4,0
Gershon Koffie,VAN,M,28,22,2001,1,1,13,2,51,37,0,7,0
Teal Bunbury,NE,F,30,20,1787,4,5,26,10,50,37,2,6,0
Fanendo Adi,POR,F,33,23,2161,16,3,85,36,49,50,24,2,0
Quincy Amarikwa,SJ,F,31,24,2197,6,5,77,24,48,80,33,2,0
Kendall Waston,VAN,D,28,28,2486,2,0,36,15,47,20,3,11,1
Bradley Wright-Phillips,RBNY,F,34,33,2865,17,7,113,51,47,44,44,2,0
Jairo Arrieta,DC,F,27,15,1264,5,2,28,16,46,22,32,1,0
Andrew Jacobson,NYC,M,33,33,2837,1,2,26,3,46,36,2,5,1
Collen Warner,MIN,M,29,20,1747,2,2,15,4,45,17,0,7,0
Osvaldo Alonso,SEA,M,22,21,1857,0,0,8,1,45,44,0,7,0
Laurent Ciman,LAFC,D,27,27,2405,2,2,35,8,45,19,1,8,3
Benoit Cheyrou,TOR,M,28,28,2408,1,7,33,7,44,21,1,5,0
Ricardo Clark,CLB,M,30,30,2573,8,1,59,21,44,32,5,5,0
Benny Feilhaber,LAFC,M,32,30,2731,10,15,48,17,44,64,1,8,1
Sebastian Giovinco,TOR,F,33,32,2775,22,16,181,73,43,90,34,4,0
Sacha Kljestan,ORL,M,33,33,2843,8,14,58,22,43,58,9,4,1
Marco Donadel,MTL,M,25,24,2000,1,5,19,8,42,20,0,13,2
Damien Perrinelle,NYR,D,28,27,2410,2,1,16,4,42,20,1,11,0
Scott Caldwell,NE,M,34,32,2882,2,5,14,5,42,34,0,3,0
Victor Ulloa,DAL,M,33,33,2915,2,1,14,5,41,19,0,4,0
Alan Gordon,LA,F,29,7,977,5,0,34,11,40,19,10,7,0
Sanna Nyassi,SJ,M,28,19,1482,2,2,19,5,40,21,3,6,0
Chris Wingert,NYC,D,27,26,2169,0,0,7,4,40,17,1,7,0
Leonardo,HOU,D,26,26,2264,0,0,8,1,40,17,1,2,1
Lee Nguyen,NE,M,32,31,2706,7,10,82,30,40,79,7,4,1
Jozy Altidore,TOR,F,25,21,1796,13,0,37,18,39,45,7,3,2
Atiba Harris,DAL,D,27,20,1849,2,2,19,3,39,8,1,8,0
Nigel Reo-Coker,MTL,M,28,20,1873,0,2,4,3,39,15,0,5,0
CJ Sapong,PHI,F,27,20,1897,9,4,44,21,38,52,9,2,0
Kelyn Rowe,NE,M,33,21,1924,7,6,51,24,38,35,4,1,0
Sam Cronin,MIN,M,26,24,2143,1,0,18,2,38,15,0,9,1
Jason Hernandez,NYC,D,26,26,2294,0,0,3,0,38,10,0,8,0
David Accam,PHI,M,24,21,1865,10,2,67,35,37,50,21,4,1
Davy Arnaud,DC,M,23,21,1915,0,3,12,2,37,48,0,8,0
Rodney Wallace,NYC,F,32,23,1978,1,7,40,12,37,18,11,3,0
Maurice Edu,PHI,M,22,22,1980,1,1,22,5,37,34,4,8,0
Javier Morales,RSL,M,26,24,2124,8,12,50,20,37,59,6,3,1
Luke Mulholland,RSL,M,29,27,2329,3,2,26,9,37,36,0,7,0
