day,date,home_team,result,away_team
Sunday,March 8,SEA,3-0,New England
Saturday,March 14,SEA,2-3,San Jose
Saturday,March 28,FC Dallas,0-0,SEA
Saturday,April 4,SEA,1-0,Houston
Sunday,April 12,LA Galaxy,1-0,SEA
Saturday,April 18,Colorado,1-3,SEA
Sunday,April 26,SEA,1-0,Portland
Sunday,May 3,NYCFC,1-3,SEA
Saturday,May 9,Columbus,3-2,SEA
Saturday,May 16,Vancouver,0-2,SEA
Saturday,May 23,SEA,0-0,Sporting KC
Wednesday,May 27,SEA,1-0,Colorado
Sunday,May 31,SEA,2-1,NY Red Bulls
Saturday,June 6,Sporting KC,1-0,SEA
Saturday,June 13,SEA,3-0,FC Dallas
Saturday,June 20,SEA,0-2,San Jose
Wednesday,June 24,Philadelphia,1-0,SEA
Sunday,June 28,Portland,4-1,SEA
Friday,July 3,SEA,1-0,D.C. United
Saturday,July 11,Chicago,1-0,SEA
Saturday,July 18,SEA,0-1,Colorado
Saturday,July 25,Montreal,1-0,SEA
Saturday,August 1,SEA,0-3,Vancouver
Sunday,August 9,LA Galaxy,3-1,SEA
Sunday,August 16,SEA,4-0,Orlando
Saturday,August 22,Real Salt Lake,2-0,SEA
Sunday,August 30,SEA,2-1,Portland
Saturday,September 5,SEA,2-1,Toronto FC
Saturday,September 12,San Jose,1-1,SEA
Saturday,September 19,Vancouver,0-3,SEA
Sunday,September 27,Sporting KC,1-1,SEA
Sunday,October 4,SEA,1-1,LA Galaxy
Sunday,October 18,Houston,1-1,SEA
Sunday,October 25,SEA,3-1,Real Salt Lake
