day,date,home_team,result,away_team
Saturday,March 7,Vancouver,1-3,TOR
Saturday,March 14,Columbus,2-0,TOR
Sunday,March 29,Real Salt Lake,2-1,TOR
Saturday,April 4,Chicago,3-2,TOR
Saturday,April 18,FC Dallas,3-2,TOR
Sunday,April 26,Orlando,0-2,TOR
Saturday,May 2,Philadelphia,0-1,TOR
Sunday,May 10,TOR,1-2,Houston
Saturday,May 16,New England,1-1,TOR
Saturday,May 23,TOR,1-0,Portland
Saturday,May 30,TOR,3-1,San Jose
Saturday,June 6,D.C. United,1-2,TOR
Saturday,June 20,TOR,0-2,NYCFC
Wednesday,June 24,TOR,3-1,Montreal
Saturday,June 27,TOR,0-0,D.C. United
Saturday,July 4,LA Galaxy,4-0,TOR
Sunday,July 12,NYCFC,4-4,TOR
Saturday,July 18,TOR,2-1,Philadelphia
Saturday,July 25,Columbus,3-3,TOR
Saturday,August 1,New England,3-1,TOR
Wednesday,August 5,TOR,4-1,Orlando
Saturday,August 8,TOR,1-3,Sporting KC
Saturday,August 15,NY Red Bulls,3-0,TOR
Saturday,August 22,TOR,5-0,Orlando
Saturday,August 29,TOR,2-1,Montreal
Saturday,September 5,Seattle,2-1,TOR
Sunday,September 13,TOR,1-3,New England
Wednesday,September 16,NYCFC,2-0,TOR
Saturday,September 19,TOR,3-1,Colorado
Saturday,September 26,TOR,3-2,Chicago
Saturday,October 3,TOR,3-1,Philadelphia
Wednesday,October 14,TOR,2-1,NY Red Bulls
Saturday,October 17,TOR,0-2,Columbus
Sunday,October 25,Montreal,2-1,TOR
