Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Josh Saunders,NYC,GK,33,33,2970,188,123,57,1.73,6/7,65.4
Steve Clark,DC,GK,34,34,3060,168,114,53,1.56,4/4,67.9
Stefan Frei,SEA,GK,31,31,2744,144,111,33,1.06,2/3,77.1
David Bingham,LA,GK,34,34,3060,147,105,39,1.15,4/6,71.4
Bill Hamid,DC,GK,25,25,2250,133,101,29,1.16,0/1,75.9
David Ousted,DC,GK,34,34,3060,137,99,36,1.06,2/6,72.3
Evan Bush,MTL,GK,31,31,2790,142,99,39,1.26,6/7,69.7
Tyler Deric,HOU,GK,31,31,2790,139,89,44,1.42,5/5,64.0
Clint Irwin,TOR,GK,31,31,2790,125,88,38,1.23,3/3,70.4
Luis Robles,RBNY,GK,34,34,3060,131,86,43,1.26,2/3,65.6
Tim Melia,SKC,GK,23,23,2070,113,82,28,1.22,2/2,72.6
Adam Kwarasey,POR,GK,33,33,2970,120,80,36,1.09,4/4,66.7
Bobby Shuttleworth,MIN,GK,31,31,2790,125,78,41,1.32,5/6,62.4
Tally Hall,DC,GK,23,23,2064,114,73,41,1.78,4/5,64.0
Nick Rimando,RSL,GK,24,24,2160,93,66,24,1.0,5/8,71.0
Chris Konopka,TOR,GK,21,21,1890,92,62,31,1.48,4/6,67.4
Sean Johnson,NYC,GK,21,21,1890,90,59,32,1.52,3/3,65.6
Donovan Ricketts,LA,GK,21,21,1890,92,58,32,1.52,4/4,63.0
Jaime Penedo,LA,GK,16,16,1440,69,50,19,1.19,1/1,72.5
Joe Bendik,ORL,GK,13,13,1170,72,45,27,2.08,2/2,62.5
Andrew Dykstra,COL,GK,9,9,778,57,40,16,1.78,0/1,70.2
Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,2/2,62.5
Jesse Gonzalez,DAL,GK,11,11,990,47,37,10,0.91,2/4,78.7
Jon Busch,CHI,GK,12,12,1080,57,35,24,2.0,0/0,61.4
Dan Kennedy,DAL,GK,16,16,1440,48,30,19,1.19,3/4,62.5
Brian Sylvestre,LA,GK,12,12,1080,50,30,19,1.58,1/2,60.0
Andre Blake,PHI,GK,6,6,540,34,26,9,1.5,1/1,76.5
John McCarthy,PHI,GK,11,11,990,41,22,18,1.64,2/2,53.7
Luis Marin,KC,GK,8,8,720,30,19,12,1.5,0/0,63.3
Chris Seitz,HOU,GK,7,7,630,27,17,10,1.43,0/1,63.0
Brian Rowe,VAN,GK,7,7,630,22,13,9,1.29,0/0,59.1
Troy Perkins,SEA,GK,4,3,316,15,12,3,1.0,0/0,80.0
Rais MBolhi,ALG,GK,5,5,450,20,10,9,1.8,1/1,50.0
Brad Knighton,NE,GK,3,3,270,16,9,6,2.0,2/2,56.3
Ryan Meara,RBNY,GK,1,1,90,7,6,1,1.0,0/0,85.7
Alec Kann,ATL,GK,1,1,90,8,6,2,2.0,1/1,75.0
Eric Kronberg,MTL,GK,3,3,270,11,6,5,1.67,0/0,54.5
Jon Kempin,CLB,GK,3,3,270,11,6,5,1.67,0/0,54.5
Zac MacMath,COL,GK,3,3,270,12,6,5,1.67,0/0,50.0
Josh Ford,ORL,GK,2,1,96,6,5,1,1.0,1/1,83.3
Joe Willis,HOU,GK,3,3,270,10,5,5,1.67,0/0,50.0
Andrew Weber,POR,GK,1,1,90,7,4,3,3.0,0/0,57.1
Travis Worra,DC,GK,1,0,32,1,1,0,0.0,0/0,100.0
Charlie Lyon,LAFC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Alex Bono,TOR,GK,0,0,0,0,0,0,0.0,0/0,0.0
Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0.0
John Berner,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Trevor Spangenberg,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Andrew Wolverton,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Tomas Gomez,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
Earl Edwards Jr.,ORL,GK,0,0,0,0,0,0,0,0/0,0.0
Michael Lisch,HOU,GK,0,0,0,0,0,0,0,0/0,0.0
Santiago Castaño,NYR,GK,0,0,0,0,0,0,0,0/0,0.0
Brad Stuver,NYC,GK,0,0,0,0,0,0,0,0/0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0,0/0,0.0
Eirik Johansen,NYC,GK,0,0,0,0,0,0,0,0/0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0,0,0,0/0,0.0
Matt Lampson,MIN,GK,0,0,0,0,0,0,0,0/0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0/0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0/0,0.0
Akira Fitzgerald,NYC,GK,0,0,0,0,0,0,0,0/0,0.0
Kyle Reynish,NYR,GK,0,0,0,0,0,0,0,0/0,0.0
Kristian Nicht,MTL,GK,0,0,0,0,0,0,0,0/0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0,0,0,0/0,0.0
Brian Perk,LA,GK,0,0,0,0,0,0,0,0/0,0.0
Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
