Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Sebastian Giovinco,TOR,F,33,32,2775,22,16,181,73,3/4,12.2,40.3
David Villa,NYC,F,30,29,2514,18,8,138,64,7/8,13.0,46.4
Kei Kamara,VAN,F,32,31,2761,22,8,135,57,0/0,16.3,42.2
Bradley Wright-Phillips,RBNY,F,34,33,2865,17,7,113,51,2/4,15.0,45.1
Octavio Rivero,VAN,F,34,30,2734,10,3,101,41,3/3,9.9,40.6
Dom Dwyer,ORL,F,30,28,2546,12,2,96,40,0/1,12.5,41.7
Chris Wondolowski,SJ,F,31,30,2688,16,2,91,39,6/6,17.6,42.9
Fanendo Adi,POR,F,33,23,2161,16,3,85,36,3/3,18.8,42.4
Kekuta Manneh,VAN,M-F,32,28,2424,7,6,82,33,0/0,8.5,40.2
Lee Nguyen,NE,M,32,31,2706,7,10,82,30,3/3,8.5,36.6
Fabian Castillo,DAL,M-F,30,28,2559,9,9,79,30,0/0,11.4,38.0
Quincy Amarikwa,SJ,F,31,24,2197,6,5,77,24,0/0,7.8,31.2
Justin Meram,ORL,M,31,28,2230,6,5,75,27,0/0,8.0,36.0
Giles Barnes,HOU,M,28,28,2474,7,3,75,22,0/1,9.3,29.3
Robbie Keane,LA,F,24,22,2059,20,8,73,39,4/4,27.4,53.4
Federico Higuain,CLB,M,32,32,2724,8,9,73,28,1/2,11.0,38.4
Diego Valeri,POR,M,22,20,1713,2,8,67,22,0/1,3.0,32.8
David Accam,PHI,M,24,21,1865,10,2,67,35,0/0,14.9,52.2
Kennedy Igboananike,CHI,F,31,20,1796,7,3,66,22,0/0,10.6,33.3
Cyle Larin,ORL,F,27,24,1906,17,0,64,29,0/0,26.6,45.3
Chris Rolfe,DC,F,31,30,2455,10,4,64,29,4/4,15.6,45.3
Carlos Rivas,RBNY,F,27,13,1372,0,4,63,16,0/1,0.0,25.4
Clint Dempsey,SEA,F,20,20,1742,10,10,61,27,1/1,16.4,44.3
Ignacio Piatti,MTL,M,26,26,2213,9,8,60,29,4/5,15.0,48.3
Ricardo Clark,CLB,M,30,30,2573,8,1,59,21,0/0,13.6,35.6
Krisztian Nemeth,NE,F,28,23,2037,10,6,58,20,0/0,17.2,34.5
Sacha Kljestan,ORL,M,33,33,2843,8,14,58,22,5/6,13.8,37.9
Michael Bradley,TOR,M,25,25,2250,5,6,57,17,0/0,8.8,29.8
Kaká,ORL,M,28,28,2439,9,7,56,21,4/5,16.1,37.5
Felipe,VAN,M,34,34,2922,3,5,56,13,0/0,5.4,23.2
Juan Agudelo,NE,F,32,20,1761,7,3,54,21,0/0,13.0,38.9
Alvaro Saborio,DC,F,26,22,1862,7,0,54,28,1/1,13.0,51.9
Harry Shipp,SEA,M,33,29,2571,3,8,53,19,0/0,5.7,35.8
Ethan Finlay,MIN,F,34,34,2790,12,13,53,28,0/0,22.6,52.8
Mike Grella,CLB,M,33,30,2364,9,7,52,21,0/0,17.3,40.4
Kelyn Rowe,NE,M,33,21,1924,7,6,51,24,0/0,13.7,47.1
Fernando Aristeguieta,PHI,F,21,14,1251,5,1,50,20,0/0,10.0,40.0
Dominic Oduro,MTL,M,28,18,1671,8,0,50,20,0/0,16.0,40.0
Javier Morales,RSL,M,26,24,2124,8,12,50,20,2/3,16.0,40.0
Sébastien Le Toux,PHI,F,31,26,2379,8,6,50,25,1/1,16.0,50.0
Darlington Nagbe,ATL,M,33,33,2842,5,5,50,16,0/1,10.0,32.0
Mauro Diaz,DAL,M,24,24,1992,8,10,49,17,3/4,16.3,34.7
Charlie Davies,NE,F,33,25,2163,10,4,49,26,0/0,20.4,53.1
Will Bruin,SEA,F,33,28,2414,11,4,49,25,0/0,22.4,51.0
Benny Feilhaber,LAFC,M,32,30,2731,10,15,48,17,5/5,20.8,35.4
Didier Drogba,CIV,F,11,9,870,11,1,47,21,1/1,23.4,44.7
Fabian Espindola,DC,F,17,15,1346,5,7,45,17,0/1,11.1,37.8
Gyasi Zardes,CLB,F,29,27,2454,6,4,45,13,0/0,13.3,28.9
Brad Davis,HOU,M,30,29,2596,4,10,45,16,2/2,8.9,35.6
Diego Fagundez,NE,M,30,19,1735,6,4,44,17,0/0,13.6,38.6
CJ Sapong,PHI,F,27,20,1897,9,4,44,21,0/0,20.5,47.7
Pedro Morales,VAN,M,23,15,1429,6,4,43,17,2/2,14.0,39.5
Dillon Powers,ORL,M,32,25,2235,3,6,43,16,0/1,7.0,37.2
Gabriel Torres,PAN,M-F,25,19,1595,4,3,42,14,0/0,9.5,33.3
Obafemi Martins,SEA,F,21,20,1805,15,6,42,28,0/1,35.7,66.7
Tony Tchani,CHI,M,32,32,2787,5,6,42,16,0/0,11.9,38.1
Vicente Sanchez,COL,F,30,16,1399,4,5,41,16,1/1,9.8,39.0
Juan Ramirez,COL,M,27,15,1459,1,3,41,10,0/0,2.4,24.4
Rodney Wallace,NYC,F,32,23,1978,1,7,40,12,0/0,2.5,30.0
Lamar Neagle,SEA,M,31,23,2028,4,2,40,20,0/0,10.0,50.0
Maximiliano Urruti,DAL,F,30,12,1082,4,3,39,15,0/0,10.3,38.5
Patrick Mullins,DC,F,24,11,1040,6,4,38,14,1/1,15.8,36.8
Cristian Techera,VAN,M,22,17,1571,7,5,38,18,0/0,18.4,47.4
Gilberto,CHI,F,10,8,681,5,2,37,16,0/0,13.5,43.2
Joao Plata,RSL,F,19,17,1431,4,4,37,14,1/1,10.8,37.8
Marco Pappa,SEA,M,20,17,1468,3,6,37,15,0/0,8.1,40.5
Jozy Altidore,TOR,F,25,21,1796,13,0,37,18,3/3,35.1,48.6
Andres Romero,MTL,M,27,23,1875,4,4,37,16,0/0,10.8,43.2
Cristian Maidana,PHI,M,28,25,2121,1,15,37,18,0/0,2.7,48.6
David Texeira,DAL,F,22,19,1402,6,3,36,11,0/0,16.7,30.6
Kendall Waston,VAN,D,28,28,2486,2,0,36,15,0/0,5.6,41.7
Shea Salinas,SJ,M,34,29,2621,3,5,36,10,0/0,8.3,27.8
Jack McInerney,CLB,F,22,15,1359,6,1,35,16,0/0,17.1,45.7
Chris Pontius,LA,F,23,17,1534,3,1,35,11,0/1,8.6,31.4
Laurent Ciman,LAFC,D,27,27,2405,2,2,35,8,0/0,5.7,22.9
Alan Gordon,LA,F,29,7,977,5,0,34,11,0/0,14.7,32.4
Kevin Doyle,COL,F,20,16,1489,5,2,34,13,0/0,14.7,38.2
Michael Barrios,DAL,M,26,19,1745,7,2,34,19,0/0,20.6,55.9
Dilly Duka,MTL,M,27,19,1789,2,2,34,13,0/0,5.9,38.2
Lucas Pittinari,COL,M,29,25,2241,1,3,34,5,0/0,2.9,14.7
Jeff Larentowicz,ATL,M,29,29,2610,6,0,34,12,5/6,17.6,35.3
Blas Pérez,DAL,F,23,14,1274,5,1,33,16,0/0,15.2,48.5
Nick DeLeon,DC,M,29,25,2221,2,5,33,8,0/0,6.1,24.2
Benoit Cheyrou,TOR,M,28,28,2408,1,7,33,7,0/0,3.0,21.2
Olmes Garcia,RSL,F,33,15,1542,2,1,32,15,0/0,6.3,46.9
Mix Diskerud,NYC,M,27,23,2073,3,1,32,12,0/0,9.4,37.5
Lloyd Sam,DC,M-F,31,27,2281,10,7,32,20,0/0,31.3,62.5
Matías Pérez García,SJ,F,27,25,2032,2,7,31,14,0/0,6.5,45.2
Kyle Beckerman,RSL,M,26,26,2335,1,2,31,9,0/0,3.2,29.0
Jason Johnson,CHI,F,20,5,610,2,2,30,8,0/0,6.7,26.7
Steven Gerrard,LA,M,13,13,1164,2,3,30,10,0/0,6.7,33.3
Sebastian Lletget,LA,M,20,17,1449,7,2,29,13,0/0,24.1,44.8
Tesho Akindele,DAL,F,28,14,1502,5,1,29,15,1/1,17.2,51.7
Kellyn Acosta,DAL,M,21,19,1606,3,2,29,8,0/0,10.3,27.6
Darwin Ceren,HOU,M,26,25,2254,2,2,29,7,0/0,6.9,24.1
Nicolas Mezquida,VAN,M,18,12,932,1,1,28,12,0/0,3.6,42.9
Jairo Arrieta,DC,F,27,15,1264,5,2,28,16,0/0,17.9,57.1
Robbie Findley,TOR,F,25,18,1476,2,3,28,8,0/0,7.1,28.6
Devon Sandoval,RSL,F,30,17,1606,4,2,28,13,0/0,14.3,46.4
Graham Zusi,SKC,D-M,25,22,1986,2,5,28,5,0/0,7.1,17.9
Juninho,LA,M,34,32,2857,4,7,28,13,1/2,14.3,46.4
Lucas Melano,POR,F,13,8,725,1,3,27,10,0/0,3.7,37.0
Frank Lampard,NYC,M,10,9,733,3,1,27,4,0/0,11.1,14.8
Zach Pfeffer,PHI,M,21,11,988,2,1,27,10,0/0,7.4,37.0
Dairon Asprilla,POR,M-F,26,10,1008,1,2,27,6,0/0,3.7,22.2
Luis Gil,RSL,M,24,16,1475,1,1,27,8,0/0,3.7,29.6
Luis Solignac,CHI,F,15,14,1232,0,2,26,10,0/0,0.0,38.5
Andrew Wenger,HOU,F,26,22,1725,1,2,26,9,0/0,3.8,34.6
Teal Bunbury,NE,F,30,20,1787,4,5,26,10,0/0,15.4,38.5
Luke Mulholland,RSL,M,29,27,2329,3,2,26,9,0/0,11.5,34.6
Andrew Jacobson,NYC,M,33,33,2837,1,2,26,3,0/0,3.8,11.5
Gaston Fernandez,POR,M,21,6,721,2,2,25,6,1/1,8.0,24.0
Darren Mattocks,DC,F,22,9,848,3,1,25,9,0/0,12.0,36.0
Stefan Ishizaki,LA,M,20,19,1629,1,5,25,8,0/0,4.0,32.0
Vincent Nogueira,PHI,M,27,22,1993,5,0,25,10,0/0,20.0,40.0
Chris Tierney,NE,D-M,31,29,2613,2,6,25,13,0/0,8.0,52.0
Jackson Goncalves,TOR,M,26,14,1374,1,1,24,6,0/0,4.2,25.0
Thomas McNamara,NYC,M,19,15,1324,5,3,23,12,0/0,21.7,52.2
Giovani dos Santos,LA,F,10,10,803,3,5,22,10,0/0,13.6,45.5
Paulo Nagamura,KC,M,21,17,1484,3,1,22,6,0/0,13.6,27.3
Maurice Edu,PHI,M,22,22,1980,1,1,22,5,0/1,4.5,22.7
Johan Venegas,MIN,M,12,9,746,1,0,21,7,0/0,4.8,33.3
Adam Jahn,CLB,F,26,9,1005,1,1,21,6,0/0,4.8,28.6
Jacob Peterson,KC,F,26,15,1335,1,2,21,11,0/0,4.8,52.4
Baggio Husidic,LA,M,24,21,1924,2,5,21,5,0/0,9.5,23.8
Jonathan Osorio,TOR,M,29,26,2235,1,7,21,7,0/0,4.8,33.3
Andrea Pirlo,NYC,M,13,12,1074,0,5,20,3,0/0,0.0,15.0
Shaun Maloney,CHI,M,14,14,1228,3,2,20,5,2/2,15.0,25.0
Sebastian Jaime,RSL,F,20,17,1267,5,2,20,8,0/0,25.0,40.0
Marky Delgado,TOR,M,20,19,1699,3,3,20,6,0/0,15.0,30.0
Marcelo Sarvas,COL,M,25,21,1869,2,1,20,6,0/0,10.0,30.0
Matt Miazga,USA,D,26,24,2128,1,1,20,8,0/0,5.0,40.0
Clarence Goodson,SJ,D,28,28,2398,2,2,20,7,0/0,10.0,35.0
Bobby Boswell,DC,D,34,33,2975,2,0,20,4,0/0,10.0,20.0
Pedro Ribeiro,ORL,M-F,18,8,732,2,2,19,10,0/0,10.5,52.6
Tranquillo Barnetta,PHI,M,11,9,765,1,3,19,7,0/0,5.3,36.8
Luis Silva,RSL,F,24,11,876,1,0,19,9,0/0,5.3,47.4
Patrick Nyarko,CHI,F-M,19,14,1222,3,4,19,8,0/0,15.8,42.1
Sanna Nyassi,SJ,M,28,19,1482,2,2,19,5,0/0,10.5,26.3
Roger Espinoza,SKC,M,17,17,1484,1,4,19,5,0/0,5.3,26.3
Calum Mallace,LAFC,M,26,21,1808,0,3,19,4,0/0,0.0,21.1
Atiba Harris,DAL,D,27,20,1849,2,2,19,3,0/0,10.5,15.8
Marco Donadel,MTL,M,25,24,2000,1,5,19,8,0/0,5.3,42.1
Eric Gehrig,CHI,D,25,25,2214,0,1,19,5,0/0,0.0,26.3
Fatai Alashe,SJ,M,28,27,2317,2,2,19,5,0/0,10.5,26.3
Guilherme do Prado,CHI,F,15,6,577,0,0,18,5,0/0,0.0,27.8
Chad Barrett,SEA,F,18,9,715,5,0,18,8,0/0,27.8,44.4
Dominique Badji,COL,F,15,9,812,2,0,18,7,0/0,11.1,38.9
Alexander Lopez,HON,M,16,12,947,0,3,18,3,0/0,0.0,16.7
Kwadwo Poku,NYC,M,27,6,978,4,7,18,10,0/0,22.2,55.6
Jack Jewsbury,POR,M,26,18,1719,3,0,18,7,0/0,16.7,38.9
Cordell Cato,SJ,F,28,18,1814,3,2,18,7,0/0,16.7,38.9
Sam Cronin,MIN,M,26,24,2143,1,0,18,2,0/0,5.6,11.1
Alvas Powell,POR,D,31,31,2726,0,1,18,4,0/0,0.0,22.2
Dax McCarty,CHI,M,32,32,2777,1,8,18,4,0/0,5.6,22.2
Jose Villarreal,ORL,M,16,9,698,2,4,17,6,0/0,11.8,35.3
Eric Avila,ORL,M,21,15,1326,1,2,17,3,0/0,5.9,17.6
