day,date,home_team,result,away_team
Saturday,April 2,DAL,2-1,Chicago
Saturday,April 9,Colorado,0-0,DAL
Saturday,April 16,Chivas USA,1-3,DAL
Saturday,April 23,DAL,3-0,Real Salt Lake
Saturday,April 30,LA Galaxy,2-0,DAL
Saturday,May 7,Sporting KC,3-3,DAL
Saturday,May 14,San Jose,0-0,DAL
Wednesday,May 18,DAL,2-1,Colorado
Sunday,May 22,Chivas USA,2-5,DAL
Saturday,May 28,D.C. United,0-2,DAL
Saturday,June 4,Real Salt Lake,0-2,DAL
Sunday,June 12,Chicago,2-0,DAL
Saturday,June 18,DAL,1-0,LA Galaxy
Wednesday,June 22,DAL,2-1,Chivas USA
Saturday,June 25,Colorado,1-3,DAL
Saturday,July 2,DAL,2-2,San Jose
Saturday,July 16,New England,3-2,DAL
Saturday,July 23,Real Salt Lake,3-0,DAL
Wednesday,July 27,NY Red Bulls,3-2,DAL
Saturday,August 6,DAL,2-2,NY Red Bulls
Saturday,August 13,DAL,1-2,New England
Saturday,August 20,Columbus,1-0,DAL
Saturday,August 27,DAL,2-2,Chivas USA
Saturday,September 3,DAL,0-2,San Jose
Saturday,September 10,DAL,1-2,D.C. United
Sunday,September 18,DAL,2-1,Real Salt Lake
Wednesday,September 21,DAL,4-1,LA Galaxy
Saturday,September 24,San Jose,1-1,DAL
Saturday,October 1,LA Galaxy,2-1,DAL
Wednesday,October 5,DAL,2-1,Columbus
Saturday,October 8,DAL,0-0,Colorado
Saturday,October 15,DAL,2-2,Sporting KC
