Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D2,27/07/01,Duisburg,Ahlen,1,4,A,1,2,A,12004,Florian Meyer ,24,15,9,5,1,1,12,4,10,9,6,2,3,4,0,0,30,40,1.83,3.2,3.7,1.8,3,3.5,,,,1.91,3.25,3.5,1.75,3.2,3.9
D2,27/07/01,Greuther Furth,Oberhausen,2,2,D,1,1,D,7051,Jörg Kessler ,13,8,4,5,0,0,1,3,20,8,3,2,1,4,0,1,10,65,1.8,3.2,3.85,1.85,2.9,3.4,,,,1.8,3.25,4,1.75,3.2,3.9
D2,27/07/01,Saarbrucken,Mannheim,1,3,A,0,2,A,18000,Wolfgang Stark ,6,6,3,4,0,0,6,3,17,15,4,5,4,2,0,0,40,20,2.18,3.1,2.85,,,,,,,,,,2,3.15,3.1
D2,28/07/01,Bielefeld,Babelsberg,0,1,A,0,0,D,10641,Alfons Berg ,14,7,3,2,1,2,6,1,20,8,14,3,1,2,0,0,10,20,1.58,3.35,5,1.55,3.3,4.5,,,,1.67,3.4,4.5,1.5,3.5,5.3
D2,28/07/01,Ein Frankfurt,Reutlingen,3,1,H,0,1,A,17000,Herbert Fandel ,,,,,,,,,,,,,2,1,0,0,20,10,1.52,3.5,5.4,1.45,3.5,5,,,,,,,1.5,3.5,5.3
D2,29/07/01,Aachen,Mainz,0,2,A,0,0,D,12000,Peter Sippel ,11,7,3,6,0,0,11,2,11,12,2,2,2,3,0,0,20,30,1.84,3.2,3.7,1.9,2.9,3.2,,,,1.91,3.2,3.6,1.8,3.1,3.8
D2,29/07/01,Karlsruhe,Schweinfurt,1,0,H,0,0,D,13000,Lutz Wagner ,11,8,6,4,0,0,7,1,12,13,2,5,2,3,0,0,20,30,1.62,3.3,4.8,1.6,3.2,4.2,,,,1.62,3.4,5,1.55,3.5,4.8
D2,29/07/01,Unterhaching,Bochum,0,2,A,0,0,D,5500,Knut Kircher ,14,8,6,4,0,0,8,2,8,6,1,0,0,1,0,0,0,10,2.07,3.05,3.15,2.2,2.9,2.7,,,,2,3.25,3.25,2.2,3,2.85
D2,30/07/01,Union Berlin,Hannover,1,1,D,0,0,D,9072,Jürgen Jansen ,14,11,2,3,1,0,5,4,19,22,3,0,3,3,0,1,30,55,1.9,3.2,3.4,2,2.9,3,,,,,,,2.1,3,3.05
D2,03/08/01,Ahlen,Greuther Furth,1,0,H,1,0,H,7513,Kai Voss ,8,10,5,4,1,1,6,7,29,26,3,1,2,3,0,0,20,30,,,,1.9,2.9,3.2,,,,2,3.2,3.3,2.1,3.1,2.95
D2,03/08/01,Oberhausen,Union Berlin,0,3,A,0,1,A,6000,Matthias Anklam ,9,8,3,3,0,0,10,2,10,9,2,0,2,2,0,0,20,20,,,,1.7,3.1,3.8,,,,1.91,3.2,3.6,1.75,3.15,4
D2,03/08/01,Schweinfurt,Saarbrucken,2,1,H,1,1,D,7152,Thorsten Kinhöfer ,13,19,9,8,0,1,3,5,17,16,0,1,2,4,0,0,20,40,,,,2.4,2.9,2.4,,,,2.38,3.1,2.7,2.5,2.95,2.5
D2,04/08/01,Bochum,Karlsruhe,1,1,D,1,1,D,13000,Michael Weiner ,8,7,2,6,0,0,4,2,9,17,1,2,3,2,1,0,55,20,,,,1.45,3.5,5,,,,1.57,3.6,5,1.5,3.45,5.5
D2,04/08/01,Reutlingen,Bielefeld,2,3,A,1,2,A,6970,Uwe Kemmling ,7,10,3,9,0,0,7,4,13,11,1,1,1,2,0,0,10,20,,,,1.8,3,3.5,,,,1.83,3.25,3.75,1.8,3.15,3.75
D2,05/08/01,Babelsberg,Duisburg,3,1,H,1,1,D,7200,Thorsten Koop ,13,10,8,5,1,0,4,7,9,10,3,3,1,2,0,0,10,20,,,,2.2,2.9,2.7,,,,2.3,3.1,2.8,2.25,3,2.8
D2,05/08/01,Hannover,Aachen,3,0,H,3,0,H,15872,Christian Schüssling ,18,0,7,0,2,0,9,2,15,18,2,1,2,2,0,2,20,70,,,,1.75,3.1,3.6,,,,1.91,3.25,3.5,1.75,3.15,4
D2,05/08/01,Mainz,Unterhaching,2,0,H,2,0,H,6500,Peter Gagelmann ,13,6,6,1,0,0,3,4,18,10,3,0,2,2,0,0,20,20,,,,2,2.9,3,,,,2.5,3,2.6,2.35,3,2.65
D2,06/08/01,Mannheim,Ein Frankfurt,0,0,D,0,0,D,18000,Edgar Steinborn,13,9,5,2,0,0,3,0,16,23,1,2,1,4,0,0,10,40,,,,2.2,2.9,2.7,,,,,,,2.25,3,2.8
D2,10/08/01,Bielefeld,Mannheim,5,0,H,3,0,H,12097,Thomas Frank ,26,12,18,5,1,0,8,6,17,22,1,1,2,1,0,0,20,10,,,,2.1,2.9,2.9,,,,,,,2.35,3,2.65
D2,10/08/01,Bochum,Mainz,2,1,H,2,1,H,12000,Peter Lange ,15,12,8,6,2,0,5,7,6,11,2,0,1,2,0,0,10,20,,,,1.6,3.2,4.2,,,,1.5,3.5,6,1.6,3.3,4.7
D2,10/08/01,Duisburg,Reutlingen,3,3,D,1,1,D,6100,Felix Brych ,13,15,6,8,0,0,4,6,17,20,1,3,0,3,1,0,25,30,,,,1.9,2.9,3.2,,,,1.91,3.2,3.6,1.85,3.15,3.55
D2,11/08/01,Aachen,Oberhausen,2,1,H,1,1,D,9200,Udo Stark ,7,5,3,2,0,0,2,2,12,14,1,1,0,3,0,0,0,30,,,,2.1,2.9,2.9,,,,2,3.1,3.4,2.25,2.9,2.85
D2,11/08/01,Union Berlin,Ahlen,5,0,H,1,0,H,8706,Stephan Kammerer ,7,4,5,1,0,0,9,3,16,14,0,0,0,2,0,0,0,20,,,,2.2,2.9,2.7,,,,2.1,3.1,3.2,2.05,3.15,3
D2,12/08/01,Ein Frankfurt,Schweinfurt,2,0,H,0,0,D,18500,Andre Stachowiak ,14,8,6,5,0,1,2,5,18,18,0,4,1,1,0,0,10,10,,,,,,,,,,,,,,,
D2,12/08/01,Greuther Furth,Babelsberg,1,0,H,1,0,H,6300,,15,12,5,7,1,0,4,4,11,12,0,0,0,1,0,0,0,10,,,,1.7,3.1,3.8,,,,1.62,3.4,5,1.65,3.3,4.35
D2,12/08/01,Unterhaching,Hannover,1,1,D,0,0,D,4000,Dirk Margenberg ,11,17,6,9,0,0,0,7,16,13,1,1,1,1,0,0,10,10,,,,1.9,2.9,3.2,,,,1.8,3.2,4,2,3.1,3.15
D2,13/08/01,Karlsruhe,Saarbrucken,2,0,H,1,0,H,15000,Stefan Trautmann ,11,12,4,5,0,1,3,5,20,25,5,2,1,3,0,0,10,30,,,,2,2.9,3,,,,2,3.1,3.4,1.85,3.2,3.5
D2,17/08/01,Oberhausen,Unterhaching,0,2,A,0,0,D,3311,Babak Rafati,9,10,2,4,1,0,6,7,17,21,2,0,2,2,0,0,20,20,,,,2,2.9,3,,,,2.3,3.1,2.7,2.2,3.1,2.75
D2,17/08/01,Reutlingen,Greuther Furth,0,1,A,0,1,A,7000,Mike Pickel,12,5,8,3,0,0,6,2,9,10,0,0,5,1,0,1,50,35,,,,2.1,2.9,2.9,,,,2,3.2,3.2,2.1,3.15,2.9
D2,17/08/01,Schweinfurt,Bielefeld,1,0,H,0,0,D,11153,Manuel Gräfe ,11,12,6,7,1,0,7,11,13,13,4,4,2,2,0,0,20,20,,,,2.7,2.9,2.2,,,,2.3,3.2,2.62,2.4,3.1,2.5
D2,18/08/01,Babelsberg,Union Berlin,3,2,H,0,1,A,15500,Markus Schmidt,12,13,6,4,1,0,2,3,25,8,5,4,4,2,0,0,40,20,,,,2.4,2.9,2.4,,,,,,,2.45,3,2.5
D2,18/08/01,Saarbrucken,Ein Frankfurt,0,2,A,0,1,A,10500,Stefan Weber,11,6,2,3,0,0,2,1,7,8,0,0,2,2,0,0,20,20,,,,2.4,2.9,2.4,,,,,,,2.7,3.1,2.25
D2,19/08/01,Ahlen,Aachen,1,0,H,1,0,H,6510,Lutz Michael Fröhlich ,14,9,8,4,1,0,4,8,19,23,5,6,3,4,0,0,30,40,,,,1.6,3.2,4.2,,,,1.8,3.25,3.75,1.65,3.35,4.25
D2,19/08/01,Hannover,Bochum,2,0,H,0,0,D,20076,Günter Perl,16,4,7,0,0,0,8,2,5,11,2,3,0,2,0,0,0,20,,,,2.3,2.9,2.5,,,,2.4,3.1,2.6,2.25,3.1,2.7
D2,19/08/01,Mainz,Karlsruhe,1,0,H,0,0,D,9000,Thorsten Kinhöfer ,14,7,6,3,0,1,5,3,24,20,2,4,2,2,0,0,20,20,,,,2,2.9,3,,,,2,3.1,3.3,2.05,3.15,3
D2,20/08/01,Mannheim,Duisburg,3,1,H,2,1,H,7000,Volker Wezel ,12,11,9,2,0,0,3,4,21,25,5,1,3,4,0,0,30,40,,,,1.75,3.1,3.6,,,,,,,1.65,3.35,4.25
D2,07/09/01,Mainz,Hannover,2,2,D,1,2,A,4000,Detlef Scheppe,15,10,6,4,2,0,6,2,20,14,3,0,3,3,0,0,30,30,,,,2.1,2.9,2.9,,,,2.1,3.1,3.1,2.15,3.15,2.8
D2,07/09/01,Union Berlin,Reutlingen,5,0,H,3,0,H,7800,Kai Voss,12,10,7,4,0,0,8,5,13,11,1,2,1,2,0,0,10,20,,,,1.7,3.1,3.8,,,,1.67,3.25,4.5,1.7,3.3,4
D2,07/09/01,Unterhaching,Ahlen,2,3,A,2,3,A,2000,Markus Schmidt,10,6,5,6,1,0,6,5,12,11,2,2,2,2,0,0,20,20,,,,2.1,2.9,2.9,,,,1.83,3.2,3.75,1.9,3.25,3.3
D2,08/09/01,Duisburg,Schweinfurt,0,0,D,0,0,D,5095,Frank Minskowski,8,4,4,2,0,0,9,2,15,18,1,1,2,1,0,0,20,10,,,,1.7,3.1,3.8,,,,1.91,3.1,3.6,1.8,3.25,3.6
D2,08/09/01,Greuther Furth,Mannheim,3,1,H,2,0,H,4730,Jürgen Aust,14,8,7,4,0,0,5,2,18,22,2,0,0,3,0,0,0,30,,,,2.1,2.9,2.9,,,,,,,2,3.1,3.15
