Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA
G1,22/09/01,Olympiakos,Iraklis,3,0,H,2,0,H,1.2,5,8.5,1.2,5,8
G1,23/09/01,Akratitos,Xanthi,2,0,H,1,0,H,2.35,3,2.55,2.2,3.1,2.5
G1,23/09/01,Ionikos,AEK,1,2,A,0,1,A,3.4,3.2,1.83,3.5,3,1.8
G1,23/09/01,OFI,Eth Asteras,2,0,H,2,0,H,1.6,3.4,4.1,1.7,3.1,3.8
G1,23/09/01,Panahaiki,Egaleo,5,3,H,3,0,H,,,,,,
G1,23/09/01,Panionios,Panathinaikos,2,2,D,1,1,D,4.9,3.55,1.5,4,3.1,1.65
G1,23/09/01,PAOK,Aris,1,1,D,0,0,D,1.7,3.25,3.9,1.7,3.3,3.5
G1,29/09/01,Xanthi,Panahaiki,2,0,H,1,0,H,1.65,3.3,4.4,1.5,3.4,4.7
G1,30/09/01,AEK,Egaleo,4,0,H,2,0,H,1.17,5.5,10.8,1.15,5.5,11
G1,30/09/01,Aris,Ionikos,1,0,H,0,0,D,1.63,3.35,4.35,1.55,3.3,4.5
G1,30/09/01,Eth Asteras,Akratitos,2,1,H,1,1,D,1.7,3.3,4.25,1.7,3.1,3.8
G1,30/09/01,Iraklis,PAOK,3,1,H,0,0,D,2.35,3,2.65,2.2,3.1,2.5
G1,30/09/01,Olympiakos,Panionios,2,0,H,1,0,H,1.17,5.4,10.5,1.15,5.5,11
G1,30/09/01,Panathinaikos,OFI,5,1,H,4,1,H,1.2,5,10,1.2,4.7,9
G1,13/10/01,Akratitos,Panathinaikos,0,0,D,0,0,D,7,4.5,1.2,6,4.4,1.3
G1,14/10/01,AEK,Xanthi,2,0,H,0,0,D,1.1,6,11,1.15,6,9
G1,14/10/01,Egaleo,Aris,0,0,D,0,0,D,3.1,3.2,1.9,2.6,3,2.2
G1,14/10/01,Ionikos,Iraklis,1,1,D,0,0,D,2.15,3.1,2.85,2.2,3,2.6
G1,14/10/01,Panahaiki,Eth Asteras,0,0,D,0,0,D,,,,,,
G1,14/10/01,Panionios,OFI,1,1,D,1,0,H,1.7,3.4,3.85,1.7,3.3,3.6
G1,14/10/01,PAOK,Olympiakos,1,1,D,0,0,D,3.2,3.15,1.95,2.6,3,2.2
G1,20/10/01,Olympiakos,Ionikos,5,0,H,1,0,H,1.1,6.1,11.5,1.15,6,9
G1,20/10/01,Panathinaikos,Panahaiki,8,0,H,5,0,H,1.1,6,11.5,1.15,6,9
