Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBAHH,GBAHA,GBAH,,,,,,,,,,,,,,,
SC2,07/08/04,Berwick,Morton,2,1,H,2,0,H,2.5,3.5,2.25,2.5,3.5,2.3,2.5,3.4,2.3,2.6,3.1,2.2,2.5,3.5,2.25,2.62,3.4,2.2,2.62,3.5,2.2,1.44,2.3,0.5,,,,,,,,,,,,,,,
SC2,07/08/04,Dumbarton,Ayr,1,0,H,1,0,H,2.3,3.4,2.5,2.3,3.5,2.5,2.3,3.4,2.5,2.2,3.1,2.6,2.1,3.5,2.75,2.3,3.4,2.5,2.3,3.4,2.5,2.3,1.44,-0.5,,,,,,,,,,,,,,,
SC2,07/08/04,Forfar,Brechin,1,0,H,1,0,H,2.75,3.5,2.1,2.8,3.5,2.1,2.75,3.5,2.1,2.7,3.2,2.1,2.38,3.5,2.38,2.8,3.4,2.1,3,3.4,2,1.54,2.1,0.5,,,,,,,,,,,,,,,
SC2,07/08/04,Stirling,Arbroath,5,2,H,2,0,H,2.1,3.5,2.75,2,3.5,2.95,2.25,3.4,2.55,2.1,3.2,2.7,1.8,3.5,3.5,2.1,3.4,2.8,2.25,3.4,2.6,2.25,1.46,-0.5,,,,,,,,,,,,,,,
SC2,07/08/04,Stranraer,Alloa,3,0,H,0,0,D,2.1,3.5,2.75,2,3.5,2.95,2.1,3.5,2.75,2.1,3.2,2.7,1.91,3.5,3.2,2.1,3.4,2.8,2.1,3.4,2.8,2.1,1.54,-0.5,,,,,,,,,,,,,,,
SC2,14/08/04,Alloa,Forfar,2,3,A,0,0,D,2.25,3.5,2.5,2.3,3.45,2.5,2.3,3.4,2.55,2.2,3.2,2.5,2.25,3.5,2.5,2.25,3.4,2.6,2.25,3.4,2.6,2.3,1.46,-0.5,,,,,,,,,,,,,,,
SC2,14/08/04,Arbroath,Dumbarton,0,2,A,0,1,A,2.75,3.5,2.1,3.2,3.5,1.9,2.8,3.4,2.1,2.6,3.3,2.1,2.62,3.5,2.2,2.8,3.4,2.1,2.75,3.5,2.1,1.54,2.1,0.5,,,,,,,,,,,,,,,
SC2,14/08/04,Ayr,Berwick,2,1,H,2,0,H,2,3.4,3,2.1,3.55,2.75,2.15,3.4,2.75,2.1,3.3,2.6,2,3.6,2.88,2,3.4,3,2.2,3.5,2.62,2.15,1.52,-0.5,,,,,,,,,,,,,,,
SC2,14/08/04,Brechin,Stirling,0,3,A,0,2,A,1.8,3.5,3.5,1.7,3.6,3.9,1.83,3.5,3.4,1.85,3.3,3.1,1.91,3.5,3.2,1.73,3.5,3.8,1.8,3.6,3.4,1.83,1.72,-0.5,,,,,,,,,,,,,,,
SC2,14/08/04,Morton,Stranraer,3,1,H,2,0,H,1.72,3.6,3.75,1.75,3.6,3.65,1.73,3.5,3.85,1.75,3.4,3.3,1.8,3.5,3.5,1.73,3.5,3.8,1.7,3.75,3.75,1.73,1.83,-0.5,,,,,,,,,,,,,,,
SC2,21/08/04,Berwick,Brechin,0,2,A,0,0,D,2.2,3.4,2.62,2.2,3.5,2.6,2.2,3.45,2.65,2.1,3.2,2.7,2.1,3.5,2.75,2.2,3.5,2.6,2.15,3.5,2.7,2.2,1.5,-0.5,,,,,,,,,,,,,,,
SC2,21/08/04,Dumbarton,Morton,0,3,A,0,1,A,2.3,3.4,2.5,2.3,3.5,2.5,2.35,3.45,2.45,2.3,3.2,2.4,2.2,3.5,2.62,2.3,3.4,2.5,2.4,3.4,2.4,2.35,1.43,-0.5,,,,,,,,,,,,,,,
SC2,21/08/04,Forfar,Arbroath,5,0,H,1,0,H,1.66,3.6,4,1.65,3.75,4,1.75,3.6,3.65,1.8,3.3,3.3,1.62,3.5,4.5,1.67,3.6,4,1.8,3.5,3.5,1.75,1.81,-0.5,,,,,,,,,,,,,,,
SC2,21/08/04,Stirling,Alloa,2,0,H,0,0,D,1.72,3.6,3.75,1.7,3.65,3.85,1.8,3.6,3.45,1.85,3.3,3.2,1.67,3.6,4,1.73,3.6,3.75,1.9,3.6,3.1,1.8,1.76,-0.5,,,,,,,,,,,,,,,
SC2,21/08/04,Stranraer,Ayr,2,1,H,0,1,A,2.37,3.5,2.37,2.3,3.5,2.5,2.35,3.45,2.45,2.4,3.1,2.4,2.25,3.5,2.5,2.38,3.5,2.38,2.4,3.4,2.4,2.35,1.43,-0.5,,,,,,,,,,,,,,,
SC2,28/08/04,Arbroath,Stranraer,0,1,A,0,0,D,3,3.4,2,2.8,3.45,2.1,2.8,3.45,2.1,2.6,3.3,2.1,2.62,3.5,2.2,3,3.4,2,2.8,3.75,2,1.55,2.1,0.5,,,,,,,,,,,,
SC2,28/08/04,Ayr,Morton,2,0,H,0,0,D,2.5,3.5,2.25,2.5,3.5,2.3,2.5,3.6,2.25,2.5,3.3,2.2,2.5,3.5,2.25,2.6,3.4,2.25,2.5,3.6,2.25,1.48,2.25,0.5,,,,,,,,,,,,
SC2,28/08/04,Brechin,Alloa,4,0,H,3,0,H,1.61,3.6,4.33,1.85,3.6,3.3,1.68,3.6,4,1.75,3.3,3.5,1.73,3.5,3.75,1.62,3.6,4.33,1.72,3.75,3.6,1.68,1.89,-0.5,,,,,,,,,,,,
SC2,28/08/04,Dumbarton,Forfar,0,1,A,0,0,D,2,3.4,3,2.1,3.45,2.8,2.1,3.5,2.75,2.2,3.3,2.5,2.2,3.5,2.62,2.1,3.5,2.75,2.15,3.6,2.62,2.1,1.54,-0.5,,,,,,,,,,,,
SC2,28/08/04,Stirling,Berwick,3,1,H,2,0,H,1.8,3.5,3.5,1.75,3.6,3.65,1.9,3.65,3.1,1.9,3.3,3,1.8,3.5,3.5,1.83,3.5,3.4,2,3.75,2.8,1.9,1.68,-0.5,,,,,,,,,,,,
SC2,04/09/04,Alloa,Ayr,1,3,A,1,2,A,2.75,3.5,2.1,2.6,3.5,2.2,2.65,3.4,2.2,2.6,3.3,2.1,2.5,3.5,2.25,2.8,3.5,2.1,2.7,3.6,2.1,1.49,2.2,0.5,,,,,,,,,,,,
SC2,04/09/04,Berwick,Dumbarton,0,4,A,0,2,A,2.25,3.5,2.5,2.4,3.5,2.4,2.4,3.4,2.4,2.4,3.1,2.4,2.25,3.5,2.5,2.5,3.4,2.3,2.37,3.5,2.37,2.4,1.41,-0.5,,,,,,,,,,,,
SC2,04/09/04,Forfar,Stirling,0,2,A,0,0,D,2.25,3.5,2.5,2.25,3.5,2.55,2.25,3.4,2.6,2.2,3.3,2.5,2,3.6,2.88,2.2,3.5,2.62,2.25,3.4,2.6,2.25,1.47,-0.5,,,,,,,,,,,,
SC2,04/09/04,Morton,Arbroath,2,1,H,1,0,H,1.36,4,7,1.4,4.3,5.75,1.4,4,6,1.4,4,5,1.44,4,5.5,1.36,4.2,6.5,1.4,4.33,5.5,1.4,2.4,-0.5,,,,,,,,,,,,
SC2,04/09/04,Stranraer,Brechin,4,2,H,2,0,H,2.3,3.4,2.5,2.3,3.5,2.5,2.3,3.4,2.55,2.2,3.3,2.5,2.1,3.5,2.75,2.3,3.5,2.5,2.3,3.6,2.4,2.3,1.46,-0.5,,,,,,,,,,,,
SC2,11/09/04,Ayr,Forfar,3,3,D,2,2,D,2,3.4,3,2.3,3.5,2.5,2.1,3.55,2.75,2.1,3.3,2.6,2.1,3.5,2.75,2.05,3.5,2.87,2.1,3.6,2.7,2.1,1.55,-0.5,,,,,,,,,,,,
SC2,11/09/04,Berwick,Alloa,2,3,A,1,2,A,1.727,3.6,3.75,2,3.5,3,1.85,3.4,3.45,1.85,3.3,3.1,1.8,3.5,3.5,1.85,3.5,3.4,1.83,3.6,3.3,1.85,1.71,-0.5,,,,,,,,,,,,
SC2,11/09/04,Brechin,Arbroath,4,1,H,1,1,D,1.533,3.75,4.75,1.6,3.75,4.3,1.55,3.75,4.75,1.55,3.6,4.1,1.615,4,4,1.53,3.75,4.75,1.53,4,4.5,1.55,2.1,-0.5,,,,,,,,,,,,
SC2,11/09/04,Dumbarton,Stranraer,1,3,A,0,1,A,2.1,3.5,2.75,2.3,3.5,2.5,2.15,3.5,2.7,2.1,3.3,2.6,2.1,3.5,2.75,2.1,3.5,2.75,2.1,3.6,2.7,2.15,1.52,-0.5,,,,,,,,,,,,
SC2,11/09/04,Stirling,Morton,1,1,D,1,1,D,2.25,3.5,2.5,2.2,3.5,2.6,2.25,3.4,2.6,2.3,3.2,2.4,2.25,3.5,2.5,2.3,3.5,2.5,2.37,3.5,2.37,2.25,1.47,-0.5,,,,,,,,,,,,
SC2,18/09/04,Alloa,Dumbarton,3,2,H,0,1,A,2.5,3.5,2.25,2.5,3.5,2.3,2.75,3.5,2.1,2.7,3.3,2.1,2.62,3.5,2.2,2.75,3.5,2.1,2.8,3.6,2.05,1.54,2.1,0.5,,,,,,,,,,,,
