Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SC0,28/07/01,Aberdeen,Rangers,0,3,A,0,0,D,18838,W. S. G. Young,6,7,1,4,0,0,2,6,18,16,1,8,1,2,0,0,10,20,5,3.55,1.55,4.5,3.3,1.55,,,,5.5,3.5,1.53,4.5,3.6,1.62,5.5,3.4,1.53
SC0,28/07/01,Celtic,St Johnstone,3,0,H,1,0,H,58005,T. M. McCurry,11,7,9,4,0,0,9,4,5,15,2,0,0,2,0,0,0,20,1.2,5.25,10,1.15,5.5,11,,,,1.13,6,14,1.2,5.5,10,1.22,5,9
SC0,28/07/01,Dundee United,Dundee,2,2,D,1,1,D,13237,D. G. McDonald,14,6,2,4,1,0,7,2,18,13,3,2,0,0,0,0,0,0,2.3,3.1,2.75,2.2,2.9,2.7,,,,2.25,3.25,2.75,2.2,3.25,2.8,2.25,3.2,2.75
SC0,28/07/01,Dunfermline,Motherwell,5,2,H,1,1,D,4830,J Rowbotham,8,8,6,3,0,0,2,5,13,13,1,1,1,1,0,0,10,10,2.2,3.2,2.83,2.2,2.9,2.7,,,,2.2,3.2,2.88,2.2,3.25,2.8,2.2,3.25,2.75
SC0,28/07/01,Hibernian,Kilmarnock,2,2,D,1,2,A,12717,D. Somers,12,6,5,3,0,0,5,0,14,16,4,2,1,5,0,0,10,50,1.7,3.3,4.3,1.7,3.1,3.8,,,,1.67,3.4,4.5,1.73,3.25,4.33,1.61,3.5,4.5
SC0,28/07/01,Livingston,Hearts,2,1,H,1,0,H,8591,J. R. Underhill,8,6,4,3,0,0,2,9,12,7,3,1,2,2,0,0,20,20,2.65,3.1,2.4,2.9,2.9,2.1,,,,2.6,3.2,2.4,2.75,3.25,2.25,2.62,3.1,2.37
SC0,04/08/01,Dundee,Hibernian,2,1,H,1,0,H,9447,H. Dallas,10,7,6,2,1,0,3,8,6,11,1,1,3,2,0,0,30,20,,,,2.7,2.9,2.2,2.4,3.25,2.5,2.6,3.25,2.38,2.38,3.4,2.5,2.5,3.4,2.3
SC0,04/08/01,Hearts,Aberdeen,1,0,H,1,0,H,12696,R. Orr ,8,4,1,2,0,0,4,10,9,9,8,1,0,1,0,0,0,10,,,,1.75,3.1,3.6,1.73,3.5,3.75,1.75,3.25,4.2,1.8,3.4,3.75,1.72,3.2,4.33
SC0,04/08/01,Kilmarnock,Celtic,0,1,A,0,0,D,13201,S. Dougal,6,10,3,4,0,0,3,5,14,12,0,5,2,3,0,0,20,30,,,,4,3.3,1.6,6,3.4,1.5,6.5,3.75,1.44,6.5,3.75,1.44,7,3.75,1.4
SC0,04/08/01,Motherwell,Dundee United,0,0,D,0,0,D,5057,Gary Mitchell,7,11,2,6,0,2,3,4,16,13,2,4,2,2,0,0,20,20,,,,2.1,2.9,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.38,3.4,2.5,2.37,3.1,2.62
