Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SC1,04/08/01,Airdrie,Raith Rvs,2,2,D,2,0,H,1229,W. S. G. Young,12,12,5,6,2,0,3,7,12,14,4,0,0,1,0,0,0,10,,,,2.1,3,2.8,2.2,3.5,2.62,2.1,3.4,2.75,2.1,3.5,2.75,2.1,3.4,2.8
SC1,04/08/01,Clyde,Inverness C,1,1,D,1,0,H,920,J. R. Underhill,8,9,4,4,0,0,2,5,6,18,2,6,0,1,0,0,0,10,,,,2.3,3,2.3,2.37,3.5,2.37,2.38,3.4,2.4,2.38,3.5,2.38,2.5,3.4,2.3
SC1,04/08/01,Falkirk,Ayr,1,2,A,1,0,H,2828,D. G. McDonald,9,10,4,8,0,0,5,7,13,19,2,5,2,1,0,0,20,10,,,,2.5,3.1,2.2,2.5,3.5,2.25,2.38,3.5,2.38,2.38,3.5,2.38,2.6,3.4,2.25
SC1,04/08/01,Partick,St Mirren,3,3,D,2,2,D,6603,T. Brown,13,12,7,5,0,0,7,2,16,9,8,2,0,2,0,0,0,20,,,,2.5,3.1,2.2,2.5,3.5,2.25,2.5,3.5,2.25,2.6,3.5,2.2,2.62,3.5,2.2
SC1,04/08/01,Ross County,Arbroath,0,2,A,0,2,A,2682,T. M. McCurry,,,,,,,,,,,,,,,,,,,,,,1.6,3.5,3.9,1.73,3.5,3.75,1.73,3.5,3.75,1.73,3.75,3.6,1.66,3.6,4
SC1,11/08/01,Arbroath,Airdrie,0,6,A,0,2,A,926,D. Somers ,4,13,1,8,0,1,2,4,12,11,1,6,1,0,0,0,10,0,,,,2,3,2.9,2.2,3.5,2.62,,,,2.1,3.5,2.75,2.1,3.4,2.8
SC1,11/08/01,Ayr,Ross County,2,0,H,1,0,H,2457,H. Dallas,12,6,4,5,1,0,2,4,10,4,5,2,1,0,0,0,10,0,,,,1.5,3.5,4.5,1.5,3.6,5.5,,,,1.53,3.6,5,1.5,3.6,5.5
SC1,11/08/01,Inverness C,Falkirk,1,2,A,1,1,D,2281,A. Freeland,11,7,5,3,0,0,8,5,16,11,3,4,1,4,0,0,10,40,,,,2.1,3,2.8,2.2,3.5,2.62,,,,1.91,3.75,3,2.1,3.4,2.8
SC1,11/08/01,Raith Rvs,Partick,1,2,A,0,1,A,3134,K. E. Toner,4,13,2,5,0,0,4,11,13,15,2,8,4,2,1,0,65,20,,,,2.3,3.1,2.3,2.37,3.5,2.37,,,,2.5,3.6,2.25,2.5,3.4,2.3
SC1,11/08/01,St Mirren,Clyde,4,1,H,2,1,H,3810,S.Douglas,11,10,6,3,0,0,3,9,13,14,2,2,1,4,0,0,10,40,,,,1.45,3.5,5,1.57,3.5,5,,,,1.53,3.6,5,1.5,3.6,5.5
SC1,18/08/01,Airdrie,Ayr,2,1,H,1,1,D,2039,C. J. Melville,11,6,4,2,0,0,9,6,13,23,3,4,1,3,0,0,10,30,,,,2.8,3,2.1,2.75,3.5,2.1,,,,2.6,3.5,2.2,2.8,3.4,2.1
SC1,18/08/01,Clyde,Arbroath,1,0,H,0,0,D,784,J. Fleming,8,4,4,3,0,0,10,2,18,18,6,1,3,5,0,0,30,50,,,,1.75,3.2,3.5,1.8,3.5,3.5,,,,1.8,3.6,3.4,1.8,3.4,3.6
SC1,18/08/01,Falkirk,St Mirren,3,2,H,0,1,A,3748,J Rowbotham,21,10,11,5,0,0,12,3,14,15,1,2,4,3,0,0,40,30,,,,2.3,3.1,2.3,2.37,3.5,2.37,,,,2.6,3.5,2.2,2.5,3.4,2.3
SC1,18/08/01,Partick,Inverness C,1,0,H,1,0,H,3314,T. M. McCurry,9,8,2,1,0,0,6,5,13,13,6,2,1,2,0,0,10,20,,,,1.8,3.2,3.3,1.8,3.5,3.5,,,,1.83,3.5,3.4,1.9,3.4,3.25
SC1,18/08/01,Ross County,Raith Rvs,1,0,H,1,0,H,2099,G. P. Mitchell,7,5,3,2,0,1,3,9,15,9,2,0,0,0,0,0,0,0,,,,2.1,3,2.8,2.2,3.5,2.62,,,,2.1,3.5,2.75,2,3.4,3
SC1,25/08/01,Arbroath,Partick,1,3,A,0,0,D,1510,B. W. Cassidy,6,9,2,4,0,0,6,4,12,11,1,4,1,1,0,0,10,10,,,,3.1,3.4,1.8,3,3.4,2,,,,2.88,3.6,2,3,3.4,2
SC1,25/08/01,Ayr,Raith Rvs,1,1,D,1,0,H,2410,S. Dougal,11,12,4,6,0,0,1,9,18,11,1,2,3,3,0,0,30,30,,,,1.5,3.5,4.5,1.5,3.6,5.5,,,,1.5,3.6,5.5,1.5,3.8,5
SC1,25/08/01,Falkirk,Clyde,1,1,D,0,1,A,2618,H. Dallas,9,10,4,7,0,0,0,2,13,14,3,3,1,3,0,0,10,30,,,,1.6,3.4,3.9,1.67,3.6,4,,,,1.67,3.6,4,1.66,3.6,4
SC1,25/08/01,Ross County,Airdrie,0,1,A,0,1,A,2022,A. C. Gemmill ,,,,,,,,,,,,,0,0,0,0,0,0,,,,2.35,3,2.35,2.37,3.5,2.37,,,,2.6,3.5,2.2,2.37,3.5,2.37
SC1,25/08/01,St Mirren,Inverness C,1,1,D,0,0,D,3444,J. R. Underhill,9,7,5,3,0,0,3,6,6,15,2,1,0,2,0,0,0,20,,,,1.55,3.5,4.2,1.57,3.5,5,,,,1.62,3.75,4,1.61,3.75,4.2
SC1,08/09/01,Airdrie,St Mirren,0,0,D,0,0,D,2657,T. M. McCurry,3,11,1,3,0,1,8,7,14,10,2,2,2,0,0,0,20,0,,,,2.3,3,2.4,,,,2.3,3.4,2.5,2.38,3.5,2.38,2.4,3.4,2.4
