Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,LBH,LBD,LBA,WHH,WHD,WHA
SC3,05/08/00,Albion Rvs,East Fife,0,1,A,0,0,D,421,John Gilmore,9,5,1,1,1,0,4,2,17,16,3,5,3,2,0,0,30,20,,,,3.1,3.6,1.9
SC3,05/08/00,Brechin,Elgin,2,1,H,1,1,D,509,Craig Thompson,13,5,4,3,2,0,8,1,12,21,1,6,1,4,0,0,10,40,,,,2.1,3.6,2.7
SC3,05/08/00,East Stirling,Cowdenbeath,0,2,A,0,1,A,272,Ian Brines,9,14,1,8,0,0,1,5,16,17,2,8,1,1,1,0,35,10,,,,2.6,3.5,2.2
SC3,05/08/00,Hamilton,Dumbarton,2,0,H,0,0,D,588,Charlie Richmond,14,12,9,5,0,0,5,6,13,10,2,1,1,3,0,0,10,30,,,,1.66,3.6,4
SC3,05/08/00,Peterhead,Montrose,2,0,H,1,0,H,688,Calum Murray,16,17,3,6,0,1,9,4,8,7,4,2,0,0,0,0,0,0,,,,2,3.6,2.87
SC3,12/08/00,Cowdenbeath,Albion Rvs,5,0,H,2,0,H,302,Calum Murray,10,15,6,5,0,1,8,2,23,15,6,1,2,1,0,0,20,10,,,,1.57,3.5,5
SC3,12/08/00,Dumbarton,Brechin,0,2,A,0,0,D,370,Steve Conroy,3,9,1,5,1,0,6,7,4,8,7,5,0,1,0,0,0,10,,,,2.5,3.5,2.25
SC3,12/08/00,East Fife,Peterhead,1,1,D,1,0,H,619,Eddie Mack,5,4,4,4,0,1,4,1,6,10,2,1,0,0,0,0,0,0,,,,1.9,3.5,3.2
SC3,12/08/00,Elgin,Hamilton,0,2,A,0,1,A,1552,Gary Mitchell,,,,,,,,,,,,,1,2,1,0,35,20,,,,3.75,3.6,1.72
SC3,12/08/00,Montrose,East Stirling,0,1,A,0,1,A,361,Craig Thompson,16,12,5,5,0,0,9,3,13,11,6,5,1,0,0,0,10,0,,,,2.37,3.5,2.37
SC3,19/08/00,Albion Rvs,Elgin,1,1,D,0,1,A,402,Ian Brines,20,8,7,1,0,0,11,5,12,19,8,4,2,2,0,1,20,45,2.35,3.5,2.35,2.37,3.5,2.37
SC3,19/08/00,Brechin,Cowdenbeath,0,0,D,0,0,D,337,Craig Thompson,13,9,6,4,2,1,4,2,18,12,1,8,2,3,0,0,20,30,2.35,3.5,2.35,2.37,3.5,2.37
SC3,19/08/00,East Stirling,East Fife,2,5,A,2,0,H,304,Charlie Richmond,6,7,3,4,0,0,2,0,4,6,0,0,2,2,1,0,45,20,2.6,3.5,2.2,2.5,3.5,2.25
SC3,19/08/00,Hamilton,Montrose,6,0,H,0,0,D,426,Alan Gemmill,13,9,8,2,0,0,4,5,10,6,7,6,0,0,0,0,0,0,1.4,4,6.5,1.44,4.33,5
SC3,19/08/00,Peterhead,Dumbarton,2,0,H,1,0,H,720,Craig Thompson,13,9,8,5,0,0,5,7,15,15,4,2,2,2,0,0,20,20,2.1,3.5,2.75,2,3.4,3
SC3,26/08/00,Albion Rvs,Dumbarton,0,1,A,0,1,A,343,Eddie Mack,13,8,3,4,1,0,5,3,18,14,3,7,2,2,0,0,20,20,2.5,3.5,2.25,2.37,3.5,2.37
SC3,26/08/00,Cowdenbeath,Elgin,3,1,H,0,1,A,354,Steve Conroy,13,4,10,3,0,0,13,3,6,3,3,2,0,1,0,0,0,10,1.45,4,5.5,1.57,3.75,4.5
SC3,26/08/00,East Stirling,Hamilton,0,0,D,0,0,D,435,Calum Murray,6,10,2,6,0,1,3,11,8,15,1,8,0,0,0,0,0,0,4,3.6,1.65,4,3.6,1.66
SC3,26/08/00,Montrose,East Fife,0,1,A,0,0,D,403,Brian McGarry,18,10,12,5,0,0,8,4,16,16,2,2,2,2,0,0,20,20,3.5,3.5,1.8,4.5,3.75,1.57
SC3,26/08/00,Peterhead,Brechin,1,2,A,1,1,D,548,Ian Frickleton,13,9,5,5,0,1,15,2,9,14,2,1,3,2,1,0,55,20,2.25,3.5,2.5,2.37,3.5,2.37
SC3,09/09/00,Brechin,Montrose,6,1,H,3,0,H,465,Ian Brines,14,12,8,4,0,0,4,4,17,14,4,11,0,2,0,0,0,20,1.45,4,5.5,1.44,3.75,6
SC3,09/09/00,Dumbarton,East Stirling,1,2,A,1,2,A,259,Martin Doran,12,5,4,2,2,0,7,2,9,10,5,6,1,1,0,0,10,10,2.1,3.5,2.75,2.37,3.5,2.37
SC3,09/09/00,East Fife,Cowdenbeath,0,2,A,0,0,D,735,Craig Thompson,1,2,1,2,0,0,1,0,7,12,2,0,4,5,3,0,115,50,2.25,3.4,2.62,2.25,3.5,2.5
SC3,09/09/00,Elgin,Peterhead,1,3,A,1,1,D,1016,John Underhill,10,14,4,9,0,1,5,9,9,10,5,0,1,0,0,0,10,0,2.6,3.5,2.2,2.87,3.6,2
SC3,09/09/00,Hamilton,Albion Rvs,0,2,A,0,2,A,487,Craig Thompson,7,9,3,5,0,1,3,7,6,8,0,0,4,3,1,0,65,30,1.3,4.3,7,1.36,4.5,6
SC3,16/09/00,Albion Rvs,Brechin,1,3,A,1,1,D,254,Charlie Richmond,9,11,4,6,0,0,3,2,15,7,7,7,1,2,0,0,10,20,3.2,3.5,1.9,3.4,3.5,1.83
SC3,16/09/00,Cowdenbeath,Hamilton,2,0,H,2,0,H,448,Eddie Mack,12,13,6,2,0,0,2,3,17,9,8,1,3,0,0,0,30,0,2.25,3.5,2.5,2.25,3.5,2.5
SC3,16/09/00,East Fife,Elgin,1,1,D,1,0,H,444,George Clyde,10,2,5,2,0,0,2,1,7,17,2,0,3,2,0,0,30,20,1.55,3.75,4.5,1.5,3.8,5
SC3,16/09/00,Montrose,Dumbarton,2,2,D,2,1,H,347,Mike Ritchie,15,15,8,6,0,1,3,10,11,12,2,9,2,1,0,0,20,10,2.6,3.5,2.2,2.62,3.5,2.2
SC3,16/09/00,Peterhead,East Stirling,2,4,A,0,3,A,650,Steve Conroy,9,8,5,7,0,0,3,7,12,9,3,3,0,2,0,0,0,20,2,3.6,2.85,2.1,3.5,2.75
