Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA
SC2,04/08/01,Berwick,Alloa,0,4,A,0,1,A,649,C.Murray,14,10,7,8,0,0,6,4,22,22,0,1,1,2,0,0,10,20,,,,2.2,3.5,2.62,2.25,3.6,2.5,2.37,3.5,2.37
SC2,04/08/01,Forfar,Clydebank,1,2,A,1,1,D,460,I. G. Frickleton,5,5,3,3,0,0,6,9,13,15,3,3,2,2,0,0,20,20,,,,2.25,3.5,2.5,2.38,3.25,2.5,2.25,3.5,2.5
SC2,04/08/01,Hamilton,Queen of Sth,1,1,D,0,1,A,3192,E. D. Mack,14,4,4,2,0,0,6,4,12,13,0,6,2,1,0,0,20,10,,,,1.73,3.5,3.75,1.8,3.6,3.4,1.9,3.4,3.25
SC2,04/08/01,Morton,Stenhousemuir,4,1,H,1,0,H,2034,Colin Hardie,11,10,6,6,1,1,7,3,6,18,4,7,2,1,0,0,20,10,,,,1.91,3.5,3.2,1.73,3.75,3.6,2,3.75,2.8
SC2,04/08/01,Stranraer,Cowdenbeath,3,0,H,1,0,H,682,D.Branes,15,10,4,2,1,0,4,7,11,13,6,0,1,2,0,0,10,20,,,,1.91,3.5,3.2,1.8,3.6,3.4,1.8,3.6,3.4
SC2,11/08/01,Alloa,Morton,1,1,D,1,0,H,972,B. W. Cassidy,11,11,7,7,1,0,11,8,16,10,7,2,2,1,0,0,20,10,,,,2,3.6,2.87,1.8,3.6,3.4,1.83,3.6,3.3
SC2,11/08/01,Clydebank,Hamilton,3,2,H,1,2,A,353,C Thompson,7,8,6,5,0,0,6,9,13,19,5,2,0,3,0,1,0,55,,,,2.2,3.25,2.75,2.2,3.5,2.6,2.2,3.5,2.62
SC2,11/08/01,Cowdenbeath,Berwick,2,1,H,1,1,D,322,G. P. Mitchell,11,11,4,1,0,0,5,7,15,12,1,4,0,1,0,0,0,10,,,,2.25,3.5,2.5,2.5,3.6,2.25,2.5,3.3,2.37
SC2,11/08/01,Queen of Sth,Forfar,1,2,A,0,1,A,1149,C Thompson,15,6,6,4,0,1,10,1,6,6,0,1,0,0,0,0,0,0,,,,1.91,3.5,3.2,1.8,3.6,3.4,1.8,3.4,3.6
SC2,11/08/01,Stenhousemuir,Stranraer,0,0,D,0,0,D,412,J Gilmar,10,8,4,2,1,0,8,6,22,24,3,5,2,2,0,0,20,20,,,,2.87,3.6,2,2.6,3.5,2.2,2.8,3.4,2.1
SC2,18/08/01,Berwick,Clydebank,0,2,A,0,1,A,420,T. Brown,13,17,5,9,0,1,7,0,17,18,5,3,1,2,0,0,10,20,,,,2.37,3.5,2.37,2.38,3.5,2.38,2.37,3.5,2.37
SC2,18/08/01,Forfar,Stenhousemuir,1,2,A,1,0,H,412,B. J. McGarry,10,10,7,4,0,1,5,4,10,13,4,2,1,2,0,0,10,20,,,,1.8,3.5,3.5,1.8,3.6,3.4,1.72,3.6,3.75
SC2,18/08/01,Hamilton,Cowdenbeath,1,0,H,0,0,D,2131,K. W. Clark,15,7,3,2,0,0,10,5,12,15,0,3,0,1,0,0,0,10,,,,1.91,3.5,3.2,1.8,3.75,3.25,1.8,3.5,3.5
SC2,18/08/01,Morton,Queen of Sth,2,2,D,0,1,A,1827,J. D. K. Smith,11,8,2,4,0,0,3,6,17,15,1,2,1,1,0,1,10,35,,,,1.83,3.5,3.4,1.73,3.75,3.6,1.83,3.4,3.5
SC2,18/08/01,Stranraer,Alloa,1,1,D,1,1,D,522,C Thompson,15,5,5,3,0,0,6,3,16,9,1,4,4,3,1,0,65,30,,,,2.25,3.5,2.5,2.5,3.25,2.38,2.5,3.5,2.25
SC2,25/08/01,Cowdenbeath,Alloa,1,2,A,0,1,A,416,D. Somers,4,12,1,6,0,1,4,4,11,5,0,2,2,1,0,0,20,10,,,,2.62,3.5,2.2,2.75,3.5,2.1,3.2,3.5,1.9
SC2,25/08/01,Hamilton,Forfar,1,1,D,1,0,H,2191,K. E. Toner ,17,11,10,6,0,0,5,8,9,10,4,9,0,2,1,0,25,20,,,,1.73,3.5,3.75,1.73,3.75,3.6,1.72,3.6,3.75
SC2,25/08/01,Morton,Stranraer,1,1,D,1,0,H,1727,E. D. Mack,9,11,4,4,0,0,8,3,16,19,2,3,3,4,0,0,30,40,,,,2.2,3.5,2.62,2,3.6,2.88,2.2,3.5,2.62
SC2,25/08/01,Queen of Sth,Clydebank,1,0,H,0,0,D,1108,G. T. Clyde,14,9,5,3,0,0,7,4,10,13,2,0,1,2,0,0,10,20,,,,2.5,3.5,2.25,2.6,3.5,2.2,2.5,3.5,2.25
SC2,25/08/01,Stenhousemuir,Berwick,3,0,H,3,0,H,526,Steve Conroy,11,9,5,5,0,0,5,11,18,17,5,2,1,2,0,0,10,20,,,,2.1,3.5,2.75,2.2,3.5,2.6,2.25,3.5,2.5
SC2,02/09/01,Berwick,Morton,2,0,H,1,0,H,647,A. Hunter,19,10,6,5,4,1,9,6,21,17,3,1,2,1,0,0,20,10,,,,,,,2.5,3.6,2.25,2.62,3.5,2.2
SC2,02/09/01,Forfar,Alloa,0,1,A,0,1,A,469,M. Ritchie,4,10,2,5,0,1,6,12,13,8,1,1,1,0,0,0,10,0,,,,,,,2.75,3.5,2.1,2.75,3.5,2.1
SC2,02/09/01,Queen of Sth,Stenhousemuir,2,0,H,1,0,H,1153,D. Brines,12,12,8,5,0,1,10,3,16,11,5,3,2,2,0,0,20,20,,,,,,,1.91,3.75,3,1.9,3.5,3.2
SC2,08/09/01,Alloa,Stenhousemuir,0,1,A,0,0,D,632,C. J. Melville,9,5,5,3,1,0,8,3,20,20,3,1,0,3,0,0,0,30,,,,,,,1.62,3.6,4.33,1.61,3.6,4.33
SC2,08/09/01,Berwick,Hamilton,0,2,A,0,2,A,475,A. C. Gemmill,6,16,3,6,1,0,6,3,14,15,4,1,2,2,0,0,20,20,,,,,,,2.25,3.6,2.5,2.5,3.4,2.3
SC2,08/09/01,Clydebank,Morton,3,2,H,0,1,A,1148,"Conroy, S.",8,9,4,5,0,0,6,6,16,17,8,1,2,1,0,0,20,10,,,,,,,2.1,3.5,2.75,1.9,3.75,3
SC2,08/09/01,Forfar,Cowdenbeath,2,1,H,2,0,H,403,A. Freeland,6,9,3,3,0,0,8,6,11,15,5,2,0,2,0,0,0,20,,,,,,,2.1,3.5,2.75,2.2,3.5,2.62
SC2,08/09/01,Stranraer,Queen of Sth,2,2,D,2,1,H,896,Charlie Richmond,9,7,4,3,0,0,7,7,12,18,0,5,4,2,0,0,40,20,,,,,,,2.1,3.5,2.75,2.3,3.5,2.5
SC2,15/09/01,Alloa,Clydebank,1,0,H,1,0,H,626,J. D. K. Smith,6,11,3,4,0,0,6,6,12,13,3,1,1,1,0,0,10,10,,,,,,,2.1,3.5,2.75,2.2,3.5,2.62
SC2,15/09/01,Cowdenbeath,Queen of Sth,1,1,D,1,1,D,364,J. Gillmore,9,9,5,3,1,2,6,9,10,11,2,2,1,0,0,0,10,0,,,,,,,2.88,3.75,1.91,2.75,3.5,2.1
SC2,15/09/01,Morton,Forfar,1,3,A,1,1,D,1231,,14,11,6,6,1,0,3,1,8,14,3,5,1,1,0,0,10,10,,,,,,,1.83,3.5,3.4,1.83,3.6,3.3
SC2,15/09/01,Stenhousemuir,Hamilton,2,0,H,0,0,D,618,C Thompson,13,13,6,6,2,1,4,8,21,13,4,4,3,2,0,0,30,20,,,,,,,2.4,3.75,2.2,2.37,3.5,2.37
SC2,15/09/01,Stranraer,Berwick,0,2,A,0,2,A,422,R. Orr,12,9,4,2,1,1,6,4,8,14,4,4,0,0,0,0,0,0,,,,,,,1.62,3.75,4,1.8,3.6,3.4
SC2,18/09/01,Hamilton,Stranraer,0,1,A,0,0,D,1539,W. S. G. Young,18,12,8,3,0,0,10,3,13,5,2,4,1,1,0,0,10,10,,,,2.1,3.5,2.75,1.83,3.5,3.4,2.1,3.4,2.8
SC2,19/09/01,Clydebank,Cowdenbeath,3,2,H,1,1,D,151,G. T. Clyde,24,3,16,2,1,0,10,3,12,13,2,3,1,1,0,0,10,10,,,,,,,,,,,,
SC2,22/09/01,Alloa,Hamilton,2,1,H,2,1,H,645,I. Brines,9,10,8,6,0,1,10,4,19,16,4,2,2,3,0,0,20,30,,,,1.67,3.6,4,1.73,3.75,3.6,1.8,3.6,3.4
SC2,22/09/01,Berwick,Queen of Sth,0,4,A,0,1,A,460,I. G. Frickleton,7,15,2,7,0,0,2,2,24,16,1,3,3,2,1,0,55,20,,,,2.37,3.5,2.37,2.5,3.25,2.38,2.5,3.5,2.25
SC2,22/09/01,Morton,Cowdenbeath,0,2,A,0,1,A,1184,B. W. Cassidy,11,12,5,6,0,0,8,1,16,21,3,4,1,5,0,0,10,50,,,,1.83,3.5,3.4,1.8,3.6,3.4,2,3.4,3
SC2,22/09/01,Stenhousemuir,Clydebank,2,2,D,0,2,A,415,A Hunter,14,13,8,7,1,0,9,7,21,18,5,4,2,2,0,0,20,20,,,,2.37,3.5,2.37,2.38,3.5,2.38,2.37,3.5,2.37
SC2,22/09/01,Stranraer,Forfar,2,0,H,0,0,D,397,A. C. Gemmill,15,7,8,2,0,0,7,4,7,8,2,4,0,3,0,2,0,80,,,,1.91,3.5,3.2,2.1,3.5,2.75,2.1,3.5,2.75
SC2,29/09/01,Clydebank,Stranraer,1,3,A,0,2,A,250,E. D. Mack,7,7,4,3,0,0,4,10,19,12,1,1,5,0,0,0,50,0,,,,,,,1.83,3.75,3.2,2.1,3.5,2.75
SC2,29/09/01,Cowdenbeath,Stenhousemuir,1,1,D,0,0,D,354,C. Murray,18,7,6,4,0,0,5,5,10,8,10,3,1,1,0,1,10,35,,,,,,,2.5,3.6,2.25,2.6,3.5,2.2
SC2,29/09/01,Forfar,Berwick,2,1,H,0,0,D,380,B. W. Cassidy,10,8,6,4,0,0,6,4,9,13,5,1,2,1,0,0,20,10,,,,,,,1.91,3.75,3,2,3.4,3
SC2,29/09/01,Hamilton,Morton,2,2,D,2,1,H,3035,B. J. McGarry,14,9,7,5,0,0,3,4,12,13,4,5,1,0,1,0,35,0,,,,,,,1.83,3.75,3.2,1.9,3.5,3.2
SC2,29/09/01,Queen of Sth,Alloa,2,1,H,1,1,D,1332,G. T. Clyde,16,7,9,3,0,1,8,5,7,9,2,2,1,1,0,1,10,35,,,,,,,2.5,3.6,2.25,2.37,3.5,2.37
SC2,06/10/01,Alloa,Berwick,2,2,D,1,2,A,492,C Thompson,13,14,6,5,2,1,3,5,6,21,1,2,3,7,0,1,30,95,,,,,,,1.53,3.6,5,1.53,3.6,5
SC2,13/10/01,Clydebank,Forfar,1,1,D,0,1,A,200,D Smith,12,8,5,3,0,0,5,3,10,11,1,3,1,1,0,0,10,10,,,,,,,1.91,3.75,3,2,3.6,2.87
SC2,13/10/01,Cowdenbeath,Stranraer,2,2,D,0,1,A,277,C. Hardie,6,6,4,4,0,0,9,1,12,6,1,2,1,0,0,0,10,0,,,,,,,2.75,3.5,2.1,2.75,3.5,2.1
SC2,13/10/01,Queen of Sth,Hamilton,0,1,A,0,0,D,1552,J. Gilmore,8,9,2,4,0,0,11,6,15,14,1,2,3,2,0,0,30,20,,,,,,,1.73,3.6,3.75,1.66,3.6,4
SC2,13/10/01,Stenhousemuir,Morton,0,3,A,0,2,A,612,G. P. Mitchell,15,16,6,8,0,1,6,6,16,9,3,7,0,1,1,0,25,10,,,,,,,1.8,3.6,3.4,1.83,3.5,3.4
SC2,20/10/01,Berwick,Cowdenbeath,2,5,A,1,3,A,472,J. R. Underhill,10,11,5,5,1,0,3,4,13,19,1,1,1,3,0,0,10,30,2.2,3.4,2.55,,,,2.25,3.6,2.5,2.25,3.5,2.5
SC2,20/10/01,Forfar,Queen of Sth,0,3,A,0,1,A,407,B. J. McGarry,6,18,2,8,0,1,4,7,11,10,1,2,2,1,0,0,20,10,2.4,3.15,2.45,,,,2.38,3.5,2.38,2.5,3.4,2.3
SC2,20/10/01,Hamilton,Clydebank,3,0,H,0,0,D,1975,C. J. Melville,9,14,6,9,1,0,4,6,17,12,6,4,0,2,0,0,0,20,2.35,3.35,2.4,,,,2.25,3.6,2.5,2.37,3.5,2.37
SC2,20/10/01,Morton,Alloa,1,1,D,0,0,D,1247,C.Richmond,15,10,6,3,0,0,7,4,11,9,2,6,0,2,0,0,0,20,2.7,3.3,2.15,,,,2.88,3.6,2,2.75,3.5,2.1
SC2,20/10/01,Stranraer,Stenhousemuir,6,1,H,1,0,H,487,E Mack,14,6,8,4,0,0,4,4,20,18,2,2,0,1,1,1,25,35,1.9,3.4,3.15,,,,1.91,3.75,3,1.9,3.6,3.1
SC2,27/10/01,Cowdenbeath,Forfar,3,2,H,0,1,A,316,S.Conroy,8,5,6,3,2,0,5,3,8,9,2,0,2,1,0,0,20,10,2.2,3.4,2.65,,,,2.2,3.4,2.62,2.25,3.5,2.5
SC2,27/10/01,Hamilton,Berwick,0,1,A,0,1,A,2441,T. Brown,13,7,6,2,0,0,5,5,15,12,0,3,1,1,1,0,35,10,1.65,3.5,4.25,,,,1.67,3.6,4,1.61,3.6,4.33
SC2,27/10/01,Morton,Clydebank,0,2,A,0,1,A,1311,R. Orr,15,17,5,5,1,0,2,3,15,11,2,4,3,1,0,0,30,10,2.45,3.3,2.4,,,,2.38,3.5,2.38,2.5,3.5,2.25
SC2,27/10/01,Queen of Sth,Stranraer,1,0,H,0,0,D,3083,K. E. Toner,11,8,7,4,1,0,4,7,12,16,1,0,0,1,0,1,0,35,2.3,3.4,2.5,,,,2.25,3.4,2.6,2.25,3.5,2.5
SC2,27/10/01,Stenhousemuir,Alloa,1,1,D,1,0,H,593,M. Ritchie,18,18,8,10,0,1,7,11,14,13,0,3,1,1,0,0,10,10,2.65,3.4,2.2,,,,2.75,3.5,2.1,3,3.4,2
SC2,03/11/01,Alloa,Cowdenbeath,5,1,H,2,1,H,618,C. J. MacKay,11,9,9,7,0,0,10,4,9,18,2,3,1,1,0,0,10,10,1.8,3.5,3.5,,,,1.8,3.5,3.5,1.8,3.6,3.4
SC2,03/11/01,Berwick,Stenhousemuir,1,1,D,1,0,H,387,I. M. Fyfe,11,7,5,2,1,1,5,7,21,17,5,2,2,2,1,0,45,20,2.37,3.4,2.42,,,,2.38,3.5,2.38,2.37,3.5,2.37
SC2,03/11/01,Clydebank,Queen of Sth,3,0,H,3,0,H,300,W. S. G. Young,9,4,6,2,0,0,4,3,16,15,4,6,0,1,0,0,0,10,2.37,3.4,2.42,,,,2.25,3.6,2.5,2.4,3.4,2.4
SC2,03/11/01,Forfar,Hamilton,3,0,H,0,0,D,498,D. Somers,7,8,5,3,0,0,3,4,11,10,2,3,1,2,0,0,10,20,2.35,3.4,2.45,,,,2.38,3.5,2.38,2.3,3.4,2.5
SC2,03/11/01,Stranraer,Morton,1,4,A,0,1,A,508,I. G. Frickleton,18,15,8,9,0,0,12,6,9,10,4,2,1,1,0,0,10,10,1.7,3.6,3.8,,,,1.62,3.6,4.33,1.72,3.6,3.75
SC2,10/11/01,Berwick,Stranraer,2,2,D,1,1,D,382,D. G. McDonald,12,9,5,6,0,0,6,1,21,10,3,1,2,0,0,0,20,0,2.55,3.3,2.3,,,,2.6,3.5,2.2,2.5,3.5,2.25
SC2,10/11/01,Clydebank,Alloa,1,0,H,1,0,H,247,K. W. Clark,10,10,7,5,0,2,4,6,16,10,3,5,0,1,0,0,0,10,2.25,3.45,2.55,,,,2.25,3.6,2.5,2.37,3.5,2.37
SC2,10/11/01,Forfar,Morton,2,1,H,2,0,H,570,C. Hardie,6,10,3,3,0,0,2,5,11,9,6,3,2,3,0,0,20,30,2.1,3.4,2.8,,,,2,3.6,2.88,2.1,3.5,2.75
SC2,10/11/01,Hamilton,Stenhousemuir,2,3,A,0,1,A,1563,D. Smith,8,6,6,4,0,1,4,3,9,10,2,0,0,1,0,0,0,10,2.05,3.35,2.95,,,,2,3.6,2.88,2,3.6,2.87
SC2,10/11/01,Queen of Sth,Cowdenbeath,1,3,A,0,1,A,1321,C. Thompson,19,7,10,5,0,0,9,4,12,12,4,7,1,1,0,0,10,10,1.75,3.4,3.8,,,,1.8,3.5,3.5,1.8,3.6,3.4
SC2,24/11/01,Alloa,Forfar,1,2,A,1,0,H,458,B. J. McGarry,9,6,8,5,0,0,8,2,8,11,1,1,0,1,0,0,0,10,1.95,3.5,3.05,,,,1.83,3.5,3.4,2,3.5,2.9
SC2,24/11/01,Cowdenbeath,Clydebank,1,1,D,0,0,D,333,E. Martindale,5,9,3,6,0,0,5,11,7,1,1,0,1,1,0,0,10,10,2.6,3.45,2.2,,,,2.6,3.5,2.2,2.5,3.5,2.25
SC2,24/11/01,Morton,Berwick,1,2,A,0,2,A,1190,I. Brines,14,9,8,4,2,0,6,4,13,15,2,6,1,1,0,0,10,10,2.2,3.4,2.65,,,,2.1,3.5,2.75,2.2,3.5,2.6
SC2,24/11/01,Stenhousemuir,Queen of Sth,1,1,D,0,1,A,514,A. Hunter,8,15,5,7,1,1,8,7,16,18,1,5,2,3,0,0,20,30,2.35,3.4,2.45,,,,2.5,3.25,2.38,2.37,3.5,2.37
