Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC0,14/08/10,Aberdeen,Hamilton,4,0,H,2,0,H,D McDonald,7,10,3,3,22,12,4,5,1,1,0,0,2,3.4,3.75,1.9,3.25,3.6,1.9,3.25,3.75,2,3.2,3.3,1.91,3.4,4,1.95,3.25,3.6,2.05,3.3,3.6,2,3.4,3.4,2,3.2,3.75,1.91,3.3,3.6,36,2.16,2,3.44,3.28,3.9,3.61,29,2.3,2.19,1.75,1.61,17,0,1.55,1.44,2.75,2.6
SC0,14/08/10,Hearts,St Johnstone,1,1,D,1,1,D,S O'Reilly,8,6,1,3,12,12,9,4,2,2,0,1,1.91,3.4,4,1.88,3.25,3.7,1.8,3.4,4,1.85,3.3,3.7,1.83,3.5,4.33,1.85,3.4,3.75,1.91,3.4,4,1.83,3.4,4,1.91,3.25,4,1.8,3.4,4,36,2.03,1.88,3.49,3.34,4.33,3.96,33,2.17,2.06,1.78,1.7,16,0,1.44,1.38,3,2.84
SC0,14/08/10,Inverness C,Celtic,0,1,A,0,0,D,C Murray,8,22,3,15,11,7,1,12,0,0,0,0,8,4.5,1.4,7,4.4,1.35,7,4.1,1.4,6.5,4,1.4,8,4.33,1.4,8,4.2,1.35,8,4.5,1.4,8,4,1.4,7,4.6,1.4,7.5,4,1.4,34,8,7.5,4.84,4.25,1.46,1.41,27,1.65,1.61,2.3,2.19,17,0,6.86,5.72,1.14,1.11
SC0,14/08/10,Rangers,Kilmarnock,2,1,H,1,0,H,W Collum,20,7,12,3,14,8,12,6,0,1,0,0,1.2,6,15,1.17,6,11,1.2,5.5,12,1.2,5.2,11,1.2,6,15,1.18,6,12,1.2,6,15,1.2,5.5,15,1.2,5.5,15,1.2,5.5,12,35,1.23,1.2,6.5,5.77,17,13.57,29,1.62,1.59,2.35,2.23,14,0,1.04,1.03,13,10.42
SC0,14/08/10,St Mirren,Dundee United,1,1,D,0,0,D,B Winter,3,14,2,5,11,15,4,11,2,3,0,0,3.6,3.2,2.1,2.9,3.25,2.2,2.9,3.3,2.2,2.9,3.2,2.2,3.1,3.4,2.2,2.95,3.25,2.2,3.3,3.2,2.25,3,3.4,2.2,3.4,3.25,2.1,3,3.2,2.2,36,3.62,3.2,3.45,3.27,2.25,2.16,29,2.35,2.24,1.7,1.58,18,0,2.52,2.29,1.65,1.56
SC0,15/08/10,Motherwell,Hibernian,2,3,A,1,1,D,C Thomson,15,15,10,10,8,13,5,7,0,2,0,0,2.38,3.25,3,2.4,3.25,2.7,2.4,3.2,2.7,2.3,3.2,2.7,2.5,3.3,2.75,2.45,3.25,2.6,2.4,3.2,3,2.38,3.25,2.8,2.3,3.2,3,2.4,3.2,2.7,36,2.5,2.38,3.44,3.23,3.15,2.85,29,2.25,2.14,1.8,1.64,23,0,1.8,1.7,2.25,2.07
SC0,21/08/10,Hamilton,Hearts,0,4,A,0,2,A,S Finnie,2,8,1,4,14,11,7,6,1,2,1,1,2.75,3.3,2.5,2.55,3.25,2.45,2.7,3.25,2.4,2.6,3.2,2.4,2.8,3.5,2.38,2.55,3.2,2.5,2.75,3.2,2.6,2.88,3.25,2.38,2.75,3.3,2.4,2.75,3.3,2.38,34,2.92,2.74,3.3,3.23,2.63,2.46,26,2.38,2.22,1.7,1.6,27,0,2.1,1.97,1.9,1.79
SC0,21/08/10,St Johnstone,Aberdeen,0,1,A,0,0,D,S McLean,6,9,2,4,15,14,5,4,2,3,0,0,2.38,3.3,2.9,2.35,3.25,2.65,2.3,3.25,2.8,2.4,3.2,2.6,2.4,3.4,2.8,2.4,3.2,2.7,2.4,3.2,3,2.38,3.4,2.63,2.4,3.25,2.75,2.38,3.25,2.8,35,2.5,2.37,3.4,3.25,3.1,2.83,27,2.22,2.1,1.72,1.67,22,0,1.76,1.71,2.2,2.05
SC0,22/08/10,Celtic,St Mirren,4,0,H,2,0,H,E Norris,16,1,8,1,7,6,12,0,1,2,0,0,1.2,6,15,1.17,6.5,10,1.18,6,12,1.17,5.7,12,1.17,7,15,1.2,5.75,11,1.2,6,15,1.2,5.5,15,1.17,6.5,15,1.17,6,15,33,1.21,1.18,7,6.08,16.5,13.76,25,1.67,1.6,2.31,2.2,14,0,1.05,1.03,13,10.64
SC0,22/08/10,Dundee United,Inverness C,0,4,A,0,1,A,A Muir,5,9,3,6,7,8,9,4,0,0,0,0,1.67,3.6,5.25,1.55,3.6,5.35,1.62,3.6,5,1.7,3.4,4.3,1.57,3.75,6,1.65,3.5,4.75,1.73,3.5,5,1.67,3.5,5,1.62,3.6,5.5,1.57,3.75,5.5,35,1.74,1.66,3.77,3.56,5.5,5.07,29,2.16,2.02,1.8,1.73,16,0,1.25,1.22,4.33,3.87
SC0,22/08/10,Hibernian,Rangers,0,3,A,0,0,D,I Brines,11,9,7,7,17,12,4,5,2,2,1,1,4.75,3.6,1.73,4.4,3.4,1.7,4.33,3.4,1.75,4.5,3.5,1.65,5,3.5,1.73,4.33,3.4,1.73,4.5,3.5,1.8,4.33,3.4,1.8,4.75,3.4,1.75,4.33,3.5,1.73,32,5,4.57,3.76,3.5,1.8,1.74,28,1.82,1.74,2.1,2.01,16,0,3.71,3.34,1.33,1.28
SC0,22/08/10,Kilmarnock,Motherwell,0,1,A,0,1,A,M Tumilty,8,3,2,3,7,20,9,2,2,3,0,0,2.63,3.3,2.6,2.45,3.25,2.55,2.5,3.25,2.6,2.5,3.2,2.5,2.5,3.5,2.62,2.5,3.2,2.55,2.7,3.2,2.62,2.6,3.2,2.6,2.5,3.3,2.62,2.5,3.25,2.6,34,2.73,2.55,3.3,3.21,2.84,2.64,26,2.3,2.17,1.75,1.63,25,0,1.94,1.85,2,1.89
SC0,28/08/10,Aberdeen,Kilmarnock,0,1,A,0,0,D,B Winter,10,19,5,12,6,9,6,6,1,1,0,0,1.95,3.4,3.8,1.8,3.4,3.85,1.91,3.3,3.6,1.85,3.2,3.8,1.83,3.5,4.33,1.9,3.25,3.75,1.91,3.4,4,1.83,3.5,4,1.85,3.3,4,1.8,3.5,4,35,1.96,1.88,3.56,3.37,4.33,3.98,24,2.22,2.09,1.73,1.67,17,0,1.44,1.37,3.25,2.89
