round,home_team,home_score,away_score,away_team,notes
1,Schalke,2,0,M'gladbach,"(Wittkamp 35, Wüst 80)"
1,Oberhausen,3,1,Frankfurt,"(Lindner 3 o, Dausmann 48, Fritsche 86 -Hölzenbein 38)"
1,Hamburger,2,1,K'lautern,"(U.Seeler 48, Hönig 79 - Rehhagel 90)"
1,Hannover,4,2,Dortmund,"(Brune 64, 87, Loof 39, Bandura 69 - Erler 79,Wosab 89)"
1,1. FC Köln,3,2,B'schweig,"(Rühl 72 p, Blusch 75, Overath 85 - Maas 52, 64)"
1,Stuttgart,1,1,Werder,(Weidle 48 - Windhausen 81)
1,Hertha,1,0,Duisburg,(J.Weber 35)
1,Aachen,0,0,TSV 1860,
1,Bayern,4,0,RW Essen,"(G.Müller 2, 18, 56 p, Ohlhauser 82)"
2,Frankfurt,2,1,Schalke,"(Schämer 61, Senger 70 o - Neuser 28)[Aug 23]"
2,TSV 1860,2,0,Hertha,"(Blankenburg 24, Fischer 75) [75 Blankenburg(TSV) m/pen]"
2,Duisburg,1,1,Stuttgart,(Sondermann 26 - Olsson 14)
2,Werder,2,1,1. FC Köln,"(Görts 33, Danielsen 55 - Rühl 13)"
2,B'schweig,1,1,Hannover,(Gersdorff 90 - Brune 36)
2,Dortmund,2,1,Hamburger,"(J.Schütz 43, Wosab 74 - U.Seeler 70)"
2,K'lautern,0,0,Oberhausen,
2,M'gladbach,2,1,Bayern,"(Kaiser 48, Laumen 72 - Starek 11)"
2,RW Essen,2,0,Aachen,"(Lippens 18, 25)"
3,Bayern,2,1,Frankfurt,"(Brenninger 44, Nichl 87 - Schwarzenbeck 16 o)[Aug 29]"
3,1. FC Köln,6,2,Duisburg,"(Rupp 8, 28, Löhr 19, 62, Hemmersbach 10, Overath 65 - Sondermann 48, Budde 72)[Aug 30]"
3,Schalke,4,2,K'lautern,"(Pirkner 36, 50, Pohlschmidt 75, Diehl 87 o -Rehhagel 15, Krafczyk 87)(sent off: Schneider (K'lautern, 75))"
3,Oberhausen,2,1,Dortmund,"(Kobluhn 63, Krauthausen 79 - J.Schütz 72)"
3,Hamburger,3,3,B'schweig,"(H.Schulz 57, 68, U.Seeler 84 - Maas 24, 90,Merkhoffer 49)"
3,Hannover,3,2,Werder,"(Anders 48, Heynckes 52, Coordes 75 o - Windhausen29, Gõrts 90)"
3,Stuttgart,3,1,TSV 1860,"(Entenmann 49, 84, Weidmann 3 - Fischer 90) [56T.Hoffmann (Stuttgart) m/pen]"
3,Hertha,2,1,Aachen,"(Brungs 21, Patzke 88 p - Krott 61) [81 Gayer(Hertha) m/pen]"
3,M'gladbach,2,1,RW Essen,"(Kaiser 52, Schäfer 72 - Beer 4)"
4,Duisburg,1,0,Hannover,(Lehmann 53)
4,Frankfurt,1,2,M'gladbach,"(Schämer 59 - Kaiser 12, Laumen 19)[Sep 6]"
4,Aachen,4,2,Stuttgart,"(Kapellmann 15, 29, Claessen 68, Krott 80 -Weidmann 31, 43)"
4,TSV 1860,1,0,1. FC Köln,(Fischer 76)
4,Werder,1,1,Hamburger,(Windhausen 22 - U.Seeler 38)
4,B'schweig,0,4,Oberhausen,"(Dausmann 32, 66, Karbowiak 4, Fröhlich 12)"
4,Dortmund,1,1,Schalke,(Weist 65 - Pirkner 37)
4,K'lautern,0,0,Bayern,
4,RW Essen,5,2,Hertha,"(Lippens 2, 9, 65, Littek 29, Jung 73 - Horr 20,Patzke 33 p)"
5,Frankfurt,2,1,RW Essen,"(Trinklein 30, Heese 86 - Weinberg 38)"
5,M'gladbach,1,1,K'lautern,(Vogts 21 - Geisert 85)
5,Bayern,3,0,Dortmund,"(Pumm 13, Brenninger 53, Beckenbauer 86)[Sep 13]"
