Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
E2,12/08/00,Bristol Rvs,Bournemouth,1,1,D,1,1,D,8046,Keith Hill,9,10,5,2,1,3,5,4,24,15,0,1,3,1,0,0,30,10,,,,1.6,3.3,4,,,,1.73,3.25,4.33,1.66,3.4,4.5
E2,12/08/00,Cambridge,Bury,0,1,A,0,1,A,3654,Alan Wiley,7,14,4,7,0,0,6,7,15,16,2,2,1,1,0,0,10,10,,,,2.1,3,2.8,,,,2.2,3.4,2.75,2.2,3.4,2.75
E2,12/08/00,Luton,Notts County,0,1,A,0,1,A,7059,Andy D'Urso,8,6,3,2,2,1,15,1,20,10,1,3,1,1,0,0,10,10,,,,2.1,3,2.8,,,,2.2,3.4,2.75,2.1,3.25,3
E2,12/08/00,Millwall,Reading,2,0,H,1,0,H,11043,Frazer Stretton,18,6,8,3,0,0,8,7,18,17,6,4,2,2,0,0,20,20,,,,1.8,3.1,3.4,,,,1.83,3.5,3.5,1.9,3.25,3.5
E2,12/08/00,Northampton,Brentford,1,1,D,0,0,D,6379,Eddie Wolstenholme,12,12,7,8,0,2,7,4,17,12,1,2,0,3,0,0,0,30,,,,2.1,3,2.8,,,,2.1,3.25,3,2.2,3.4,2.75
E2,12/08/00,Oldham,Port Vale,4,1,H,2,0,H,5639,Mike Dean,18,8,7,3,0,0,6,0,15,17,0,1,0,2,0,0,0,20,,,,2.2,3,2.6,,,,2.25,3.25,2.75,2.37,3.2,2.62
E2,12/08/00,Oxford,Peterboro,0,1,A,0,1,A,5870,Barry Knight,14,16,7,8,1,0,5,6,11,15,1,6,1,0,0,0,10,0,,,,2.1,3,2.8,,,,2.25,3.25,2.75,2.1,3.25,3
E2,12/08/00,Rotherham,Walsall,2,3,A,1,0,H,5423,Michael Jones,10,8,4,5,0,0,4,4,11,10,1,2,0,0,0,0,0,0,,,,2.35,3,2.35,,,,2.5,3.2,2.5,2.37,3.2,2.62
E2,12/08/00,Stoke,Wycombe,0,0,D,0,0,D,14532,Andrew Butler,11,5,1,3,0,0,6,6,14,12,0,6,2,4,0,0,20,40,,,,1.5,3.4,4.7,,,,1.5,3.5,6,1.57,3.4,5.5
E2,12/08/00,Swansea,Wigan,0,0,D,0,0,D,8391,Dermot Gallagher,8,6,1,3,0,0,4,1,17,14,0,3,1,2,0,1,10,45,,,,2.5,2.9,2.3,,,,2.75,3.25,2.25,2.62,3.2,2.37
